breast	tutu
mouth	ba
payment	bayad
dog	itu
five	limo
rain	rana
strong	barat
horse	kuda
animal	binatang
iguana	ibi
child-in-law	awas
bean	bana
floor	bantal
corn	mais
unripe	mata
sister-in-law	ibo
floor	saag
armpit	ima
eye	moto
tear	kusi
mango	mangga
cheek	nami
skin	kulit
vein	urat
forehead	rangi
cat	siko
chicken	manok
tongue	dila
leaf	daun
shoulder	wara
G-string	dawin
sky	laway
lung	baga
grandchild	bebe
pineapple	nanas
breadfruit	rimas
kidney	buwa
mudfish	ruan
price	laga
hammer	bakbak
lightning	kilot
goat	kambing
guava	bayabas
wine	gimas
fork	tinidor
needle	darum
upper	tuko
child	nga
salt	timus
pillow	danan
jackfruit	badak
duck	intik
milkfish	bangus
snake	urar
mole	sanum
venom	bisa
banana	saging
arrow	banting
pig	babuy
gun	timbak
fence	langkat
peninsula	tuka
thorn	suwar
water	wayeg
small	awang
earthquake	luba
fare	sukay
eyebrow	kilay
woman	libun
comb	suwat
debt	utong
house	lawi
nest	salag
fragrant	mamot
monkey	ubal
nose	irong
moonlight	laday
church	simbaan
rat	ambaw
flood	dunuk
male	mandangan
spleen	dilos
dimple	binsuk
buttock	bubut
waist	owok
scabies	kurakid
soy sauce	tahuyu
clothes	insod
ring	tising
wall	diding
mat	ikam
key	gunsi
blade	garaban
doorway	tukas
reed	gito
store	tindaan
bridge	titay
fear	gilak
lake	ranaw
swamp	rasak
high tide	urug
root	darir
mahogany	biyarong
fruit	onok
sticky	lunay
large	liwas
crocodile	balangita
shrimp	kurong
small	kumang
tadpole	bigol
earthworm	lakong
