die	fa
suck	mama
saliva	mare
or	kana
and	na
father	baba
stamp	panda
excrete	nya
send	ruma
horse	bere
cultivate	lima
draw	tala
remain	sala
tree	muri
hold	fara
grow	hula
go	ya
eight	malo
close	vala
fat	nona
fall	wa
believe in	tenda
dry up	xa
burn	duga
learn	guda
open	vula
herd	lisa
cook	bika
refuse	hana
cry	lila
buy	renga
bite	luma
ten	fumi
smoke	mutsi
man	munna
lie down	lala
steal	tswa
smoke	daha
speak	amba
love	funa
water	maḓi
danger	ngozi
mud	daka
by	nga
impala	phala
ember	mahala
drink	nwa
kudu	tholo
sing	imba
fight	lwa
thousand	gidi
two	mbili
name	dzina
three	raru
learn	funza
wind	muya
flash	penya
cave	bako
woman	musadzi
to	kha
white	mulungu
penis	mbolo
rain	mvula
dig	bwa
mother	mme
book	bugu
person	muthu
tongue	lulimi
mouth	mulomo
cleave	phapha
dog	mmbwa
leopard	nngwe
genet	tsimba
goat	mbudzi
five	ṱhanu
maternal uncle	malume
fat	mapfura
chief	khosi
hunger	nḓala
lion	ndau
elephant	nḓou
marriage	mbingano
snake	ṋowa
four	iṋa
six	rathi
seven	sumbe
nine	ṱahe
hundred	ḓana
one	thihi
hippopotamus	mvuvhu
meat	ṋama
crocodile	ngweṋa
tooth	ḽiṋo
night	vhusiku
finger	munwe
fire	mulilo
pig	nguluvhe
twin	ḽifhaṱa
lung	fhafhu
blanket	nguvho
iron	tsimbi
buffalo	ṋari
bee	ṋotshi
hand	tshanḓa
testicle	tshende
wound	tshilonda
eye	ḽiṱo
seed	mbeu
bushbuck	mbavhala
vomit	ṱanza
return	vhuya
forget	livhala
meet	ṱangana
chew	ṱafuna
kill	vhulaya
see	vhona
millipede	ḓongololo
tie	vhofha
mould	vhumba
weed	ṱahula
enter	nzhena
smell	nukha
throw	laṱa
year	ṅwaha
termite	muṱwa
milk	luvhisi
tail	mutshila
winter	mariha
ridge	muvhombo
village	muḓi
piece	khuni
pain	vhuṱungu
arrive	swika
hide	swiṱa
full	ḓala
lamb	ngwana
hit	rwa
rumble	bvuma
shatter	pwasha
moist	phwama
strangle	tzhipa
pull	kokodza
give	fha
read	vhala
itch	zazamela
flee	shavha
trample	zhaka
tell	zwifha
mountain	thavha
baboon	pfene
fowl	khuhu
trap	tshifu
hoe	dzembe
come	ḓa
lean	goga
laugh	tyetyenea
strike	tzwipudza
eat	ḽa
war	nndwa
mosquito	vhunyunyu
sheep	nngu
enemy	tshira
carve	vhaḓa
servant	mulanda
bride	muselwa
writer	muṅwali
wake up	vuwa
liver	tshivhindi
foreleg	voho
moon	mwedzi
door	muṋango
armpit	gopwa
flower	dzuvha
spider	buvhi
sea	lwanzhe
blood	malofha
zebra	mbiḓi
giraffe	ṱhuḓwa
fountain	tshisima
season	khalaṅwaha
snow	mahaḓa
river	mulambo
beard	ndebvu
kidney	tswio
sew	runga
swell	zwimba
bear	dzwala
south	tshipembe
down	fhasi
call	vhidza
boil	vhila
road	nḓila
ear	nḓevhe
Monday	Musumbuluwo
Tuesday	Ḽavhuvhili
Wednesday	Ḽavhuraru
Thursday	Ḽavhuṋa
Friday	Ḽavhuṱanu
Saturday	Mugivhela
Sunday	Swondaha
child	ṅwana
day	ḓuvha
slope	govha
father	khotsi
heart	mbilu
joy	dakalo
fur	vhukuse
hair	ḽihaha
Venda	Tshivenḓa
church	gereke
divorce	ṱala
show	sumba
example	tsumbo
love	lufuno
lesson	ngudo
song	luimbo
faith	lutendo
shirt	hemmbe
so	zwino
if	arali
cat	tshimange
house	nnḓu
ostrich	mmphwe
town	ḓorobo
shame	ṱhoni
sad	ṱungufhala
school	tshikolo
money	tshelede
leg	mulenzhe
enter	dzhena
work	mushumo
drive	tshimbidza
want	ṱoḓa
wine	veini
winter	vhuria
summer	tshilimo
boy	mutukana
stick	thonga
axe	mbaḓo
parent	mubebi
here	afha
there	afho
yonder	fhano
wagon	goloi
thunder	mubvumo
drizzle	suṱa
drizzle	vhusuṱo
grandchild	muḓuhulu
bow	vhura
fig	muhuyu
Xhosa	Tshithoza
Venda	Muvenḓa
Xhosa	Muthoza
white rhinoceros	tshugulu
