door	men
ten	she
lake	co
small	ga
friend	pa
one	yi
be	hai
person	ren
sheep	yang
year	lo
father	aba
village	xong
wound	maka
ghost	gui
cow	nek
Japan	reben
man	waren
tiger	dak
motorcycle	moto
alcohol	zek
soldier	mak
that	gu
day	tian
bed	chuang
Central Tibet	zang
Tibetan	suan
five	wu
not	be-
wild animal	redak
monk	adia
from	-la
dog	gek
head	dolo
me	nga
skin	pize
god	lha
referential marker	-ge
eat	qe
bird	macio
apple	pigo
I	ngu
fox	gha
fruit	goze
drum	guu
stomach	tuze
sofa	shafa
teacher	loshe
child	galamala
why	mashema
garbage	halamala
flower	maidok
just now	dadada
paucal suffix	-jhege
teacher	ggaiggan
religion	quilek
one	yi-zek
country	sanggaixong
letter	yegai
name	minze
bone	gutek
milk	naize
fish	xhuiyang
hair	tekhua
Chinese language	hahua
Chinese language	jjhayek
English language	yenyek
bank	yenhang
school	xaitang
visit	jja
king	jjhawo
Mongol	sokho
student	lhoma
restaurant	saghang
lance	ddong
two	liangge
doctor	mangba
woman	niren
woman	nixhe
other	xxanba
gold	jhenze
with	-liangge
-er than	-kanla
Mongolic	tojha
secret	sangwa
sun	raitek
moon	yailiang
China	zhungo
book	huaiqa
clothes	quandi
rock	shetek
safety	daijhang
television	dianshe
fifteen	she-wu
computer	dianno
temple	lhakang
there	gu-da
chopsticks	kuize
cold water	binxhui
company	gunse
afraid	haipa
