hello	سلام
nine	نه
rooster	تلا
mouse	گل
ethnicity	سو
four	چار
discussion	گپ
carrot	گزر
mother	مار
one	یک
apple	سه
dawn	سحر
country	کشور
ten	ده
barn	کلم
new	نو
five	پنج
six	شش
seven	هفت
full	مشت
water	او
goat	بز
we	اما
willow	فک
leg	لنگ
warm	پتو
house	سره
no	نا
tree	دار
hand	دس
shrimp	پت
eight	هشت
yes	اره
lantern	فنر
straw	کمل
cowherd	گالش
air	وا
rain	وارش
Iran	ئیران
گلکی	مازرونی
Mazandaran	مازرون
tongue	زوون
white	اسپه
sun	خارشید
great	گت
cat	بامشی
cow	گو
duck	سیکا
snail	لیسک
pig	خی
roe deer	شوکا
wolf	ورگ
ant	ملیجه
chicken	کرک
chicken	مرغانه
sparrow	میچکا
better	بتر
daughter	دتر
brother	برار
boy	ریکا
girl	کیجا
rope	رسن
sleep	خو
Muslim	مسلمون
neck	گس
orphan	سک
cotton	پمه
axe	تور
ox	ورزا
sister	خاخر
elm	اوجا
shepherd	کرد
bear	اش
buffalo	گومش
violet	ونوشه
Ohio	اوهایو
pickaxe	کالنگ
hatchet	تاشه
sickle	داز
spade	گرواز
plow	ازال
stick	کلماغ
balance	ترازی
pitchfork	اشتلم
very	خله
big	گته
morning	صب
dirty	لچر
boar	براز
flag	برم
butt	کینگ
fly	کورماز
mosquito	لل
ground	بنه
leg	لینگ
rice	پلا
winter	زمسن
stare	دارسنیئن
sunflower seeds	سمشکه
yawn	ویاز
clothing	جمه
empty	تیسا
full	سرشن
border	سامون
homeland	دیما
pillow	متکا
blanket	دوآج
early	جمنر
late	ارزا
trash	جش
cold	بچا
hot	پتوش
thanks	آلیش
black kashk	سرج
lie	چاب
liar	چاب زن
breath	تروک
wink	قتول
torch	سوچو
seashell	کلاچک
known	واجار
wild boar	وراز
game	واچیک
fight	جنگره
thigh	اشکل
rainbow	یالمان
Prunus	زلکا
frog	وک
spider	وند
rice	وینج
rice	بینج
baby	زلاغ
yoghurt	هلوه
bone	هسکا
clap	چکه
open	بشائن
tear	بسانیئن
drum	دمبک
