finger	палец
cat	кошка
cat	кот
Cyrillic	й
Cyrillic	ш
Belarusian	ы
vodka	водка
tongue	язык
bow	лук
house	дом
am	ё
my	мой
tea	чай
pen	ручка
time	час
glory	слава
at home	дома
beetle	жук
demon	бес
we	мы
lighthouse	маяк
forest	лес
there	там
Belarusian	беларуская
grandmother	баба
May	май
potassium	калій
bag	сумка
you	ты
you	вы
your	твой
your	ваш
our	наш
one's	свой
dog	пёс
zero	нуль
two	два
sign	знак
king	цар
no	не
wheel	кола
here	тут
Saturday	субота
brother	брат
hail	град
planet	планета
belt	пояс
frog	жаба
alphabet	азбука
elephant	слон
square	квадрат
palatalization	’
temple	храм
beast	звер
god	бог
announce	аб'явіць
intoxicated	п'яны
serious	сур'ёзны
brain	мозг
Allah	Алах
people	народ
table	стол
hundred	сто
pencil	карандаш
hornbeam	граб
school	школа
Belarusian	беларус
faith	вера
son	сын
grandmother	бабушка
bank	банк
side	бок
у	Беларусь
lack	брак
bath	ванна
century	век
egg	яйцо
Christmas tree	ёлка
dragon	дракон
shark	акула
pineapple	ананас
banana	банан
gender	род
mail	пошта
year	год
self	сам
bridge	мост
on	на
juice	сок
friend	друг
mum	мама
у	Варшава
oak	дуб
without	без
grass	трава
stone	камень
bread	хлеб
Frenchman	француз
wing	крыло
tail	хвост
blooming	цвет
that	што
coffee	кава
nose	нос
knife	нож
fish	рыба
ice	лёд
fear	страх
cheese	сыр
pigeon	голуб
bowl	чаша
smile	усмешка
ghost	дух
soul	душа
baker	пекар
floor	дно
dick	хуй
ford	брод
belt	пас
sword	меч
from	ад
luggage	багаж
world	свет
ass	жопа
letter	буква
aubergine	баклажан
German	немка
song	песня
dough	цеста
paint	фарба
newspaper	газета
bathroom	ванная
kitchen	кухня
bedroom	спальня
toilet	туалет
tooth	зуб
month	месяц
snow	снег
Cyrillic	ґ
dad	тата
grief	гора
garden	сад
brand	марка
whore	курва
husband	муж
new	новы
court	суд
Cyrillic	ў
bomb	бомба
smoke	дым
crawfish	рак
mouth	рот
once	раз
magazine	журнал
reflexive	-ся
second	секунда
doctor	лекар
fog	туман
moose	лось
thousand	тысяча
wall	мур
grandson	унук
lip	губа
udder	вымя
tribe	племя
seed	семя
train	поезд
field	поле
hand	рука
salt	соль
so	так
honey	мёд
porridge	каша
devil	чорт
riddle	загадка
form	форма
volcano	вулкан
fist	кулак
horn	рог
service	служба
above	над
fruit	плод
sickle	серп
chess	шахматы
hare	заяц
forehead	лоб
sleep	сон
horse	конь
fly	муха
step	шаг
meadow	луг
I don't know	я не знаю
examination	экзамен
dream	мара
one	адзін
how	як
goose	гусь
persimmon	хурма
plough	плуг
bull	бык
jargon	жаргон
weather	пагода
parrot	папугай
priest	поп
ruble	рубель
key	ключ
map	карта
barrel organ	шарманка
advice	парада
sweat	пот
wax	воск
pus	гной
ache	боль
ox	вол
butterfly	матылёк
law	закон
stick	палка
belly button	пуп
great-	пра-
opera	опера
Rus	Русь
trunk	ствол
glass	стакан
river	рака
pit	яма
court	двор
Afghan	афганец
Albanian	албанец
Albanian	албанка
circle	круг
hippopotamus	бегемот
German	немец
Hungarian	венгерка
heel	пятка
mole	крот
ram	баран
prince	князь
nut	гайка
Azeri	азербайджанец
sperm	сперма
sport	спорт
blood	кроў
sister	сястра
beard	барада
marten	куніца
goat	каза
cow	карова
sea	мора
dog	сабака
fact	факт
plan	план
stump	пень
otter	выдра
cage	клетка
neighbor	сусед
cabbage	капуста
office	бюро
mask	маска
eye	вока
cloud	хмара
hundredth	соты
woman	жонка
he	ён
that	той
she	яна
head	галава
bee	пчала
water	вада
sky	неба
hat	шапка
language	мова
milk	малако
worm	чарвяк
heart	сэрца
pear	груша
farm	ферма
bamboo	бамбук
lamb	ягня
egg	яйка
swan	лебедзь
heron	чапля
duck	качка
slug	смоўж
spider	павук
grass snake	вуж
ant	мурашка
owl	сава
eagle	арол
jay	сойка
crow	варона
swallow	ластаўка
tit	сініца
necktie	галстук
bone	косць
