wave	en
small	amar
rotten	age
I	ai
auoŋ	au
hotness	pala
rain	ur
woman	alat
hot	fal
water	ul
haunch	anar
thunder	ajak
woman	alit
door	atol
hot	phal
he	uju
become	d́-äjaŋ
limb	araŋan
knee	ar-ša
midday	āl-īx
door	athol
tree	ačigan
play	ajaŋ
temple	axšei heŋai
hair	heŋai
stay	thīgājaŋ
mallard	agaŋa
woman	alīt
trousers	alaŋ
alupaŋ	alup
hundred	aštamše
hundred	alčin-tamšu
hundred	alt-tamši
mother	āma
fright	amalaŋ
haunch	ānar
thinking	anaŋaj
think	anaŋaithākŋ
think	anaŋajākŋ
think	angajak
clever	anaŋaja
sweat	apīkŋ uganaŋ
sweat	apīkŋ
forging	afu
smith	afu-het
forge	afu-ākŋ
flaying	thax
thōnākŋ	thāgākŋ
flaying	thāx
holding	šiax
hold	baʔākŋ
take	f-āgō
take	f-ōk
sleep	d́agat
rot	b-āge-jaŋ
rot	d́āgejaŋ
cunning	āru
deception	ārupi
ārāthalapajaŋ	ārāthačapajaŋ
which	ašix
ačāʔālajaŋ	ačāʔājaŋ
calling	ače
calling	ači
what	šina
what	šena
ačaŋšīn	ačánše
pour	at-p-akŋ
you	auoŋ
you	aoŋ
we	ajoŋ
string	anaŋ
olāŋaŋ	ōŋaŋ
soon	et-paŋ
tholagōjaŋ	thagājaŋ
drive	guš-takan
falančāgan	falanč-āk
sew	falanče
falančāgan	falanč-āg
onšētaŋ	ašetaŋ
releasing	šičēt
now	eaŋa
wedge	kaltap-en
enuŋuiše	ēneŋaiše
forget	enoši
forgetfulness	ēnšekŋ
eaŋ-ālše	eaŋ-ōšiaŋ
ēčán	ēš
God	eš
upwards	ečā
above	ečāl
put	śi-ćei
sowing	ačōʔuk
ačōlaʔukŋ	ačōʔukŋ
he	hatu
one	hūča
ašparaŋ	ašpar
not	mōn
rib	ulaj
song	ulāj
rye	āreš
cooking	ašpax
goat	ēg
flour	talgan
ear	kalōx
