of	o
sand	one
to	i
spear	tao
smooth	alo
duck	pato
he	ia
by	e
some	ni
taro	talo
he	na
a	se
sun	la
night	po
eel	tuna
burster	papa
voice	leo
flower	fuga
fly	lago
bird	manu
turmeric	ago
opinion	mau
sky	lagi
south	toga
relative	tei
guitar	kitara
the	le
new	fou
and	ma
five	lima
shell	pule
chicken	moa
story	tala
barn owl	lulu
hear	logo
Jesus	Iesu
nominative	'o
day	aso
dove	lupe
government	malo
relative	uso
eye	mata
house	fale
best	sili
good	lelei
for	mo
ocean	vasa
excrement	tae
fantail	sau
white	sina
water	vai
fire	afi
cattle	povi
what	ā
boy	tama
who	ē
blood	toto
calamity	mala
tern	gogo
taboo	tapu
big	tele
girl	teine
crossbeam	so'a
screw pine	fala
sleep	moe
lorikeet	sega
tattoo	malu
coconut	niu
mosquito	namu
go	alu
bury	tanu
moon	masina
death	oti
god	atua
milk	susu
passage	ava
imperative	ina
choose	fili
want	fia
king	tupu
love	alofa
oven	umu
turmeric	lega
leaf	lau
unwillingness	musu
butterfly	pepe
cent	sene
donkey	asini
real	moni
four	fā
who	lē
dual	mā
you	tou
cloth	lafo
lake	lano
whisk	fue
axe	toʻi
know	iloa
oven	veve
blind	pola
warrior	malie
into	'i
body	tino
triller	miti
fish	iʻa
church	lotu
tree	lā'au
traditional	soga'imiti
headman	matai
goods	oloa
sugar cane	tolo
ax	matau
dog	maile
jellyfish	lole
ambassador	soa
rain	timu
write	tusi
social class	fono
relative	aiga
dance	siva
church	falesa
room	potu
cottonwood hibiscus	fau
egg	fua
tapa	siapo
travelling	malaga
tooth	nifo
you	ʻoe
table	laulau
banana	fa'i
rail	ve'a
numeral	ta'i
manner	fa'a
log	lali
crab	pa'a
woman	fafine
man	tagata
gardenia	tiale
canoe	va'a
noble	ali'i
dress	lava-lava
tattoo	malofie
vocabulary	gagana fa'aaloalo
female	tuafafine
male	tuagane
father	tamā
son	tamatane
son	atali'i
daughter	tamafafine
daughter	afafine
old	toa'ina
old	olamatua
young	laititi
dunno	ta ilo
policeman	fitafita
coconut	palusami
breadfruit	tafolo
hieroglyphic	tapui
sacred	umu sa
ceremonial	taupo
social class	aumaga
social class	aualama
young man	taule'ale'a
ceremonial	fa'alupega
ceremonial	manaia
weaving	falelalaga
care for	tausi
elopement	avaga
female	soafafine
rapist	moetotolo
ceremonial	ifoga
wife	faletua
desiring	fiasili
foreigner	papalagi
you	ʻe
dual	māʻua
dual	tāʻua
you	ʻoutou
you	ʻoulua
plural	mātou
plural	tātou
they	lātou
they	lāʻua
first	muamua
kava	'ava
bowl	tanoa
frigatebird	atafa
booby	fua'o
heron	matu'u
shearwater	ta'i'o
tropicbird	tava'e
duck	toloa
chicken	moavao
swamphen	manusa
swamphen	manuali'i
tattler	alomalala
foreigner	pālagi
koel	aleva
swiftlet	pe'ape'a
kingfisher	ti'otala
thrush	tutumalili
whistler	vasavasa
Zosterops	matapapa'e
honeyeater	iao
Gymnomyza	ma'oma'o
parrotfinch	manu'ai
talking	tulafale
talking	failauga
sennit	'afa
hospital	falema'i
master	tufuga
longhouse	afolau
hut	faleo'o
kitchen	tunoa
hut	umukuka
column	poutu
goat	'oti
sharp	'anava
traditional	'ailao
two	puletasi
competition	fiafia
thank you	fa'afetai
language	gagana
week	vaiaso
up	i lagi
breadfruit	'ulu
pig	pua'a
yam	ufi
bamboo	ʻofe
noni	nonu
hello	talofa
no	leai
octopus	fe'e
mountain	mauga
shampoo ginger	'avapuhi
ylang ylang	moso'oi
male	po'a
Samoa	tālā
pandanus	sigano
basket	'ato
ghost	aitu
man	tāne
parent	matuā
impersonal	fā'i
land	fanua
taro	'oso
Lord	Ali'i
wrongdoer	pagotā
rest	mālōlō
well	malōlō
this	lenei
great	silisili
I	aʻu
cool	seki a
tongue	laulaufaiva
toothed	nifoa
taro	uli
dog	ulī
mustard	sinapi
whale	tafolā
Tahitian chestnut	ifi
church	ekalesia
prophet	perofeta
bishop	'epikopō
poultry	fuāmoa
cockroach	mogamoga
goat	ʻoti
sand	oneone
work	galue
author	tusitala
bedroom	potumoe
shop	faleoloa
Monday	Aso Gafua
name	igoa
step	laʻa
tattoo	tatau
abandon	tu'ulafoa'i
abase	fa'amaulalo
abash	fa'ama
November	Novema
bundle	afii
staff	‘au
object	mea faitino
physical	faitino
police	leoleo
argument	finauga
kangaroo	kāgalū
warning	lapataiga
how are you	ʻo ā mai ʻoe
mullet	ʻanae
Psychotria insularum	matalafi
