Felis catus	cat
of	de
say	can
from	o
she	i
lenite	man
over	os
I	mi
basin	amar
hat	ad
ink	inc
plait	dual
female	pit
hymn	or
army	arm
superlative	as
sake	son
job	car
without	gun
ràdh	ag
place	bad
e.g.	me
east	ear
god	dia
follow	lean
soft	bog
that	sin
quarrel	trod
be	bi
saucer	flat
ship	long
man	fear
corpse	dust
he	e
in	san
not	chan
-self	-san
lake	loch
cloak	brat
loss	call
through	tre
foam	cop
seek	sir
condition	cor
about	mu
him	ga
although	ge
enjoy	meal
from	à
busy	trang
stay	fan
bee	beach
oil	ola
do	don
under	fo
porridge	lite
stand	seas
not	nach
in	nur
hillock	tom
nice	snog
consequence	buil
flood	tuil
stain	spot
chat	craic
tuft	bab
movie	film
in	sa
drop	deur
indifferent	coma
un-	neo-
un-	an-
return	till
steam	toit
bench	being
cow	mart
sufficiency	seis
mouth	cab
anything	dad
bottom	bun
horse	each
abbot	aba
length	fad
son	mac
go	rach
watch	faire
mind	aire
with	le
as	mar
if	ma
mock	mag
woman	bean
vulture	fang
hair	falt
somebody	tè
you	gad
incest	col
love	gaol
leannan	-da
Irish	Gaeilge
Gaelic	Gàidhlig
weak	lag
hide	seiche
fold	fill
bill	gob
your	ur
pike	pic
protuberance	alp
crooked	cam
fight	cog
placing	cur
me	gam
magazine	iris
horse	marc
merriment	mire
pass	pas
stick	slat
lift	tog
will	toil
sore	lot
slow	mall
stiff	rag
sharp	snag
trigger	snap
condition	staid
delay	bac
hush	ist
hot	teth
six	sia
dependent	toir
old	sean
catalogue	catalog
I	mise
mail	post
mud	poll
stop	stad
fie	abab
honey	mil
two	dà
gloss	lì
break	bris
beget	gin
alas	och
eastern	sear
small	beag
joint	alt
banquet	fleadh
book	leabhar
cowherd	buachaill
wall	balla
flour	min
nominative	bois
palm	bas
with	ri
more	tuilleadh
life	beatha
eating	ithe
feather	ite
eat	ith
boil	goil
loop	dul
tympany	seid
long	fada
sweet	milis
dirty	salach
sore	tinn
boar	torc
broken	briste
lost	caillte
door	doras
pen	peann
money	airgead
work	obair
letter	litir
in	nad
and	agus
blood	fuil
ye	sibh
chalk	cailc
cycle	rothar
bicycle	rothair
at	agam
at	aige
at	againn
red	dearg
black	dubh
brown	donn
fair	fionn
grey	liath
green	uaine
attitude	seasamh
egg	ugh
sudden	grad
potassium	potaisiam
village	baile
that	ud
cross	crois
penis	bod
trap	rib
bosom	com
we	sinn
leg	cas
name	ainm
mole	famh
pear	peur
angel	aingeal
Scotland	Alba
God	Dia
Tue	Dim
Sat	Dis
Mark	Marc
Mary	Moire
alphabet	T
my	mo
strip	bann
distance	cian
EU	AE
coltsfoot	athan
hen	cearc
sweat	allas
body	corp
graph	graf
aim	amas
dirty	caca
there	ann
ft	tr
pain	pian
brave	calma
with	leat
about	mun
hill	bre
plunge	tum
them	gan
through	tro
era	linn
stream	allt
note	nota
rest	fois
sing	seinn
garden	lios
mountain	beinn
postman	posta
fo	fon
ox	damh
arf	af
heat	teas
tape	teip
November	Samhain
Mr	Mgr
mutuality	co-
fork	forca
one	aon
durable	buan
if	mas
this	seo
best	brod
cheerfulness	gean
wet	fliuch
world	domhan
moor	sliabh
blue	gorm
deaf	bodhar
swan	eala
badger	broc
Christmas	Nollaig
please	le do thoil
mouse	luch
value	luach
shake	crith
apprehend	glac
fat	sult
milking pail	cuman
second	dara
foal	loth
not	cha
lack	cion
prostitute	siùrsach
rag	luid
slut	reipseach
slipper	slapag
prostitute	strìopach
faggot	gille-tòine
bitch	galla
bean	bean-uasal
sharp	geur
duck	lach
little	frith
cottage	bothan
fox	sionnach
leg	osan
plant	lus
on	orm
doctor	ollamh
on	ort
English	Beurla
brothel	taigh-siùrsachd
John	Iain
hurt	gon
part	rann
brow	mala
pan	pana
nude	lom
we	sinne
red	ruadh
white	bàn
new	nuadh
young	òg
pink	bàn-dhearg
white	geal
brothel	taigh-strìopachais
prostitution	strìopachas
daughter	nighean
maiden	rìbhinn
watch	uaireadair
lamb	uan
history	eachdraidh
praise	mol
night	oidhche
fish	iasg
prayer	ùrnaigh
love	gràdh
homosexuality	co-sheòrsachd
open	fosgailte
open	fosgail
lover	leannan
man	duine
wife	bean chèile
wife	bean-phòsda
husband	fear-pòsda
husband	fear-cèile
spouse	cèile
aristocratic	uasal
help	cuidich
thou	thu
girl	caileag
dark	dorcha
in	nar
fire	teine
nobility	uaisle
aristocracy	flaitheachd
maighdeann	maighdeann-mhara
sea	muir
water	uisge
forest	coille
wind	gaoth
sun	grian
maiden	òigh
maid	maighdeann
Earth	talamh
land	tìr
soul	anam
fool	amadan
stupid	òinseach
female	boireannach
male	fireannach
boy	balach
servant	gille
backside	tòin
kiss	pòg
beast	beathach
animal	ainmhidh
dog	cù
understand	tuig
maiden	gruagach
wig	gruag
colour	dath
laughter	gàire
do	dèan
sweet	grinn
nightingale	beul-binn
nightingale	spideag
beautiful	maiseach
beauty	maise
beautiful	àlainn
memory	cuimhne
dead	marbh
slaughter	àr
death	bàs
house	taigh
taigh	taigh-malairt
bank	taigh-rèidh
taigh	taigh-bìdh
taigh	taigh-leighis
sickness	tinneas
taigh	taigh-oibre
food	biadh
witch	ban-draoidh
druid	draoidh
feminine	banail
manly	fearail
rape	èignich
hamlet	clachan
village	baile-dùthchail
rural	dùthchail
country	dùthaich
sean	seanair
grandmother	seanmhair
bad	dona
ring	fàinne
bread	aran
till	gu
comparative	nas
bent	fiar
slab	leac
phosphorus	fosfor
old	aosda
mature	abaich
alive	beò
thin	caol
sparse	gann
certain	cinnteach
beautiful	bòidheach
poor	truagh
poor	bochd
narrow	cumhang
cia	cia mheud
four	ceithir
five	còig
wrong	ceàrr
other	eile
full	làn
nine	naoi
famous	ainmeil
glorious	allail
close	dlùth
stupid	gòrach
stupid	baoghalta
dark	doilleir
bright	soilleir
cold	fuar
horny	drùiseil
lechery	drùis
cow	bò
