August	august
barrel	aam
abortion	abort
you	te
bone	luu
tender	hell
offering	and
cargo	last
bench	pink
room	tuba
shoe	king
this	see
wolf	hunt
under	all
scar	arm
chess	male
yes	jah
ow	ai
we	me
mole	mutt
bean	uba
battery	aku
kvass	kali
same	sama
fork	hang
cloak	keep
width	laid
flight	lend
circle	ring
mushroom	seen
almshouse	seek
cent	sent
fine	tore
tower	torn
vermouth	vermut
that	et
castle	loss
bull	pull
lift	lift
or	e
wine	vein
cent	s
soap	seep
object	ese
guard	valve
success	menu
tally	mark
swan	luik
fine	peen
zero	null
he	ta
cake	tort
honour	au
chicken	kana
sea	meri
bus	buss
chair	tool
hello	hallo
stage	lava
black	must
no	ei
bond	side
suit	mast
ice	jää
ei	pole
Estonia	Saaremaa
tie	lips
breast	rind
kind	sort
cheek	pale
wall	sein
among	seas
inside	sees
pleasure	lust
hall	saal
exactly	just
fashion	mood
beach	rand
and	ja
car	auto
head	pea
camp	leer
shark	hai
crone	moor
boron	boor
cover	kaas
vase	vaas
sense	aim
slash-and-burn	ale
free	vaba
movie	film
more	enam
ceiling	lagi
thousand	tuhat
earth	maa
water	vesi
toilet	WC
blade	tera
wind	tuul
hand	käsi
axe	kirves
open	lahti
sheep	lammas
you	sa
faeces	roe
sleep	uni
expensive	kallis
money	raha
he	tema
orphan	orb
footy	jalka
lean	lahja
snow	lumi
fish	kala
honest	aus
rich	rikas
bad	paha
healthy	terve
Socrates	Sokrates
cocoa	kakao
blaze	leek
dill	till
mouth	suu
tree	puu
porn	porno
bromine	broom
without	ilma
food	toit
blood	veri
brother	veli
toe	varvas
paddle	aer
area	ala
false	vale
sweet	magus
vein	soon
franc	frank
acre	aaker
abbot	abt
group	grupp
quay	kai
wolf	susi
reindeer	poro
maybe	vast
telephone	telefon
bucket	pang
I	ma
duck	part
talkkuna	kama
kangaroo	känguru
Ahti	Ahto
aardvark	tuhnik
Andrew	Andreas
strict	range
Mercury	Mercurius
spawn	kudu
language	keel
dialect	murre
mist	vine
there	seal
heathen	pagan
wet	märg
brother	vend
plot	novell
outburst	purse
can	oskama
underhanded	alatus
fuck	vittu
ordinal	-s
essive	-na
jagama	-u
these	need
abessive case	-ta
-er	-ja
because	kuna
fraternal nephew	vennapoeg
sororal nephew	õepoeg
fraternal niece	vennatütar
sororal	õetütar
hole	auk
bright	ere
stupid	loll
ball	pall
on	peal
frequent	sage
flat	lame
animal	loom
continent	manner
nut	mutter
pregnant	rase
whistle	vile
groat	tang
ink	tint
hää	-sti
May	mai
pillow	padi
Bosnia and Herzegovina	Bosnia
secretly	sala
down	alla
spear	oda
sex	seks
other	muu
father	isa
ham	sink
seat	iste
basket	korv
when	mil
what	mis
cow	lehm
wrist	ranne
flood	veetulv
bismuth	vismut
edge	veer
FAQ	KKK
random	lamp
wide	lai
petma	-is
armastama	-us
tungsten	volfram
camp	laager
Saturn	Saturnus
content	sisu
plastic	plast
valley	org
third	kolmas
I	mina
Cameroon	Kamerun
crazy	hull
prince	prints
white	valge
forest	mets
snake	uss
milliard	miljard
million	miljon
board	laud
life	elu
bud	pung
wave	laine
corn	mais
eager	agar
catfish	säga
emerald	smaragd
we	nad
supermarket	supermarket
Ingel	Angela
cake	kook
checkmate	matt
fire	tuli
potassium	kaalium
zombie	zombi
zelkova	tselkva
restaurant	resto
also	ka
arse	perse
beginning	alg
bridge	sild
absinthe	absint
noun	nimisõna
Indonesia	Indoneesia
tomorrow	homme
king	kuningas
matter	asi
finch	vint
barn	ait
dollar	taal
genitalia	vitt
sculpture	monument
berry	mari
godparent	vader
care	ravi
shop	pood
letter	a
Dan	Daan
Helen	Elle
Eric	Ergo
Esther	Ester
Hiiu County	Hiiumaa
Kaia	Kai
Leah	Lea
Earth	Maa
Magdalene	Made
Margaret	Marge
Moscow	Moskva
Peetrus	Peep
Rhine	Rein
Rutt	Ruth
Thailand	Tai
deaf	kurt
September	september
November	november
Saami	saami
evil	kuri
secretary	sekretär
reputation	maine
beginner	algaja
fool	narr
miracle	ime
border	raja
rein	ohi
own	oma
success	edu
salad	salat
oven	ahi
suction	imu
Aristotle	Aristoteles
beard	habe
Sunday	pühapäev
Monday	esmaspäev
Tuesday	teisipäev
Wednesday	kolmapäev
Thursday	neljapäev
Friday	reede
Saturday	laupäev
camera	kaamera
grain	iva
Muslim	muslim
ram	oinas
brook	oja
uncle	onu
two	kaks
four	neli
seven	seitse
eight	kaheksa
nine	üheksa
ten	kümme
one	üks
three	kolm
egg	muna
belt	vöö
slave	ori
separate	eri
first	esi-
comma	koma
dragon	lohe
celery	seller
hundred	sada
summer	suvi
attempt	katse
work	töö
cube	kuup
base	alus
puma	puuma
pony	poni
dinosaur	dinosaurus
yes	jaa
whiskey	viski
letter	täht
honey	mesi
meal	eine
omen	enne
Ukraine	Ukraina
programming	programmeerimiskeel
you	sina
shit	sitt
Eurasian lynx	ilves
perch	ahven
very	jumala
Roman Empire	Rooma
custom	komme
flamethrower	leegiheitja
letter	aabe
art	kunst
abscess	paise
stone	kivi
city	linn
cigarette	koni
goods	kaup
bad	halb
sledge	regi
continent	kontinent
booze	naps
barley	oder
saw	saag
dog	peni
racer	ajaja
bed	ase
Helen	Elina
child	laps
coat	mantel
sail	puri
photograph	foto
article	artikkel
text	tekst
calendar	kalender
square	plats
dew	kaste
Jesus	Jeesus
purchase	ost
calculus	katt
bath	vann
oath	vanne
sock	sokk
cry	kisa
balance	saldo
appetite	isu
lively	erk
always	ikka
flesh	ihu
quietly	tasa
until	kuni
image	imago
gypsum	kips
heraldry	heraldika
doctor	doktor
lid	laug
bladder	vill
bird	lind
Neptune	Neptunus
horse	hobune
genitalia	puts
fluorine	fluor
school	kool
snot	tatt
mud	pori
gender	sugu
Muslim	moslem
mother	ema
yoke	ike
machine	masin
window	aken
jug	kann
swamp	soo
bed	säng
frame	raam
yet	alles
problem	probleem
board	plaat
impetus	hoog
fall	lange
form	vorm
map	kaart
box	kast
cigarette	sigaret
yet	veel
tap	kraan
sense	meel
John	Johannes
alms	almus
plough	ader
banana	banaan
where	kus
Martha	Marta
Spanish	hispaania
painting	maal
part	osa
loop	aas
bolt	polt
branch	haru
garden	aed
April	aprill
barn	laut
using	abil
sun	päike
Catherine	Kati
smoke	suits
shot glass	pits
baker	pagar
price	hind
cop	ment
steel	teras
on and on	aina
comb	hari
willow	paju
Livonian	liivi
echo	kaja
creation	teke
back	taga
down	maha
tooth	hammas
urine	kusi
suitable	paras
about	kohta
house	maja
louse	täi
computer	arvuti
bang	pauk
before	ees
gum	ige
horn	sarv
winter	talv
cloud	pilv
mouse	hiir
new	uus
nest	pesa
copper	vask
bile	sapp
arrow	nool
bark	koor
weather	ilm
counter	lett
pig	siga
smith	sepp
tear	pisar
beet	peet
clock	kell
guy	vana
deer	hirv
soul	hing
care	hool
ample	avar
trunk	tüvi
autumn	sügis
train	rong
reason	aru
cowardly	arg
hay	hein
east	ida
on foot	jala
bone	kont
first	esimene
day	päev
holy	püha
second	teine
writing	kiri
cinema	kino
skeleton	skelett
bird cherry	toom
mistake	viga
crown	kroon
dick	munn
hedgehog	siil
navel	naba
help	abi
age	vanus
kiri	-nd
Aries	Oinas
phosphorus	fosfor
nose	nina
Andorra	Andorra la Vella
Nur-Sultan	Astana
yesterday	eile
shoots	oras
thorn	oga
lawn	muru
slit	pilu
welcome	tere tulemast
hello	tere
what	mida
Mars	Marss
march	marss
Mongolian	mongoollane
swim	ujuma
minute	minut
second	sekund
crosswise	risti
science	teadus
consciousness	teadvus
swallow	pääsuke
tin	tina
long	pikk
pipe	toru
blade	laba
snake	madu
love	armastama
hole	ava
sour	hapu
oak	tamm
meat	liha
mood	tuju
entrance	koda
year	aasta
time	aeg
but	aga
help	aitama
during	ajal
always	alati
open	avama
trail	jälg
foot	jalg
bunch	tari
customer	kunde
steam	aur
sentence	lause
sparrow	varblane
limb	jäse
organ	orel
pea	hernes
step	aste
red	puna
wax	vaha
mile	miil
wheel	ratas
linkage	seos
out	välja
thief	varas
stuff	värk
farm	talu
write	kirjutama
nickel	nikkel
many	rida
parish	vald
fruit	vili
planet	planeet
southwest	edel
document	dokument
closed	kinni
man	mees
monastery	klooster
grain	kesi
Johannes	Johanna
pilot	piloot
love	armastus
Germany	Saksamaa Liitvabariik
kidney	neer
existence	olu
Sweden	Rootsi
Norway	Norra
Crete	Kreeta
envious	kade
bryophyte	sammal
Iraq	Iraak
Hannah	Hanna
several	mitu
kiss	musu
poo	kaka
weight	kaal
light	hele
Adam	Aadam
goat	kits
substance	aine
cake	keeks
slippery	libe
but	ent
Levi	Leevi
Thomas	Toomas
dear	armas
located	asuma
beetle	mardikas
tuft	tups
toilet	vets
rose	roos
whore	hoor
stuff	kraam
week	nädal
jam	moos
orange	apelsin
palace	palee
hundredth	sajas
level	tase
ruin	vare
crow	vares
Rebekah	Rebeka
dark	tume
number	arv
atheist	ateist
pear	pirn
sheath	tupp
constant	konstant
shaft	ais
translate	tõlkima
pornograafia	porr
resident	asukas
necklace	kee
angry	tige
out of	seest
Corsica	Korsika
cliff	kalju
doggy	kutsu
ruin	hukka
anger	viha
Plato	Platon
bear	karu
warm	soe
track	rada
pudding	puding
garlic	küüslauk
waffle	vahvel
rum	rumm
midsummer	jaan
Estonian	eesti
baron	parun
wheat	nisu
tit	tiss
stump	känd
skateboard	rula
office	kontor
you	teie
Caucasus	Tšetšeenia
step	astuma
asthenosphere	astenosfäär
harem	haarem
gasoline	bensiin
bar	baar
bureaucracy	bürokraatia
father-in-law	äi
mother-in-law	ämm
son-in-law	väimees
daughter-in-law	minia
fossil	fossiil
building	hoone
wedding	pulm
icicle	jääpurikas
lake	järv
Christmas	jõulud
reindeer	põhjapõder
casino	kasiino
church	kirik
castle	linnus
compass	kompass
compote	kompott
computer	kompuuter
computer	raal
quartz	kvarts
sister-in-law	käli
sister-in-law	nadu
vomit	okse
cubism	kubism
shaman	šamaan
shock	šokk
sheik	šeik
cedar	seeder
alcohol	alkohol
sword	mõõk
muscle	lihas
seldom	harva
line	rivi
vodka	viin
Vatican	Vatikan
Scotland	Šotimaa
Antigua	Antigua ja Barbuda
Bosniasse ja Hertsegoviina	Bosnia ja Hertsegoviina
Great Britain	Suurbritannia
Chad	Tšaad
People's Republic of China	Hiina Rahvavabariik
Commonwealth of Independent States	Sõltumatute Riikide Ühendus
Comoros	Komoorid
W	Õ
hour	tund
January	jaanuar
February	veebruar
March	märts
June	juuni
July	juuli
October	oktoober
December	detsember
July	heinakuu
August	lõikuskuu
September	kanarbikukuu
September	mihklikuu
October	rehekuu
October	viinakuu
November	kooljakuu
December	jõulukuu
sausage	vorst
tsar	tsaar
hell	põrgu
know	teadma
feel	tundma
street	tänav
village	küla
capital	pealinn
capital	kapital
capital	kapiteel
hill	mägi
dog	koer
birch	kask
fir	kuusk
university	ülikool
god	jumal
vulva	häbe
groin	kube
heroin	heroiin
cocaine	kokaiin
opium	oopium
cannabis	kanep
mescaline	meskaliin
bread	leib
carrot	porgand
potato	kartul
junkie	narkar
syringe	süstal
hook	haak
washing	pesu
treasure	aare
manor	mõis
ear	kõrv
bucket	ämber
hose	voolik
rye	rukis
rice	riis
murder	mõrv
crime	roim
brain	aju
canoe	kanuu
sperm	sperma
coffee	kohv
milk	piim
juice	mahl
poison	mürk
door	uks
Finn	somm
elk	põder
Russian	tibla
chink	pilusilm
motherboard	emaplaat
sweet	komm
processor	protsessor
red	punane
green	roheline
blue	sinine
yellow	kollane
brown	pruun
orange	oranž
violet	lilla
light	helesinine
beige	beež
Venus	Veenus
Mercury	Merkuur
Neptune	Neptuun
Uranus	Uranos
Uranus	Uraan
Pluto	Pluuto
hydrogen	vesinik
helium	heelium
lithium	liitium
beryllium	berüllium
carbon	süsinik
nitrogen	lämmastik
oxygen	hapnik
neon	neoon
sodium	naatrium
magnesium	magneesium
aluminium	alumiinium
silicon	räni
sulfur	väävel
argon	argoon
calcium	kaltsium
titanium	titaan
vanadium	vanaadium
chromium	kroom
manganese	mangaan
iron	raud
cobalt	koobalt
zinc	tsink
arsenic	arseen
silver	hõbe
iodine	jood
barium	baarium
platinum	plaatina
gold	kuld
mercury	elavhõbe
lead	plii
radon	radoon
uranium	uraan
neptunium	neptuunium
plutonium	plutoonium
krypton	krüptoon
xenon	ksenoon
astatine	astaat
selenium	seleen
tellurium	telluur
polonium	poloonium
antimony	antimon
germanium	germaanium
thallium	tallium
palladium	pallaadium
rhodium	roodium
iridium	iriidium
ruthenium	ruteenium
technetium	tehneetsium
rhenium	reenium
molybdenum	molübdeen
niobium	nioobium
tantalum	tantaal
zirconium	tsirkoonium
yttrium	ütrium
lutetium	luteetsium
radium	raadium
francium	frantsium
caesium	tseesium
rubidium	rubiidium
strontium	strontsium
lawrencium	lavrentsium
meitnerium	meitneerium
lanthanum	lantaan
actinium	aktiinium
cerium	tseerium
thorium	toorium
praseodymium	praseodüüm
protactinium	protaktiinium
neodymium	neodüüm
promethium	promeetium
samarium	samaarium
europium	euroopium
americium	ameriitsium
gadolinium	gadoliinium
curium	kuurium
berkelium	berkeelium
dysprosium	düsproosium
californium	kalifornium
scandium	skandium
cadmium	kaadmium
thulium	tuulium
mendelevium	mendeleevium
ytterbium	üterbium
nobelium	nobeelium
roentgenium	röntgeenium
ununquadium	ununkvaadium
ununhexium	ununheksium
ununoctium	ununoktium
metalloid	poolmetall
lanthanide	lantanoid
actinide	aktinoid
noble gas	väärisgaas
halogen	halogeen
nonmetal	mittemetall
alkali metal	leelismetall
alkaline earth	leelismuldmetall
metal	metall
aldehyde	aldehüüd
amide	amiid
alkyne	alküün
alkene	alkeen
acetyl	atsetüül
carbonyl	karbonüül
carboxylic acid	karboksüülhape
polymerization	polümerisatsioon
polymer	polümeer
formalin	formaliin
furan	furaan
tautomerism	tautomeeria
Estonian	eestlane
Russian	venelane
Finn	soomlane
Latvian	lätlane
Lithuanian	leedulane
Pole	poolakas
Livonian	liivlane
Swede	rootslane
Norwegian	norralane
Dane	taanlane
Icelander	islandlane
German	sakslane
English	inglane
Vote	vadjalane
Chinese	hiinlane
Japanese	jaapanlane
Italian	itaallane
Spaniard	hispaanlane
French	prantslane
Scot	šotlane
Welsh	kõmr
American	ameeriklane
Ukrainian	ukrainlane
Belarusian	valgevenelane
Moldovan	moldovlane
Greek	kreeklane
Georgian	grusiin
Arab	araablane
Turk	türklane
Armenian	armeenlane
Azeri	aser
Jew	juut
punane	punane kärbseseen
smoke	suitsetama
cigar	sigar
Russia	Venemaa
Macedonia	Makedoonia
Romania	Rumeenia
Slovenia	Sloveenia
Ameerika	Ameerika Ühendriigid
United Arab Emirates	Araabia Ühendemiraadid
Egypt	Egiptus
Philippines	Filipiinid
Timor	Ida-Timor
sparkle	säde
British Isles	Briti saared
Gotland	Ojamaa
North Island	Põhjasaar
South Island	Lõunasaar
Easter Island	Lihavõttesaar
mosque	mošee
minaret	minarett
Shiite	šiiit
hat	müts
pyjamas	pidžaama
cradle	häll
hall	hall hunt
cock	kukk
chapel	kabel
cable	kaabel
desire	iha
port wine	portvein
beer	õlu
brandy	brändi
cognac	konjak
liqueur	liköör
champagne	šampanja
mead	mõdu
maple	vaher
larch	lehis
beech	pöök
island	saar
aspen	haab
fir	nulg
alder	lepp
poplar	pappel
linden	pärn
apple tree	õunapuu
plum	ploomipuu
cherry	kirsipuu
pear	pirnipuu
bird cherry	toomingas
yew	jugapuu
apple	õun
plum	ploom
marijuana	marihuaana
dealer	diiler
lüsergiinhappe	lüsergiinhappe dietüülamiid
amphetamine	amfetamiin
aspirin	aspiriin
morphine	morfiin
razorbill	alk
clay	savi
llama	laama
mommy	emme
before	ette
kitty	kiisu
skin	nahk
phallus	fallos
slob	loru
hope	lootus
and	ning
sofa	sohva
apparently	ju
essay	essee
pocket	tasku
under-	ala-
ton	tonn
Elisabeth	Liisa
Maria	Maia
library	raamatukogu
seventh	seitsmes
fourth	neljas
fifth	viies
sixth	kuues
eighth	kaheksas
ninth	üheksas
tenth	kümnes
eleventh	üheteistkümnes
twelfth	kaheteistkümnes
thirteenth	kolmeteistkümnes
fourteenth	neljateistkümnes
fifteenth	viieteistkümnes
sixteenth	kuueteistkümnes
seventeenth	seitsmeteistkümnes
eighteenth	kaheksateistkümnes
nineteenth	üheksateistkümnes
twentieth	kahekümnes
twenty-first	kahekümne esimene
millionth	miljones
thousandth	tuhandes
twelve	kaksteist
thirteen	kolmteist
fourteen	neliteist
fifteen	viisteist
sixteen	kuusteist
seventeen	seitseteist
eighteen	kaheksateist
nineteen	üheksateist
twenty	kakskümmend
thirty	kolmkümmend
forty	nelikümmend
fifty	viiskümmend
sixty	kuuskümmend
seventy	seitsekümmend
eighty	kaheksakümmend
ninety	üheksakümmend
yen	jeen
currency	rahaühik
kopek	kopikas
lira	liir
ruble	rubla
nail	nael
riding	ratsu
carriage	vanker
American football	ameerika jalgpall
football	jalgpall
floorball	saalibändi
spinning top	vurr
language family	keelkond
human being	inimene
desire	himu
geologist	geoloog
surgeon	kirurg
goldsmith	kullassepp
optician	optik
actor	näitleja
banker	pankur
butcher	lihunik
cooper	püttsepp
cooper	aamissepp
fisher	kalur
miner	kaevur
actress	näitlejatar
actress	näitlejanna
hairdresser	juuksur
bunker	punker
külm	külm sõda
fag	pede
virologist	viroloog
raudne	raudne eesriie
tyranny	türannia
democracy	demokraatia
bee	mesilane
adamite	adamiit
agate	ahhaat
apatite	apatiit
aragonite	aragoniit
asbestos	asbest
beryl	berüll
biotite	biotiit
dolomite	dolomiit
fluorite	fluoriit
galena	galeniit
graphite	grafiit
garnet	granaadid
goethite	götiit
halite	haliit
chalcedony	kaltsedon
calcite	kaltsiit
cinnabar	kinaver
corundum	korund
cryolite	krüoliit
cuprite	kupriit
magnetite	magnetiit
malachite	malahhiit
amber	merevaik
olivine	oliviin
Christian	Kristo
club	klubi
opal	opaal
pyrite	püriit
ruby	rubiin
sapphire	safiir
serpentine	serpentiin
diamond	teemant
topaz	topaas
mica	vilk
aegirine	ägiriin
oil shale	põlevkivi
Latvian SSR	Läti NSV
Estonian SSR	Eesti NSV
Lithuanian SSR	Leedu NSV
Byelorussian SSR	Valgevene NSV
Ukrainian SSR	Ukraina NSV
Moldavian SSR	Moldaavia NSV
Georgian SSR	Gruusia NSV
Armenian SSR	Armeenia NSV
Azerbaijan SSR	Aserbaidžaani NSV
Kazakh SSR	Kasahhi NSV
Uzbek SSR	Usbeki NSV
Kyrgyz SSR	Kirgiisi NSV
Tajik SSR	Tadžiki NSV
Turkmen SSR	Turkmeeni NSV
Abkhazian SSR	Abhaasi NSV
Karelo-Finnish SSR	Karjala-Soome NSV
Transcaucasian SFSR	Taga-Kaukaasia SFNV
aggressor	agressor
twilight	agu
twilight	koit
dusk	eha
twilight	hämarik
morning	hommik
evening	õhtu
February	küünlakuu
February	sudenkuu
February	soekuu
January	helmekuu
February	hõlmkuu
February	vastlakuu
gay	gei
goose	hani
leech	kaan
Mark	Markus
Baltic Sea	Läänemeri
Black Sea	Must meri
Norwegian Sea	Norra meri
North Sea	Põhjameri
meri	Punane meri
meri	Valge meri
Caspian Sea	Kaspia meri
meri	Aadria meri
Sea of Japan	Jaapani meri
Iiri	Iiri meri
Mediterranean Sea	Vahemeri
Nile	Niilus
Antarctic	Antarktika
North America	Põhja-Ameerika
South America	Lõuna-Ameerika
Eurasia	Euraasia
Middle East	Lähis-Ida
octave	oktaav
Wikipedia	Vikipeedia
when	kui
oil	nafta
religious	usklik
Danube	Doonau
pawn	ettur
flag	lipp
fork	kahvel
castling	vangerdus
sin	patt
gear	käik
walk	käima
Christina	Kristina
Great Lakes	Suur järvistu
Lake Ilmen	Ilmjärv
Lake Superior	Ülemjärv
Lake Onega	Äänisjärv
home	kodu
Switzerland	Šveits
parsley	petersell
pea soup	hernesupp
tractor	traktor
grease	määre
self	enda
muesli	müsli
turkey	kalkun
kilogram	kilogramm
stomach	magu
mathematics	matemaatika
chassis	korpus
crystal	kristall
metatarsus	jalalaba
piglet	põrsas
shadow	vari
Christina	Kristi
wild boar	metssiga
orchid	orhidee
wapiti	vapiti
fast	kiire
racecar	ralliauto
game	partii
naked	alasti
jasper	jaspis
answer	vastus
chestnut	kastan
be	olema
interest	huvi
mould	hallitus
old	eit
orgy	orgia
Kristiina	Kirsi
sisu	-kas
aloe	aaloe
sit	istuma
bronze	pronks
probably	vist
then	siis
crane	kraana
Catherine	Karin
Asian	aasia
raven	kaaren
ball	kera
beehive	taru
pain	piin
some	mingi
drive	ajama
short illative	sammu
Mammon	mammona
underworld	manala
monk	munk
cat	kass
inferior	alam
prescription	retsept
spoon	lusikas
dry	kuiv
ant	sipelgas
bed	voodi
flea	kirp
gate	värav
read	lugema
cabbage	kapsas
roof	katus
crossbow	amb
speak	rääkima
smooth	sile
wizard	võlur
curve	kurv
signature	allkiri
here	siin
woman	naine
be	vaikima
silence	vaikus
all	kõik
light	helge
pleasure	lõbu
sorrow	mure
boy	poiss
colonel	kolonel
ox	härg
hug	embus
luck	õnn
when	kunas
soldier	sõdur
rhizome	juurikas
butterfly	liblikas
secret	saladus
person	isik
book	raamat
Johannes	Hannes
dagger	nuga
branch	oks
important	oluline
pine	piinia
people	rahvas
Catherine	Katrin
Catherine	Kaisa
Catherine	Riina
beneath	all-
Maria	Maila
Jaana	Jana
pub	pubi
with	koos
Elisha	Eliisa
apartment	korter
Erasmus	Rasmus
cash	sularaha
Olga	Olli
information	informatsioon
information	teave
trillion	triljon
dozen	tosin
cape	neem
hashish	hašiš
Christian	Kristian
violin	viiul
soup	leem
kiss	musi
Christina	Tiina
bottle	pudel
Russian SFSR	Vene NFSV
Jaan	Janek
old	romu
completed	valmis
field	väli
particle	osake
southeast	kagu
Henry	Heino
centre	keskus
England	Inglismaa
Gulf of Finland	Soome laht
Jacob	Jaakob
Far East	Kaug-Ida
kefir	keefir
cyclone	keeristorm
body	keha
chemist	keemik
chemistry	keemia
test tube	katseklaas
revenge	kättemaks
arm	käsivars
capercaillie	mõtus
capercaillie	metsis
pine	männik
