light brown	ese
crow	ada
man	nana
go	mia
brown	ont
wolf	esa
moon	muha
sun	taba
hand	emmi
bed	gapa
water	paa
taste	kamma
foot	edda
good	bisa
house	nobi
dog	togu
lavender	toha
red	atsa
mountain	kaiba
woman	mogoˀni
horse	bbooggoo
bison	bagootsoo
deer	tuhudda
bear	padooa
mountain lion	tooonugwetsedu
rabbit	taboo'oo
prairie dog	kuubba
mouse	poongatse
sparrow	hootseba
goose	naguddu
snake	nooyooadu
fish	paggwe
frog	pamogo
bee	nodda
black	toohoo
yellow	oha
green	poohe
one	sumu'yoo
two	waha'yoo
three	pahe'yoo
four	watsuggwe'yoo
five	manage'yoo
six	naapahe'yoo
seven	naddakwatseggwe'yoo
eight	naggwatsaggwe'yoo
nine	kadoopu'yoo
ten	mano'yoo
back	hobbodo
arm	ebbuta
leg	eggowpa
head	eddsopege
hair	eggwo
nose	emmoobe
eye	ebbooee
ear	ennaka
mouth	eddubba
fingers	mmangege'yoo matogo
teach	tɨnijui
learn	natɨnijui
big	paba'yu
tobacco	pahmu
wet	sa'mi
prepare	'mahani
cow	kucu
sinew	dammu
pinenut	tɨba
carrying basket	kawona
cat	kaadɨ
trout	agai
see	punni
fix up	mmatabɨnna
clean	mmabicabina
gallop	wa'mu
know	supidakwatu
yesterday	iʐi'i
then	yaisi
stand	wɨnɨ
bobcat	tuhuˀu
pronghorn antelope	tɨnna
cuiui	kuyui
