sand	bone
long	are
day	eo
liver	ate
he	ia
week	minggu
symptom	dua
guest	rata
we	kita
flattery	undo
slogan	kopa
shy	ea
coffee	kopi
hand	pale
end	doe
time	jam
pillow	luna
chicken	manu
silver	pera
clothing	baju
table	meja
noise	oni
bunch	dei
dog	dike
chisel	biti
ginger	kula
color	loba
chameleon	toke
teacher	guru
male	laki
sugar	gola
gravestone	bate
lie	boa
house	sou
bamboo	walo
kind	dero
large water jar	gumba
grasshopper	bati
funnel	bulo
duck	titi
wild pandanus	naso
farmer	polio
word	basa
fragrant mango	anca
who	yema
very	gaga
eye	mata
lightning	kila
place	mari
Sunday	Minggu
Saturday	Satu
corn	goa
spoken sentence	lolita
meow	meo
content	isi
cheek	peli
root	lari
salt	unu
body	koro
mud	rege
T-shirt	koje
tax debt	kolo
bed	koi
catfish	lele
back	bengo
remainder	labi
germ	kuma
stylish	lodi
roof	ata
bean	kasa
weaving device	ike
money	doi
chest	bambara
floor	doula
banana	loka
oil	lana
dried meat	kari
bag	kanto
potato	kanta
uncooked rice	ose
traditional turban	siga
dwarf buffalo	lupu
fishing net	landa
you	komi
moon	wula
Portuguese	topi
use	guna
skin	kuli
true	kono
direction	alu
tuft	bini
mountain	bulu
sago palm	rumbia
machine	masina
cotton	waru
lake	rano
sky	langi
tongue	dila
fishhook	peka
photograph	koda
if	aga
wing	kapi
allotment	tombo
can	bele
bird	dumu
brook	salu
container	labo
rain	uda
trash	rumpu
fish trap	kipu
type	ngaya
tooth	baga
measuring rope	beti
wood	kou
powder	bada
child	ngana
direction	lou
rice spoon	sondu
chin	ade
twin	rapi
sea	tasi
harvest	inala
heart	sule
traditional	dupa
urine	tole
sheep	bimba
kitchen ash	pompo
sarong	bua
use	lotu
albumen	lula
alum	taba
jungle	wana
information	kareba
until	sudu
hindrance	lawa
horn	tondu
ball	sepa
ape	kaleja
competitor	timali
cuscus	kuse
plug	loke
pig	boe
landslide	tura
gasoline	benci
part	mbira
something	koloa
very	ntoto
card	buja
shaman	sando
road	dala
brass tray	dula
name	sanga
witness	sabi
sack	rombe
snare	pewa
wok	kawali
firepit	tondi
board	dopi
shovel	sero
cup	lonco
flour	topu
power	kente
later	ngoni
smell	soa
mattress	kasoro
foot	paa
fern	paku
Wednesday	Rabu
tangerine	lemo
you	iko
fist	kombo
trench	keke
debt	inda
village	kinta
fate	uere
cement	sime
oar	bose
I	yaku
pimple	deia
coconut fiber	benu
sago	tabaro
eagle	lowe
evening	bengi
horse	jara
banyan	nunu
friend	wega
honey	manisa
cat	peba
head	kapala
fat	lomu
village	ngata
stone	watu
cave	lobu
tail	lelo
nape	tundu
portion	neke
product	bundu
watermelon	ndola
taro	doupe
mudhole	tampo
hectare	heto
mouth	nganga
package	bungu
mosquito net	lambu
egg	ntolu
unhusked rice	pae
step	eda
reflection	wao
food	kondi
bracelet	luba
energy	wuku
neighbor	tongki
cloud	gawu
chain	rante
Tuesday	Salasa
sweet potato	uwi
cemetery	dayo
lip	wiwi
gum	uga
animism	anitu
stiff	nakodo
hide	kulimba
dwarf	touta
flower	wunga
tooth	ngisi
poison	tuwa
blouse	pangga
frog	tumpa
addiction	wio
guava	gambu
chair	kadera
rope	kaloro
pity	towe
blood	raa
office	kantoro
hot	nalala
slope	lempe
cornflour	kungku
plank	baloti
older sibling	tuaka
small shrimp	lamale
jackfruit	ganaga
saw	garagaji
papaya	gampaya
crocodile	kapuna
crowbar	pandoli
cotton	sisiri
coconut	kaluku
cart	goroba
centipede	alipa
butterfly	kalibamba
boat	duanga
bird	tonci
bedbug	koloka
belt	sulepe
