of	de
day	die
be	star
and	i
give	dar
I	you
he	el
in	an
abandonment	abandono
grape	uba
see	ber
the	l
man	home
Saturday	sábado
now	agora
the	las
blood	sangre
a	un
eleven	onze
book	libro
the	la
you	tu
be	ser
hand	mano
seven	siete
speak	falar
we	nós
five	cinco
eat	comer
read	ler
lake	lago
soul	alma
four	quatro
not	nun
a	ua
six	seis
adult	adulto
wing	ala
cun	cul
name	nome
pocket	bolso
lawyer	abogado
sword	spada
sky	cielo
think	pensar
garden	jardin
when	quando
this	este
sail	bela
sphere	sfera
gorgeous	guapo
school	scuola
city	cidade
April	Abril
August	Agosto
bird	abe
good	buono
water	auga
marriage	casamiento
wind	bento
danger	peligro
Wednesday	quarta-feira
eagle	águila
gold	ouro
fast	ayunar
stone	piedra
automobile	carro
king	rei
month	més
village	bila
father	pai
without	sien
state	stado
live	bibir
side	lado
since	zde
white	branco
grab	agarrar
fact	fato
thirty	trinta
Jesus	Jasus
between	antre
use	ousar
with	cun
my	miu
simple	simples
cathedral	catedral
one-hundred	cien
geography	geografie
near	acerca
sculpture	scultura
brother	armano
thing	cousa
biblical	bíblico
son	filho
yesterday	onte
Monday	segunda-feira
Thursday	quinta-feira
say	dezir
anywhere	adondequiera
language	lhéngua
nine	nuôbe
almond	almendra
flag	bandeira
clean	limpo
know	coincer
angel	anjo
architect	arquiteto
river	riu
half	metade
agony	agonie
green	berde
two	dous
literature	lhiteratura
year	anho
small	pequeinho
new	nuobo
important	amportante
diocese	dioucese
architecture	arquitetura
three	trés
almond	almendral
duck	parro
wine	bino
some	algun
daughter	filha
thigh	coixa
avenue	abenida
people	pobo
time	beç
alms	smola
airplane	abion
root	raiç
widen	alargar
happy	feliç
angry	brabo
steak	puosta
heart	coraçon
wait	sperar
life	bida
ahead	alantre
Spain	Spanha
covered	amouchado
today	hoije
door	puorta
Europe	Ouropa
flower	frol
marriage	matrimónio
United States	Stados Ounidos
ten	dieç
Asphodelus ramosus	gamon
tree	arble
star	streilha
God	Dius
civilization	ceblizaçon
image	eimaige
woman	mulhier
color	quelor
European Union	Ounion Ouropeia
country	paíç
rest	çcansar
eye	uolho
different	defrente
voice	boç
she	eilha
enter	antrar
university	ounibersidade
then	anton
rain	chuober
night	nuite
start	ampeçar
twenty	binte
winter	ambierno
church	eigreija
Extremadura	Stremadura
necessary	neçairo
write	screbir
idea	eideia
teach	ansinar
law	lhei
almost	quaije
translation	traduçon
forget	squecer
this	astanho
eight	uito
disappear	zaparecer
impressive	ampressionante
community	quemunidade
oppose	ouponer
equal	eigual
original	oureginal
author	outor
conclude	cuncluir
conclusion	cuncluson
include	ancluir
theater	triato
first	purmeiro
indicate	andicar
majority	maiorie
produce	porduzir
reason	rezon
clock	reloijo
summer	berano
expel	spulsar
expulsion	spulson
discover	çcubrir
the	ls
option	oupçon
describe	çcrebir
completely	cumpletamente
impossible	ampossible
convince	cumbencer
exclude	scluir
visible	besible
invisible	ambesible
respond	respunder
human	houmano
also	tamien
our	nuosso
observe	ouserbar
far	loinge
develop	zambolber
ocean	ouceano
western	oucidental
empire	ampério
increase	oumentar
level	nible
Egypt	Eigito
sister	armana
expand	spandir
red	burmeilho
hear	oubir
continent	cuntinente
maybe	talbeç
understand	antender
exist	eisistir
avoid	eibitar
problem	porblema
officially	oufecialmente
strong	fuorte
strongly	fuortemente
example	eisemplo
expression	spresson
descend	çcer
undo	çfazer
reverse	ç-
army	eisército
person	pessona
sleep	suonho
soldier	suldado
Portuguese	pertués
destroy	çtruir
knee	zinolho
divide	debedir
description	çcriçon
truth	berdade
colony	quelónia
European	ouropeu
old	bielho
death	muorte
difficult	defícel
difficulty	deficuldade
easy	fácele
widow	biúba
fire	fuogo
computer	cumputador
Germany	Almanha
autumn	outonho
spring	primabera
peace	paç
violent	biolento
yellow	amarielho
revolution	reboluçon
cloud	nubre
position	posiçon
common	quemun
unequal	zeigual
distinct	çtinto
alternative	alternatibo
Mirandese	mirandés
digestion	digeston
July	Júlio
owl	queruja
window	jinela
in fact	de fato
apple	maçana
morning	manhana
look	oulhar
sugar	açucre
January	Janeiro
May	Maio
chess	xadreç
this	aqueste
wolf	lhobo
milk	lheite
cheese	queiso
ear	oubido
castle	castielho
Moon	lhuna
left	squierdo
bee	abeilha
adventure	abintura
February	Febreiro
March	Márcio
June	Júnio
September	Setembre
October	Outubre
November	Nobembre
December	Dezembre
grandfather	abó
agreement	acuordo
heat	acalcer
believe	acraditar
amusement	adbertimiento
bird	páixaro
interval	anterbalo
riddle	adebina
cicada	checharra
bring forward	adelantrar
admiration	admirança
admiration	admiraçon
affirmation	afirmaçon
eagle	aila
lift	albador
lift	eilebador
Asphodelus ramosus	alboruotona
pocket	algebeira
pocket	jabeira
pocket	jibeira
executioner	algoç
widen	alhargar
there	alhi
there	eili
there	eilhi
there	alhá
up	alhá riba
cupboard	almairo
almond tree	almendreira
haemorrhage	almorragie
lunch	almorçar
automobile	altemoble
alternative	alternatiba
water	auguita
joke	macacada
quantity	macada
stained	macado
mechanic	macánico
civil union	ounion de fato
union	ounion
epistemology	eipistemologie
you	bós
they	eilhes
they	eilhas
hello	oulá
