habit	abet
dog	can
fat	grass
bitter	amar
sun	sol
dear	car
garlic	ai
well	ben
true	ver
law	leg
finger	did
bad	mal
blood	sang
healthy	san
step	pass
low	bass
world	mond
heart	cœur
hole	bus
there	ga
other	alter
who	chi
heart	coeur
hundred	cent
little	poo
boiled	less
free	liber
hatred	odi
water	acqua
we	nun
earth	tera
what	che
four	cuatro
tooth	dent
up	su
sea	mar
smell	odor
open	avert
weight	pes
hay	fen
Dr	dr.
sell	vend
shadow	ombra
customer	client
beat	batt
grow	cress
dwarf	nan
above	sora
big	grand
hang	pend
cat	gat
shh	cito
warm	cald
strong	fort
shut	sarà
wood	bosch
give	dà
wine	vin
believe	cred
high	alt
big	gross
nest	nid
witch	stria
ship	nav
door	uss
six	ses
Japan	Japon
also	anca
straw	paia
action	querella
body	corp
year	ann
certain	cert
lion	leon
third	terz
gravel	gera
soap	savon
cat	gatt
tongue	lengua
rubber	goma
beard	barba
bone	oss
taste	savor
boy	tos
drop	gota
friend	amis
sleep	dormì
boil	bui
light	lus
break	romp
oil	oli
hard	dur
roast	rost
bite	mord
œv	öv
good	bón
bed	lett
mountain	mont
nose	nas
influenza	gripa
glass	veder
yesterday	jer
dark	scur
be born	nass
tomorrow	duman
man	omm
house	cà
tomorrow	doman
cost	costà
day	dì
do	fà
drink	bev
horse	cavall
bread	pan
light	legger
stay	stà
gold	òr
love	amà
die	morì
bundle	fagott
red	ross
mouse	ratt
eat	manjar
three	trii
bee	avi
support	poggia
strange	strani
dress	vestì
thousand	milla
salt	saa
bear	ors
outside	föra
brain	cervell
middle	mezz
all	tutt
belly	venter
poor	pover
mushroom	fung
broom	scova
clean	nett
ring	anell
lose	perd
engineering	ingegnería
sing	cantà
mud	palta
fruit	frut
male	gay
equal	ugual
foot	pè
tail	coa
buttock	culata
lake	lagh
thief	lader
August	agost
fig	figh
live	viv
old	vegg
feign	fing
mother	mader
earth	tèrra
lip	lavor
son	s·cèt
take	ciapà
buttocks	cüü
milk	lacc
pork rind	cudega
sausage	lüganega
cheese	furmai
broth	bröö
massa	mascarpa
panettone	panaton
pepper	pever
risotto	risott
soup	süpa
rosemary	üsmarin
down	giò
green	verd
axis	assa
knot	nöd
wheel	röda
August	avost
communication	cumünicazziun
look	vardà
young	gioven
two	duu
look for	cercà
buy	comprà
turn	girà
taste	gustà
change	mudà
pass	passà
think	pensà
fish	pescà
carry	portà
beg	pregà
prepare	preparà
jump	saltà
return	tornà
fly	volà
pull	tirà
see	vedè
let	lassà
primer	abecedari
bath	bagn
doctor	dotor
August	vost
hate	odià
weigh	pesà
goat	cavra
there	ghe
hammer	martell
call	ciamà
cradle	cüna
maize	formenton
a	vun
suffocate	sofegar
peacock	pavon
bark	rusca
eat	mangià
save	salvà
lift	alzà
go	andà
August	agust
cheese	furmàcc
hard	dür
encyclopedia	ençiclupédia
art	aart
alphabet	abecee
distant	lontan
spider	ragn
run	cór
song	canzon
weep	piang
come	vegnì
utumane	utumana
below	sott
win	veng
cut	tajâ
be able to	podè
dream	sogn
pronunciation	parnonzia
bathe	bagnà
yellow	jalda
milk	latt
have	avè
milk	móng
ripe	madur
old woman	veggia
Monday	lönesdé
Tuesday	martedé
Wednesday	mercoldé
Thursday	giöedé
Friday	venerdé
Saturday	sàbot
Sunday	dümìnica
grape	uga
then	pö
kiss	basà
Monday	lunedí
Thursday	jovedí
Friday	venerdí
Lombard	cazzoeula
girl	tósa
boulder	scepp
anoint	vong
no	nò
sharp	guzz
yellow	jald
yellow	jalde
yellow	jâld
Tuesday	martedí
Wednesday	mercoldí
Thursday	jœbia
chair	scagn
frighten	stremí
nail	ciod
resemble	someià
OK	va ben
OK	d'acòrdi
strawberry	magiostra
cold	fregg
woman	giovena
ox	bö
adjective	-izà
duck	aneda
neighbour	visin
singer	Barbapedana
nephew	nevod
Dr	dr.a
hunt	cascià
work	lavorà
kill	mazzà
put	mètt
wait	spettà
write	scriv
want	vorè
remember	ricordà
listen	ascoltà
eat	zenà
pick	scernì
print	stampà
cut	taià
find	trovà
fly	mòsca
be	vèss
hold	tegnì
know	savè
lick	leccà
swim	nodà
steal	róbà
tie	ligà
black	negher
love	amór
white	bianch
long	lóngh
short	cùrt
soft	mòll
sweet	dolz
yellow	giald
enough	assee
new	nöff
ice	giazz
cook	cögh
cook	cös
know	cugnuss
heart	cör
sew	cusì
kitchen	cusinna
knife	cortell
burn	brusà
ache	dorì
play	giugà
play	giögh
drop	gótta
knee	genocc
church	giesa
hunger	famm
bean	fasö
move	möves
wash	lavà
dry	sugà
skin	pèll
roof	tècc
add	giontà
help	iuttà
wolf	lóff
inside	denter
son	fiö
fire	fögh
bark	baià
naked	biott
sour	brusch
plum	brugna
key	ciav
leaf	föia
scissors	forbes
hump	göba
liver	fidegh
enjoy	godè
needle	guggia
bird	usell
nail	ongia
daughter-in-law	nöra
elbow	gombet
wife	miee
today	incö
enemy	nemis
cloudy	nivol
sin	peccà
wood	legn
lightning	saètta
piece	pezz
comb	pèttin
rain	piovuda
rain	piöf
clean	nettà
well	pozz
need	bisogn
hide	scónd
summer	estaa
scythe	falc
praise	lodà
ask	domandà
scratch	grattà
sweep	scovà
ash	zener
dream	sognà
arm	brazz
empty	vodì
throw	buttà
orange	naranz
five	çinc
slug	lumaga
Japan	Gjapon
July	luj
town	çitâ
town	citâ
town	paes
body	còrp
male	oregjon
male	culaton
heart	cœr
lead	piomb
lead	piomp
field	canp
cat	gatj
