and	de
see	make
thread	awe
cook	taulu
father	dea
they	ona
he	una
give	kula
rice	bira
monkey	mia
pig	titi
buttocks	goa
nice	tero
call	asoko
cry	ari
wood	gota
mother	esa
mouth	uru
evil	kule
go	tagi
footprint	rio
cut	rari
flow	uisi
seek	tike
brother-in-law	geri
drunk	eto
lie	pagara
night	obiri
cat	boki
chicken	namoro
urinate	osisi
older sister	riaka
clever	pade
person	nyawa
animal	haiwani
rise	parene
dog	kaso
laugh	iete
water	akere
house	woa
thank you	alele
I	ngoi
watermelon	samaka
full	punusu
detour	resene
name	ronga
sand	dowongi
misfortune	bodito
island	Tarinate
mat	jongutu
fish	naoko
nose	ngununu
illness	panyake
shoulder	belaka
ash	kakawo
shell	sasawi
incense	manyanyi
eat	odomo
fruit	sowoko
wife	wekata
sit	gogere
warm	sauku
prince	koana
crocodile	gosomanga
grave	boosuku
forest	meleunu
rope	gumutuku
grass	nguusumu
ancestor	gauwewe
mirror	kasinaa
diligent	sofala
drink	okere
loosen	pidili
beat	paasana
child	ngowaka
stupid	solimongo
smart	cawaro
dirty	pepeke
short	tipoko
beautiful	bangoro
fat	pululunu
small	tingoono
sharp	todomo
thin	pelelaka
depressed	tuuduku
scared	tokokana
hungry	sawini
constipated	tuunisi
choking	surugogo
trembling	tirine
tired	pelosoko
bored	kiwounu
ashamed	maeke
feverish	gogama
food	inomo
elder	balusu
plate	dueku
forest	bongana
air	bounu
weed	ubutu
wave	mokumoku
you	ngona
strong	kuata
couple	giajooungu
snail	gaale
head	saeke
descendant	ngowangowaka
boat	ngootiri
miniature	ngongootiri
doll	nyawanyawa
cudgel	babaasana
betel nut	mokuru
heart	singina
tall	akuru
fathom	mongoo
fox	sarigala
beach	babarene
meat	akeme
say	ngose
walk	siduuru
follow	tuuru
