eternity	abada
thou	i
thatch	ci
we	an
stiff porridge	to
finish	ban
horse	so
group	do
death	saya
peanut	tiga
gift	sama
at	ye
today	bi
household	du
I	n
they	u
soul	ni
stew	na
forest	tu
sun	tile
egg	fan
day	don
child	den
nose	nun
him	ale
eye	nya
give	di
new	kura
black	fin
cake	gato
stick	bere
disease	bana
sea cow	ma
again	tun
there	yen
lion	waraba
arm	bolo
eat	dun
dye	gala
your	aw
tail	ku
bridge	babili
neck	kan
Fulakan	Fula
the	a
God	Ala
trap	jan
cassava	bananku
child	dee
mudcloth	bɔgɔlanfini
baobab	sira
but	nka
jump	gan
donkey	fali
bone	kolo
king	masa
field	foro
speak	kuma
number	dama
medication	furakɛla
lung	fogonfogon
need	mago
water	ji
mosquito	soso
woman	muso
leaf	fura
Sunday	kari
African mahogany	jala
moustache	dalasi
horn	buru
jiri	yiri
afternoon	wula
guard	mara
moon	kalo
tomorrow	sini
state	faso
meal	fana
fishhook	dolen
they	olu
tree	jiri
dog	wulu
cow	misi
fly	pan
drink	mìn
kapok tree	banan
here	yan
womb	denso
why	munna
manner	cogo
hill	kulu
stool	kurun
no	ayi
story	maana
advise	laadi
one	kelen
wrong	gasi
charm	sara
environs	lamini
art	seko
tomorrow	sinin
birth	bange
do you speak English	i bɛ angilekan men wa
marriage	furu
kingdom	masaya
tribe	siya
used	kólon
you	a'
parent	mansa
mourning	sanga
well	ayiwa
rich	baana
stone	fára
canton	kafo
sea	geji
papaya	manje
mind	hakili
cat	jakuma
fear	síran
hut	bulon
witness	seere
plantain	baranda
intestine	nugu
learn	dege
pleasant	diya
chest	disi
strength	barika
call	wele
plant	turu
language	-kan
power	fanga
vine	tufin
ax	jele
chicken	sɛ
patience	sabali
Faidherbia albida	balansan
Fula	Fulani
Bambara	Bamanan
crocodile	bama
man	cɛ
Bambara	Bamanankan
Fula	Fulakan
French	Tubabukan
African locust bean	nɛrɛ
nothing	foyi
banana	namasa
sweet potato	masaku
soil	bɔgɔ
drum	dunun
drum	jenbe
curse	danga
eating	dumuni
health	kɛnɛya
trade	julaya
tears	ɲɛ́-ji
saliva	dá-ji
commerce	jago
there	tɛ
human	adamaden
God	alalandi
manatee	bafaarɔ
middle finger	cɛmancɛrɔbana
family	denbaya
good-for-nothing	denbo
disease	jankaro
or	walima
forever	badaa
fish	jɛgɛ
hut	bugu
learning	baarakalan
work	baara
raise	ladamu
sky	sán
town	dugu
animal	bagan
go out	bɔ
hole	dingɛ
time	shinye
tough	ŋana
