kiss	sun
bicycle	pit
old	lama
book	buku
cat	kucing
I	aku
river	kali
flat	rata
forest	alas
beer	bir
time	ping
ray	pe
fence	pager
four	pat
yonder	ika
gamble	main
tree	wit
hour	jam
tough	alot
needle	dom
woman	wanita
what	apa
translate	arti
moon	rembulan
room	kamar
horse	kuda
wood	kayu
land	tanah
animal	binatang
father	bapak
countrified	ꦏꦠꦿꦺꦴ
child	anak
red	abang
sound	uni
seal	cap
sister-in-law	ipé
newspaper	koran
daytime	awan
salty	asin
bad	ala
century	abad
branch	pang
jequirity	saga
five	lima
already	sampun
lion	singa
teacher	guru
husband	laki
gold	emas
there	ana
pig	babi
excrement	tai
this	ki
afternoon	sore
unit	iji
not	ora
sugar	gula
rest	aso
face	rai
fish	mina
pillow	bantal
eri	ri
speech	basa
two	ro
divide	dum
yonder	ka
young	nom
eye	mata
ash	awu
liver	ati
buy	tuku
rise	tangi
gall	peru
answer	wales
return	bali
king	raja
palace	pura
sin	dosa
Aristotle	Aristoteles
this	iki
ri	eri
dog	asu
envy	iri
price	rega
hundred	bara
sweet	legi
drill	bur
palace	puri
strength	bala
nose	irung
death	pati
sibling	ari
intestine	usus
where	endi
galaxy	galaksi
title	rama
thigh	pupu
rice	pari
taro	tales
dry	garing
peacock	merak
feeling	rasa
that	iku
skinny	kuru
and	lan
wound	tatu
mark	tenger
friend	kanca
soap	sabun
hunt	buru
name	aran
like	kaya
ꦥꦸꦭꦺꦴ	pulo
how many	pira
cooked rice	sega
family	warga
dead	mati
origin	asal
appearance	rupa
mother	ibu
news	kabar
glass	gelas
citrus	jeruk
there	kono
pestle	alu
skin	kulit
hand	tangan
nerve	urat
bird	manuk
raw	mentah
bamboo	kalo
sea	tasik
cry	tangis
middle	tengah
snake	ula
group	kaum
lightning	kilat
north	utara
sky	langit
swim	langi
sail	layar
north	lor
white	putih
age	umur
news	warta
parrot	nuri
island	nusa
hair	rambut
market	pasar
bread	roti
milk	susu
sugar cane	tebu
monarch	ratu
uncooked	beras
nail	kuku
moss	lumut
pus	nanah
uwong	wong
axe	kapak
white	séta
professor	profesor
older	raka
dog	sona
post	saka
fragrant	wangi
already	wis
moon	ratih
turn	muter
ladder	andha
day	dina
fire	brama
laughter	guyu
amangan	mangan
brain	utek
fat	lema
net	arad
house	balé
not	boten
thin	tipis
north	untara
air	hawa
shoulder	bahu
puppy	kirik
louse	tuma
big	geng
fruit	woh
butterfly	kupu
poison	wisa
go	lunga
earth	siti
oil	lenga
ready	dadi
god	gusti
fire	geni
friend	mitra
chisel	pahat
tiger	macan
skinny	kera
wave	alun
fire	latu
shame	isin
fat	lemu
current	mili
ant	semut
in	ing
daytime	rina
statue	reca
muscle	otot
warm	panas
who	sapa
mosque	mesjid
camel	onta
year	taun
heavy	abot
mosquito	lemut
orphan	lola
cucumber	timun
candle	lilin
civil servant	amtenar
turn	puter
this	kini
blue	biru
yellow	kuning
mouse	tikus
flower	kembang
copper	tembaga
wind	angin
ꦒꦗꦃ	gajah
yonder	kaen
weave	nenun
poison	racun
twin	kembar
brain	utak
dagger	keris
country	negara
scissors	gunting
bat	lawa
ketupat	kupat
crocodile	baya
bitter	pait
when	kapan
weave	tenun
west	kulon
truna	taruna
turmeric	kunyit
send	ater
food	pangan
brave	wani
war	perang
earth	lemah
army	abala
guest	tamu
press	peres
bat	kalong
asshole	bangsat
dazed	delomong
see	tonton
wide	amba
bear	barong
hole	sumur
because	amarga
turtle	bulus
passage	dalan
just now	wau
nine	sanga
wet	teles
settlement	krajan
tail	buntut
hammer	palu
read	maca
tear	luh
rose	mawar
lake	ranu
bucket	timba
and	sarta
grain	wiji
saliva	iler
animal	kewan
neck	gulu
crow	gagak
snot	upil
uncooked	wos
long	dawa
flesh	daging
spouse	bojo
cloud	méga
kupat	ketupat
straw	dami
nail	paku
cattle	sapi
wire	kawat
safety pin	peniti
answer	jawab
blanket	ꦏꦼꦩꦸꦭ꧀
chili pepper	ꦭꦺꦴꦩ꧀ꦧꦺꦴꦏ꧀
distant	adoh
debt	utang
round	bunder
twelve	rolas
friendly	ꦲꦏꦿꦧ꧀
green	ijo
this	kien
evening	wengi
kettle	ceret
warm	anget
female	putri
fire	agni
one hundred	satus
fall	tiba
hard	atos
tongue	ilat
two	roro
vegetable	ꦗꦔꦤꦤ꧀
wife	rabi
mango	pelem
banana leaf	klaras
quick	gelis
tale	crita
karéta	kréta
inside	jero
thief	maling
bland	sepo
ask	takon
blacksmith	pinter
charcoal	areng
horse	jaran
iron	wesi
beautiful	ayu
forget	lali
game	gim
read	maos
whale	lodan
sleep	turu
cunt	tempik
fuck	ꦗꦚ꧀ꦕꦸꦏ꧀
wheat flour	trigu
broom	sapu
smelly	mambu
sibling	kangmas
affectionate	yayi
road	ratan
field	sawah
grey	uwan
moon	indu
tear	waspa
ear	kuping
vomit	muntah
chew	mamah
stay	inep
I	ingsun
dust	lebu
durèn	ꦢꦸꦫꦺꦤ꧀
hibiscus	worawari
sappan	secang
bald	ꦧꦸꦛꦏ꧀
eight	ꦮꦺꦴꦭꦸ
twenty one	selikur
ten	sapuluh
twenty one	salikur
turn	ider
medicine	tamba
shrimp	ꦲꦸꦫꦁ
water buffalo	ꦏꦼꦧꦺꦴ
door	lawang
bedroom	paturon
stone	watu
water	banyu
oyster	kerang
tin	timah
pull	tarik
market	bakul
smoke	asep
flame	urup
lead	timbel
boat	prau
assistant	patih
left	ꦏꦶꦮ
arm	lengen
not	dudu
corrupt	ꦧꦺꦴꦧꦿꦺꦴꦏ꧀
cunt	turuk
desire	niat
receive	tampa
yellow	jené
sea	sagara
distance	elet
or	atawa
blind	wuta
saliva	idu
family	akrab
corrupt	bobrok
bald	buthak
left	kiwa
eight	wolu
rent	sewa
swell	abuh
fear	wedi
drum	kendhang
waterfall	ꦒꦿꦺꦴꦗꦺꦴꦒꦤ꧀
blanket	kemul
mountain	ꦒꦸꦤꦸꦁ
gajah	ꦒꦗꦃ
population	ꦥꦼꦢꦸꦤꦸꦁ
society	ꦩꦱꦾꦫꦏꦠ꧀
human	ꦩꦤꦸꦁꦱ
education	ꦥꦼꦤ꧀ꦣꦶꦣꦶꦏꦤ꧀
engineering	ꦫꦺꦏꦪꦱ
smoke	kukus
million	yuta
I	ꦲꦏꦸ
I	ꦏꦸ
eat	ꦩꦔꦤ꧀
horse	ꦗꦫꦤ꧀
cèlèng	ꦕꦺꦭꦺꦁ
cattle	ꦊꦩ꧀ꦧꦸ
wind	ꦲꦔꦶꦤ꧀
dog	ꦲꦱꦸ
jaw	uwang
if	manawa
beard	janggut
ox	bajingan
push	tolak
that	kuen
terrain	ara-ara
written	ꦠꦶꦤꦸꦭꦶꦱ꧀
sleep	ꦠꦶꦊꦩ꧀
meet	ꦩꦥꦒ꧀
sun	ꦱꦽꦔꦺꦔꦺ
ꦭꦪꦁ	ꦭꦪꦁꦥꦥꦒ꧀
excellent	ꦭꦶꦤꦸꦮꦶꦃ
person	ꦥꦸꦗꦁꦒ
green	wilis
counted	ꦮꦶꦤꦶꦭꦶꦱ꧀
stone	ꦱꦺꦭ
cemeng	ꦕꦼꦩꦼꦁ
ꦕꦼꦩꦼꦔꦚ꧀	cemengan
irreligious	ꦥꦱꦺꦏ꧀
rain	udan
fiery	ꦧꦿꦤꦁ
fiery	ꦲꦩ꧀ꦧꦿꦤꦁ
burnt	kebranang
chaotically	abosah-basih
egret	kuntul
kidney	ꦉꦩꦸꦗꦸꦁ
stag-beetle	ꦮꦁꦮꦸꦁ
week	ꦮꦸꦏꦸ
twenty	Bala
water	ꦮꦺꦢꦁ
human	ꦗꦤ꧀ꦩ
hollow	ꦱꦼꦩ꧀ꦥꦿꦺꦴꦁ
all	sadaya
root	ꦲꦺꦴꦪꦺꦴꦢ꧀
flat	ꦭꦺꦠꦺꦂ
large	agung
big	ꦒꦼꦣꦺ
reciting	ꦢꦸꦫꦸꦔꦤ꧀
extraction	pathi
millet	ꦗꦸꦮꦮꦸꦠ꧀
platter	ꦲꦶꦪꦤ꧀
flower	ꦩꦪꦁ
dried	ꦏꦮꦸꦁ
bat	kampret
property	bandha
thick	kandel
spouse	garwa
blood	getih
song	tembang
salt	uyah
right	bener
soft	lembut
right	tengen
you	jenengan
expert	juru
chili	lombok
sun	srengéngé
prawn	urang
fiery	ambranang
big	gedhé
ꦢꦸꦫꦺꦤ꧀	durèn
friend	ꦏꦚ꧀ꦕ
frog	ꦏꦺꦴꦢꦺꦴꦏ꧀
fiery	branang
ꦕꦼꦩꦼꦁ	cemeng
prince	ꦥꦔꦺꦫꦤ꧀
ancestor	ꦊꦭꦸꦲꦸꦂ
wilted	ꦭꦪꦺꦴꦤ꧀
ox	ꦧꦗꦶꦁꦔꦤ꧀
meet	mapag
swamp	rawa
batik	ꦧꦛꦶꦏ꧀
scissors	ꦒꦸꦤ꧀ꦠꦶꦁ
plant	ꦠꦤ꧀ꦢꦸꦫꦤ꧀
inflammation	ꦥꦼꦫꦢꦔꦤ꧀
kendhang	ꦏꦼꦤ꧀ꦝꦁ
speed	ꦏꦕꦼꦥꦼꦠꦤ꧀
