at	pie
without	a-
or	ab
abbess	abate
well	nu
riband	lente
notch	robot
every	ik
here	te
password	parole
to me	man
Malta	Malta
Equus zebra	zebra
llama	lama
that	to
plow	art
bean	pupa
ouch	ai
European Union	ES
bee	bite
verse	pants
lamp	lampa
shepherd	gans
but	tak
interval	distance
plow	arts
adversative conjunction	bet
aphorism	sentence
table-leaf	plate
freeze	salt
halt	stop
bare	bass
yeah	aa
hat	mice
additive conjunction use	un
group	kopa
beat	test
ray	stars
away	prom
not	ne
with	ar
on	pa
you	tu
bus	buss
branch	algebra
fame	slave
even	pat
zero	nulle
egg	ola
those	tie
dad	papa
bread	maize
black woman	more
activity	rosa
tree	mango
forge	kalt
board	valde
feel	just
if	ja
along	gar
so	tik
animal	riet
Esdras	Ezra
cue	kija
Congo	Kongo
till	apart
boat	laiva
laikā	pieni
Turk	turks
pan	panna
role	loma
grind	malt
dance	diet
portion	deva
summer	vasara
mass	mesa
cave	ala
monofonisks	mono
eglantine	ego
just	aba
what	ko
drip	pile
about	par
we	mes
mouth	mute
bosom	azote
camera	kamera
cargo	krava
wife	mačka
politics	politika
carry	nest
give	dot
behind	az
bank	banka
to that	tam
sturgeon	store
lead	vest
live	mist
student	studente
throw	mest
price	cena
because	jo
salary	alga
main artery	aorta
aspen tree	apse
punch	bole
cola	kola
pizza	pica
long ago	sen
then	tad
plug	tapa
use	tas
very	vis
afraid	bail
development	progress
race	rase
display	skate
example	piemērs
brave	dross
plow	aris
speed	temps
woof	vau
to that	tai
well	aka
empress	imperatore
tank	tanks
person	persona
council	dome
tidy	post
swastika	svastika
wool	villa
savannah	savanna
boron	bors
mum	mamma
sweet pepper	paprika
nez vai	nez
purpose	lai
orientēšanās sports	orientēšanās sports
color	perve
honor	gods
Wikipedia	Vikipēdija
Wikipedia	Wikipēdija
ten	desmit
he	nav
charcoal	ogle
elm	goba
tsar	cars
hell	elle
dezoksiribonukleīnskābe	DNS
hen	vista
wheel	rats
potassium	kālijs
Pole	polis
that	ka
me	mani
khan	hans
bit	bits
ancient	sens
one	viens
sharp	asi
fame	slava
version	variants
port	ports
North America	Amerika
male	administrators
natron	soda
persimmon	hurma
letter	a
light	kurt
ornament	rota
oyster	austere
flexible	loki
mortar	java
Jurassic	jura
hey	hei
table	tabula
Venus	Venera
ray	raja
Hindi	hindi
poison	inde
mood	oma
lift	celt
h	ch
H	Ch
tasty	gardais
world	pasaule
Sweden	Zviedrija
put on	auts
gulp	tempt
domestic dog	suns
ice	ledus
animal	dzīvnieks
nose	deguns
beer	alus
pay	maksa
on	uz
sir	sers
put on footwear	aut
both	gan
kiwi bird	kivi
discussions	debates
pile	kraut
movie	filma
philosophy	filozofija
sausage	desa
path	taka
Georgia	Gruzija
Thames	Temza
without	bez
lump	pika
active	naski
window	logs
icon	ikona
cell	celle
organism	organisms
bite	kost
picture	bilde
wide	plats
box	kaste
smell	ost
my	mans
disease	liga
element	elements
property	manta
environment	vide
well	labi
palm tree	palma
shower	duša
ridge	kore
ball	balle
disc	disks
watt	vats
type	tips
deformation	robs
aunt	tante
heraldry	heraldika
palace	pils
sport	sports
tag	birka
Elvijs	Elvis
those	tos
avenue	aleja
lath	lata
Balts	balti
flame	guns
Esperanto	esperanto
moment	moments
rose	roze
enough	gana
instrument	instruments
student	students
fault	vaina
verb	verbs
abortion	aborts
speech	runa
Martha	Marta
cent	cents
crowd	bars
handle	osa
dessert	deserts
psalm	psalms
adverb	adverbs
horn	rags
species	suga
horsetail	kosa
singular	deja
atom	atoms
bee larvae	peri
monument	monuments
badger	āpsis
frog	varde
paper	papīrs
stone	akmens
river	upe
black	melns
gray	pelēks
green	zaļš
blue	zils
axe	cirvis
bot	bots
intestine	zarna
cheese	siers
milk	piens
tree	koks
tomato	tomāts
ashes	pelni
slave	vergs
spine	mugurkauls
filter	filtrs
fan	ventilators
letter	burts
rodent	grauzējs
snowman	sniegavīrs
republic	republika
dew	rasa
edge	mala
norm	norma
in those	tais
Kenya	Kenija
heap	guba
yesterday	vakar
indicate	ak
juice	sula
who	kas
sail	bura
female calf	tele
conjure	burt
tooth	zobs
little purse	maks
school	skola
test	tests
monetary unit	lats
shit	sūds
both	abi
hit	sitis
Ruth	Rute
dative complement	sist
baron	barons
mouse	pele
start	starts
now	tagad
sheep	aita
tin	alva
spirit	gars
do	jel
nurse	kopt
bind	siet
bird	lidot
ground	zeme
under	zem
honey	medus
head	galva
airport	lidosta
port	osta
little	maz
berry	oga
article	prece
row	rinda
hand	roka
blanket	sega
