reach	abut
keng	king
liver	ate
true	tutu
I	aku
moon	bulan
board	sake
person	tau
this	ini
uncle	bapa
ash	abu
child	anak
black	palus
no	ali
accost	abat
house	bale
stone	batu
one	isa
language	salita
dao	dau
knee	tud
wet	basa
eye	mata
coitus	karat
rain	uran
thread	hilo
dog	asu
beauty	lagu
life	bie
urine	imi
excess	labi
aunt	dara
tea	cha
gulf	laut
yes	wa
fire	api
disease	salut
six	anam
drink	minum
choke	sakal
come	datang
louse	kutu
cooked	nasi
chicken	manuk
breast	susu
dish	pinggan
pig	baboy
cat	pusa
white	puti
fly	lango
moss	lumut
fear	takut
chest	salu
wood	dutung
later	pota
immediately	agad
eat	mangan
crocodile	dapu
bridge	tete
sand	balas
town	balen
cousin	pisan
tax	buis
blind	bulag
blood	daya
island	pulu
descend	tipa
ring	singsing
small	malati
act	muli
lying down	kera
filching	kupit
rice	lelut
honey	pulut
ant	panas
milk	gatas
morning	abak
bench	bangku
false	bintang
wind	angin
spoon	kutsara
brain	utak
moret	murit
scissors	gunting
floor	landi
thank you	salamat
dirty	marinat
tooth	gigi
abaca	abaka
family	abala
sky	banwa
exposed	bilad
leaf	bulung
unmarried	dalaga
road	dalan
moret	muret
vegetable	gule
breakfast	abakan
mirror	salamin
spouse	asawa
mushroom	kabuti
like	kaburi
muret	moret
young	tandang
lunch	abacan
realise	abalac
classroom	klasi
nail	paku
acacia	akasya
weight	bayat
fish	asan
bird	ayup
mouse	dagis
tree	tanaman
dirt	dinat
surface	babo
evening	bengi
upper	pambuk
hand	gamat
calamondin	kalamansi
sit	lukluk
mother	indu
new	bayu
umbrella	payung
north	pangulu
right	uanan
sun	aldo
acclaim	bunyi
drowsiness	tundu
order	utus
what	nanu
man	lalaki
black	igat
woman	babai
hell	infiernu
water	danum
translate	likas
chair	tabureti
strangler figs	baliti
window	awang
two	addua
feces	takla
bring	kandung
today	ngeni
airport	sulapawan
tooth	ipan
fever	lagnat
fur	buwak
forest	gubat
Impatiens balsamina	kamantigi
naughty	musmus
placenta	inunlan
box	kartun
penis	butu
teaspoon	kutsarita
body	katawan
shark	pating
rust	kalawang
street	lansangan
there is	atin
cold	amian
south wind	abagat
crab	ayama
cockroach	ipas
blanket	ulas
strong	masikan
foot	bitis
phlegm	badlo
pimple	punggod
mountain	bunduk
sky	banua
weight	timbang
Capsicum	lara
help	saup
stomach	atyan
countryman	kabalen
file	simpan
scorpion	alakdan
straw	dayami
fontanelle	bumbunan
cicada	kuliglig
small	talangka
groin	singit
sole	talampakan
frog	tugak
birth	kebaitan
death	kematayan
long	makaba
when	kapilan
roof	atup
city	lakanbalen
delicious	manyaman
river	ilug
word	kataya
madagul	maragul
patron saint	pintakasi
ignorant	mangmang
mawli	mauli
east	aslagan
west	albugan
president	pamuntuk
buttock	buldit
ear	balugbug
vagina	antak
word	amanu
name	lagyu
call	awus
three	atlu
few	ditak
nose	arung
smoke	asuk
drizzle	lintik
goose bumps	kaligkig
sleep	tudtud
ten	apulu
food	pamangan
noisy	mainge
explode	akbung
labuwad	labwad
dance	terak
hot	mapali
cold	marimla
coldness	dimla
voice	siwala
top	taluktuk
Macau	Hizon
spider	babagwa
cockfighting	sabung
noon	ugtu
armpit	kilikili
spank	barog
short	makuyad
time limit	taning
image	larawan
fastidious	pihikan
scold	bulyaw
handrail	guyabnan
quail	pugu
other	aliwa
abias	abyas
throat	akmulan
swallow	alduk
mole	alimpuyu
firefly	alipatpat
history	amlat
flower	sampaga
eggplant	balasenas
church	pisamban
bread	tinape
depth	lalam
black	matuling
sea hibiscus	balibago
future	kanlas
really	tagana
archbishop	arsobispo
legume	kamatsile
go down	kuldas
pronoun	panalili
adverb	panantabe
elder	atsi
Portunus pelagicus	alimasag
star	batuin
thunder	duldul
lightning	kildap
father	ibpa
beautiful	malagu
love	lugud
afternoon	gatpanapun
dusk	sisilim
tornado	ipu-ipu
gold	gintu
leaf	labung
lump	bukul
shoo	buyaw
bruise	bugbug
upper	ngusu
nape	tundun
cashew	balubad
silver perch	ayungin
chair	luklukan
gall	atdu
caluguran daka	kaluguran daka
miscarriage	pamangikwan
conception	pamangagli
trustworthy	tiwala
earthquake	ayun
flood	albug
submerge	lubug
presidency	pangapamuntuk
abyas	abias
swallow	akmul
bitter melon	apalya
mouth	asbuk
birthmark	baluk
carabao	damulag
rare	bihira
abundant	sagana
love potion	gayuma
sport	pasiknangan
parent	pengari
sadness	lungkut
advance	sulung
suck	utut
hillside	bakulud
glass	bubug
smallpox	bulutung
incite	aglahi
dust	alipugpug
carpenter	anluagi
mop up	kayud
coccyx	kayukut
forest	kakewan
lock up	kulung
speed	salusu
cry	ngalngal
axe	palakul
softness	lambut
soft	malambut
flayed	lapnus
concave	lukung
shinbone	lulud
how much	magkanu
pull	sabunut
tamarind	sampaluk
santol	santul
giant trevally	talakituk
road	pidalanan
coconut	ngungut
according to	agpang king
according to	agpang kang
but	oneng
door	pasbul
daily	aldo-aldo
nukarin	nokarin
sea	dayat
kedayatmalatan	kadayatmalatan
kadayatmalatan	kedayatmalatan
kadayatmalatan	karayatmalatan
kadayatmalatan	kerayatmalatan
dirty	masukal
egg	ebun
grandmother	impu
nokarin	nukarin
ancient	Kulitan
house lizard	lupisak
so-and-so	kayi
mystery	duwala
copper	tangsu
silt	banlik
rib	tagyang
pungent	maparas
grasshopper	lipaktung
reply	pakibat
dark	madalumdum
put on	isulud
thread	sinulad
finger	taliri
coffin	kabaung
needle	karayum
maybe	mekad
obvious	ulata
reason	sangkan
rice cake	pepalto
bed	pitudturan
back	gulut
dancer	talaterak
frame	bastagan
discomfort	nanung pilawe-lawe mu
tiny	niknik
roughness	gaspang
sibling	kapatad
avocado	abukadu
fish paste	alubebe
I don't know	tabalu
I have a question	atin kung kutang
do not enter	e ka lulub
I like you	buri daka
stinging	maplas
kans grass	talaib
side	talandikin
calamondin	kalamunding
common bamboo	kiling
election	alalan
