Ol Cemet'	ᱳᱞ ᱪᱮᱢᱮᱫ
water	ᱫᱟᱜ
harvest	ᱚᱵᱚᱫ
grandfather	ᱚᱡᱚ
bother	ᱚᱡᱚᱨ
goat	ᱢᱮᱨᱳᱢ
eye	ᱢᱮᱫ
butterfly	ᱯᱤᱯᱲᱤᱚᱝ
horse	ᱥᱚᱫᱳᱢ
dog	ᱥᱮᱛᱚ
grandmother	ᱟᱡᱤ
weak	ᱚᱵᱳᱞ
village	ᱟᱛᱳ
India	ᱵᱷᱚᱨᱳᱛᱵᱳᱨᱥᱚ
lungs	ᱵᱳᱠᱳ
language	ᱵᱳᱞᱤ
heart	ᱵᱳᱨᱳ
color	ᱵᱳᱨᱳᱱ
tea	ᱪᱚ
wheel	ᱪᱚᱠ
spoon	ᱪᱚᱢᱚᱪ
body	ᱪᱳᱞᱚ
field mouse	ᱪᱳᱴᱳ
inkstand	ᱫᱳᱚᱛ
big	ᱰᱳᱵᱳ
shop	ᱫᱳᱠᱚᱱ
hip	ᱰᱩᱠᱮ
owl	ᱫᱩᱱᱫᱩ
ash fleabane	ᱰᱩᱨᱭᱚ ᱚᱲᱚᱜ
enemy	ᱫᱩᱥᱢᱚᱱ
one	ᱮᱠᱚ
begin	ᱮᱦᱳᱵ
mother	ᱮᱝᱜᱚ
wife	ᱮᱨᱚ
woodpecker	ᱮᱨᱮ
earwax	ᱮᱲᱜᱳᱫ
center	ᱜᱚᱵᱷᱚ
gum arabic	ᱜᱚᱵᱞᱚ
eclipse	ᱜᱚᱦᱚᱱᱚ
cow	ᱜᱟᱤ
rhinoceros	ᱜᱚᱱᱰ ᱜᱟᱨᱩᱲ
Ganges	ᱜᱚᱝᱜᱚ
striped hyena	ᱦᱟᱫᱜᱚᱨ
snow	ᱦᱤᱢ
forget	ᱦᱤᱲᱤᱧ
yesterday	ᱜᱳᱞᱚ
rat	ᱜᱳᱱ
Santali	ᱜᱳᱲ ᱨᱳᱲ
flag	ᱪᱤᱨ
stone	ᱫᱷᱤᱨᱤ
buttermilk	ᱜᱷᱳᱨ
milk	ᱛᱳᱚ
truth	ᱥᱚᱛ
death	ᱢᱳᱨᱳᱱ
ant	ᱢᱩᱡ
see	ᱧᱮᱞ
demon	ᱵᱷᱩᱛ
alum	ᱯᱷᱤᱴᱠᱤᱨᱤ
witch	ᱯᱷᱩᱠᱨᱤᱱ
flower	ᱯᱷᱩᱞ
small	ᱯᱤᱞᱪᱩ
flour	ᱯᱤᱴᱷᱟ
locust	ᱯᱳᱦᱳ
whiten	ᱯᱳᱱᱰ
four	ᱯᱳᱱ
wife	ᱨᱤᱱᱤᱡ
fly	ᱨᱳ
disease	ᱨᱳᱜ
blood	ᱨᱳᱠᱳᱛ
language	ᱨᱳᱲ
ink	ᱥᱤᱭᱟᱦᱤ
cold	ᱥᱤᱛᱳᱞ
smell	ᱥᱳ
beard	ᱥᱳᱫᱨᱳ
gold	ᱥᱳᱱᱚ
plough	ᱥᱤ
grape	ᱚᱝᱜᱩᱨ
white grape	ᱯᱳᱱᱰ ᱚᱝᱜᱩᱨ
Sanskrit	ᱥᱚᱸᱥᱠᱨᱩᱛ
jackfruit	ᱜᱷᱟᱱᱴᱟᱲ
jackfruit	ᱠᱷᱟᱱᱴᱟᱲ
or	ᱥᱮ
Ol Chiki	ᱚᱞ ᱪᱤᱠᱤ
hour	ᱴᱟᱲᱟᱝ
minute	ᱴᱤᱲᱤᱡ
second	ᱴᱤᱯᱤᱡ
time	ᱚᱠᱛᱚ
clock	ᱜᱷᱩᱰᱤ
tiger	ᱛᱟᱹᱨᱩᱵ
religion	ᱫᱷᱚᱨᱚᱢ
