rattan	chook
swollen	as
we	haar
four	empat
fall	jeer
they	et
bury	tap
two	naar
wasp	ook
hold	chap
winnow	geep
eye	mat
run	jar
cloth	abat
peel	pook
porcupine	kuus
trap	dak
we	jaar
bite	kap
leg	juk
nine	sembilan
hand	tek
house	deek
liver	riis
nephew	koot
chicken	puk
agape	aang
branch	chaak
feverish	dekat
neck	tangen
fall	kòl
eight	lapan
bind	bek
debt	dees
companion	roop
snail	tooq
seven	tujoh
stand	jek
six	ennam
meat	séc
finger	jaras
grashopper	chuk
activity	ektiviti
year	tahut
scratch	gés
I	èng
waterfall	talak
cry	jaap
head	kuuy
mushroom	betees
drunk	beel
water	teew
rabbit	arnap
pangolin	jool
ghost	ki'mòòc
squirrel	perook
rafter	cherak
sparrow	rèc
fire	òòs
barking deer	pooc
leaf	selaaq
mouse	keniiq
cook	chèèt
louse	chèèq
sound	engròq
tooth	lemuuñ
big	hiit
bamboo	pe'òòq
ask	semaañ
drink	ngòòt
wood	jehuuq
sleep	bèèt
eat	chaaq
deep	jereeq
penis	looq
Indian	Keléng
Malay	Gòp
banana	telèy
sand	sembèy
pig	leeq
bird	chèèp
termite	gereeñ
eagle	kelaak
egg	pengleek
hair	sòòk
order	òòr
bald	laac
bone	je'aak
sweat	se'èèp
centipede	ke'èèp
root	re'iis
bee	luwèèy
cricket	jarèt
turmeric	remèèt
urine	nòòm
blood	behiip
hear	gertéék
sated	ba'heeq
winnowing	jempiir
dream	empooq
swim	lòòy
fly	rooy
skin	geteeq
heart	nòòs
knee	kurool
fish	kaaq
sea	lawot
run away	deeq
one	naneq
three	niq
wet	ka'aac
five	limaaq
ten	sepuloh
moon	gechèèq
soil	tiiq
live	réés
sun	mat jiis
day	jiis
night	kelèm
night	mengòòt
pestle	renééq
full	tebeek
calendar	surat gechèèq
red ant	gesòòq
crab	kantéém
spider	tapeng
snake	tajoq
new	paay
junglefowl	denaq
dog	chooq
wolf	chooq léék
snail	kalooq
forest	serak
betel nut	beleek
human being	seng'òòy
ginger	kerjaaq
tongue	lentaak
pandan	panat
God	jenaang
star	perlooy
shooting star	èc perlooy
excrement	èc
stone	gepgeep
thorn	jerlaaq
sneeze	gechas
roof	pelook
blowgun	belaaw
grandmother	ajaaq
paddy	baaq
shy	selsèèl
mother	amèèq
father	abééq
nose	mòh
mountain	jelmòòl
New Year	Jiis Paay
booger	èc mòh
gound	èc mat
earwax	èc entak
woman	kerdoor
husband	gensiir
write	chòòl
Chinese	Chenghòr
toilet	chonòòm
father	apaq
grandmother	jajaaq
wife	kenah
man	keraal
smile	kernyim
good	bòòr
machette	yooc
durian	sempaaq
work	kerjaq
enter	muuc
rib	cheres
long	liiw
turn	chawiil
shoulder	gelpaal
fingernail	chengroos
elbow	kanyòng
spit	tòh
tail	sentaaq
wing	kengyèèk
cheek	miing
goat	kambék
cow	lembuuq
give	òòk
footprint	déél
long	cheruk
long	cherek
near	nyòòn
gall bladder	kemat
they	ubay
you	hèq
he	ijii
he	kééq
you	je'oot
you	jerkeeq
we	jiiq
we	jééq
we	hiiq
we	hééq
you	keeq
they	mambééq
they	ennaay
tree	kenèèng
suck	nyòq
unhusked	chengròòy
hit	teroq
harvest	kèc
drip	jòòt
sit	geey
cut	kooh
child	kenon
breast	mèèm
mouth	empaak
rain	maniiq
throw away	pèc
afraid	sengòh
right	kentòp
fall over	teuh
fall over	teeh
pimple	mòòn
warm	se'eep
break	pèh
jaw	janggap
burn	tòòt
old	engraaq
whistle	hòòk
hole	taloh
maggot	kemòòr
maggot	kemuur
explode	peladòh
carry	gulap
