Amharic	አማርኛ
friend	ጓደኛ
Ethiopia	ኢትዮጵያ
butterfly	ቢራቢሮ
Greek	ግሪክኛ
I	እኔ
Wikipedia	ዊኪፔዲያ
consideration	ይሉኝታ
goose	ዝይ
Sunday	እሑድ
Monday	ሰኞ
Tuesday	ማክሰኞ
Wednesday	ረቡዕ
Thursday	ሐሙስ
Friday	ዓርብ
Saturday	ቅዳሜ
Tigrinya	ትግርኛ
ready	ዝግጁ
sister	እኅት
house	ቤት
eye	ዐይን
father	አባት
thirty	ሠላሳ
eighty	ሰማንያ
March	መጋቢት
April	ሚያዝያ
May	ግንቦት
september	መስከረም
october	ጥቅምቲ
Hathyr	ኅዳር
money	ገንዘብ
buy	ገዛ
brick	ጡብ
salt	ጨው
pearl	ሉል
lime	ሎሚ
baby	ሕፃን
chair	መንበር
banana	ሙዝ
corpse	ሬሳ
word	ቃል
porcupine	ቅንፍዝ
language	ቋንቋ
coffee	ቡን
prophecy	ትንቢት
king	ንጉሥ
star	ኮከብ
horse	ፈረስ
peace	ሰላም
grain	እህል
camel	ግመል
husband	ባል
name	ስም
month	ወር
plow	ማረስ
head	ራስ
arm	እጅ
blood	ደም
ox	በሬ
cow	ላም
dog	ከልብ
beast	አውሬ
milk	ወተት
heart	ልብ
language	ልሳን
mouth	አፍ
desire	ተመኘ
፩	አንድ
evening	ምሽት
night	ሌሊት
night	ሌት
time	ዘመን
enter	መግባት
come in	ገባ
nationalism	ብሔረተኝነት
ear	ጆሮ
eagle	ንስር
root	ሥር
flower	አበባ
mirror	መስታዎት
lightning	መብረቅ
rain	ዝናብ
rainbow	ቀስተ ደመና
volcano	እሳተ ጎመራ
desert	በረሃ
mountain	ተራራ
valley	ሸለቆ
cave	ዋሻ
river	ወንዝ
island	ደሴት
forest	ጫካ
aardvark	ጃርት
bed	ኣልጋ
burnoose	በርኖስ
hat	ቆብ
jeans	ጂንስ
jacket	ጃኬት
shirt	ሸሚዝ
coffee	ቡና
grape	ወይን
apple	ፖም
yogurt	እርጎ
salad	ሰላጣ
honey	ማር
pillow	ትራስ
beverage	መጠጥ
dictionary	መዝገበ ቃላት
bird	ወፍ
owl	ጉጉት
duck	ዳክየ
cat	ድመት
chameleon	እስስት
lizard	እንሽላሊት
gelada	ጭላዳ
mosque	መስጊድ
monkey	ዝንጀሮ
woodpecker	ግንደ ቆርቁር
crow	ቁራ
hen	ዶሮ
rooster	አውራ ዶሮ
new	አዲስ
do	ማድረግ
make	መስራት
hammer	መዶሻ
read	ማንበብ
give	መስጠት
traffic	ትራፊክ
ask	መጠየቅ
wait	መጠበቅ
cut	መቁረጥ
buy	መግዛት
sell	መሸጥ
listen	ማዳመጥ
learn	መማር
drink	መጠጣት
peach	ኮክ
fruit	ፍራፍሬ
beautiful	ቆንጆ
cinnamon	ቀረፋ
garlic	ነጭ ሽንኩርት
pepper	ቁንዶ በርበሬ
spinach	ቆስጣ
potato	ድንች
tomato	ቲማቲም
onion	ሽንኩርት
stamp	ቴምብር
brother	ወንድም
daughter	ሴት ልጅ
father	እባት
aunt	ኣከስት
mother	እናት
sister	እህት
uncle	ኣጎት
yellow	ቢጫ
black	ጥቁር
blue	ሰማያዊ
brown	ቡናይነት
pink	ሮዝ
purple	ሃምራዊ
red	ቀይ
white	ነጭ
umbrella	ጃንጥላ
tobacco	ትምባሆ
day	ቀን
bless	ባረከ
Estonia	ኤስቶኒያ
bishop	አቡነ
grammar	ሰዋሰው
fire	እሳት
sword	ሰይፍ
heaven	ሰማይ
fuck	በዳ
penis	ቁላ
vagina	እምስ
thou	አንተ
ye	እናንተ
thou	አንቺ
she	እሷ
he	እሱ
they	እነሱ
we	እኛ
dream	እልም
chain	ሰንሰለት
journey	ጉዞ
god	አምላክ
bee	ንብ
cheese	አይብ
cold	ቀዝቃዛ
water	ውሃ
Ohio	ኦሃዮ
dog	ውሻ
map	ካርታ
Somalia	ሶማሊ
gold	ወርቅ
bear	ድብ
cigarette	ሲጃራ
cigarette	ሲጋራ
fish	ዓሣ
amulet	ክታብ
Namibia	ናሚቢያ
Ge'ez	ግዕዝ
Eritrea	ኤርትራ
Denmark	ዴንማርክ
hear	ሰማ
eat	በላ
tree	ዛፍ
Germany	ጀርመን
berbere	በርበሬ
mitmita	ሚጥሚጣ
January	ጃንዩዌሪ
February	ፌብሩዋሪ
March	ማርች
April	ኤፕሪል
May	መይ
June	ጁን
July	ጁላይ
August	ኦገስት
September	ሰፕቴምበር
October	ኦክቶበር
November	ኖቬምበር
December	ዲሴምበር
airplane	አውሮፕላን
military camp	ከተማ
plough	አረሰ
immediate family	ቤተሰብ
ice	በረዶ
expert	ዓዋቂ
icon	አዶ
blessing	ቡራኬ
what	ምን
dog	ዉሻ
automobile	መኪና
baptism	ጥምቀት
police	ፖሊስ
table	ጠረጴዛ
law	ህግ
doctor	ሐኪም
fence	አጥር
telephone	ስልክ
shop	ሱቅ
Europe	አውሮፓ
Paul	ጳውሎስ
post	ፖስታ
student	ተማሪ
finger	ጣት
woman	ሴት
crown	ዘውድ
sun	ፀሐይ
tomorrow	ነገ
worm	ትል
spoon	ማንካ
kiss	ሳመ
Allah	አላህ
open	ከፈተ
Montgomery	ሞንጎመሪ
waterfall	ፏፏቴ
runner	ሯጭ
orange	ብርቱካን
snake	እባብ
sixty	ስልሳ
forty	አርባ
fifty	አምሳ
seventy	ሰባ
ninety	ዘጠና
hundred	መቶ
theory	ኀልዮ
commentary	ሐተታ
community	ማኅበረሰብ
member	ማኅበርተኛ
Muslim	ሙስሊም
Muslim	እስላማዊ
eyeglasses	መነጽር
scissors	መቀስ
window	መስኮት
disaster	መቅሠፍት
democracy	ዴሞክራሲ
constitution	ሕገ መንግሥት
constitution	ሕገ መንግስት
government	መንግሥት
president	ርእሰ ብሔር
president	ፕሬዚዳንት
prime minister	ጠቅላይ ሚኒስትር
minister	ሚኒስትር
water	ውኃ
fire	ቃጥሎ
shoot	ሰዳ
gun	ጠበንጃ
cannon	መድፍ
tank	ታንክ
war	ጦርነት
civil war	የእርስ በእርስ ጦርነት
slave	ባሪያ
flesh	ስጋ
suck	መጥባት
spit	መትፋት
vomit	ማስታወክ
blow	መንፈስ
breathe	መተንፈስ
see	ማየት
hear	መስማት
know	ማዎቅ
think	ማሰብ
smell	ማሽተት
fear	መፍራት
sleep	መተኛት
live	መኖር
die	መሞት
kill	መግደል
fight	መታገል
hunt	ማደን
hit	መምታት
split	መነጣጠል
scratch	መፋቅ
dig	መቆፈር
swim	መዋኘት
fly	መብረር
walk	መሄድ
come	መምጣት
lie	መጋደም
sit	መቀመጥ
stand	መቆም
turn	መታጠፍ
hold	መያዝ
squeeze	መጫን
rub	መቦረሽ
wash	ማጠብ
pull	መጎተት
push	መግፋት
throw	መወርወር
tie	ማሰር
count	መቁጠር
say	መናገር
sing	መዘመር
play	መጫወት
float	መንሳፈፍ
freeze	መቀዝቀዝ
swell	ማበጥ
wife	ሚስት
child	ህጻን
animal	እንስሳ
fish	አሳ
louse	ቅማል
forest	ደን
seed	ዘር
leaf	ቅጠል
root	ስር
bark	ቅርፊት
grass	ሳር
rope	ገመድ
skin	ቆዳ
egg	እንቁላል
feather	ላባ
belly	ሆድ
guts	ጉሮሮ
back	ጀርባ
breast	ጡት
liver	ጉበት
knee	ጉልበት
nose	አፍንጫ
head	ጭንቅላት
warm	ሙቅ
full	ሙሉ
old	አሮጌ
good	ጥሩ
rotten	የገማ
dirty	ቆሻሻ
narrow	ጠባብ
wide	ሰፊ
thin	ቀጭን
short	አጭር
dry	ደረቅ
moon	ጨረቃ
sand	አሸዋ
earth	መሬት
cloud	ደመና
ash	አመድ
wind	ነፋስ
burn	ማቃጠል
fog	ጭጋግ
smoke	ጭስ
snow	ብናኝ
hair	ጸጉር
chicken stew	ዶሮ ወጥ
film	ፊልም
cinema	ሲኒማ
or	ወይም
all	ሁሉም
smooth	ለስላሳ
dangerous	አደገኛ
sushi	ሱሺ
tea plant	ሻይ
juice	ጭማቂ
boy	ልጅ
pipe	ቧምቧ
flag	ባንዴራ
sugar	ስኳር
He	እሳቸው
twenty	ሐያ
drought	ድርቂ
reason	ምክንያት
Islam	እስልምና
mouse	አይጥ
frog	እንቁራሪት
elephant	ዝሆን
giraffe	ቀጭኔ
drum	ከበሮ
fig	በለስ
stay	ነበረ
hour	ሰዓት
telephone	ቴሌፎን
mask	ጭምብል
turkey	ጅግራ
pineapple	አናናስ
carpet	መንጣፍ
bone	አጥንት
brain	አንጎል
truth	ሕቅ
combination	ኅብር
alliance	ኅብረት
law	ሕግ
lightning	ማብራቅ
melon	ዱባ
mill	ወፍጮ
mud	ጭቃ
neighbor	ጎረቤት
odor	ሽታ
goat	ፍየል
lion	አንበሳ
barley	ገብስ
teff	ጤፍ
sorghum	ማሽላ
plough	ማረሻ
clay	አፈር
sea	ባሕር
tej	ጠጀ
woreda	ወረዳ
December	ታህሳስ
January	ጥር
February	የካቲት
April	ሰኔ
eleven	ሐምሌ
August	ነሐሴ
cherub	ኪሩብ
likeness	ምስል
regret	አዘን
taste	ጣም
depth	ጥልቀት
universe	ዓለም
glory	ምስጋና
breath	ነፍስ
knee	ብርክ
weed	አረም
that	ያ
arm	ክንድ
bed	አልጋ
bridge	ድልድይ
donkey	አህያ
door	በር
leg	እግር
knife	ቢላዋ
long	ረጂም
road	መንገድ
stone	ድንጋይ
tail	ጅራት
tear	እንባ
thick	ወፍራም
tongue	ምላስ
tooth	ጥርስ
weep	ማልቀስ
wind	ንፋስ
clothes	ልብስ
hair	ፀጉር
sand	አሽዋ
sweet	ጣፋጭ
empty	ባዶ
spider	ሸረሪት
paper	ወረቀት
health	ጤና
shadow	ጥላ
dawn	ንጋት
teacher	አስተማሪ
rabbit	ጥንቸል
wood	እንጨት
village	መንደር
gift	ስጦታ
navel	እንብርት
forehead	ግንባር
boat	መርከብ
oil	ዘይት
green	አረንጓዴ
week	ሳምንት
claw	ጥፍር
body	ሰውነት
man	ሰው
time	ጊዜ
dust	አቧራ
fat	ጮማ
dew	ጤዛ
problem	ችግር
net	መረብ
deaf	ደንቆሮ
hut	ገጆ
mosquito	ቢምቢ
darkness	ጨለማ
post	ምሰሶ
saddle	ኮሪቻ
bread	ዳቦ
bead	ጨሌ
maize	በቆሎ
thief	ሌባ
farmer	ገበሬ
riddle	እንቆቅልሽ
caterpillar	አባጨጓሬ
rainbow	ቀስተዳመና
guest	እንግዳ
trousers	ሱሪ
small	ትንሽ
big	ትልቅ
thick	ደንዳና
who	ማን
where	የት
when	መቼ
how	እንዴት
stick	ልምጭ
horn	ቀንድ
neck	አንገት
bad	መጥፎ
straight	ቀጥታ
round	ክብ
wet	ርጥብ
sharp	ስለት
sea	ባህር
grasshopper	ፌንጣ
now	አሁን
today	ዛሬ
yesterday	ትናንት
yesterday	ትናንትና
know	ማወቅ
justice	ፍትህ
people	ህዝብ
liberty	ነፃነት
love	ፍቅር
hero	ጀግና
shore	ዳር
way	ጎዳና
pride	ኩራት
almond	ለውዝ
nut	ገውዝ
birthplace	ብሔር
krar	ክራር
