fir	abet
and	y
absolve	absolver
color	color
you	te
dog	can
the	o
hand	man
the	os
be	estar
give	dar
him	el
the	as
world	mundo
meat	carne
forest	bosque
kiss	beso
voice	voz
silver	plata
light	luz
map	mapa
dog	chin
thirst	set
esophagus	albero
go	ir
such	tall
put	meter
salt	sal
or	u
now	agora
Sunday	domingo
them	las
body	cuerpo
heart	corazón
blood	sangre
three	tres
one	un
one	uno
four	quatre
eleven	onze
flower	flor
honey	miel
with	con
house	casa
eleven	once
apple	manzana
him	li
bird	au
her	la
them	es
information	información
black	negro
them	los
be	ser
horn	cuerno
rose	rosa
beast	bestia
have	aber
drink	beber
he	él
weapon	arma
crocodile	cocodrilo
suck	chupar
us	nos
sing	cantar
run	correr
want	querer
feather	pluma
moon	luna
wolf	lupo
us	mos
you	bos
March	marzo
library	biblioteca
oil	olio
dog	gos
nine	nou
angle	anglo
cow	baca
tarn	ibón
expensive	caro
two	dos
tail	coda
memory	memoria
church	ilesia
ant	fornica
bear	onso
bee	abella
beetle	escarabaxo
bird	paxaro
pot	olla
say	dir
sell	bender
him	lo
bean	faba
table	mesa
ten	diez
six	seis
sour	agro
earth	tierra
monkey	mono
metre	metro
them	les
do	fer
him	le
them	lis
sea	mar
train	tren
year	año
month	mes
ass	culo
name	nome
valley	val
Latin	latín
I	yo
tube	tubo
all	tot
watch	mirar
author	autor
fly	mosca
coin	moneda
kill	matar
blue	azul
parrot	loro
man	hombre
crown	corona
today	hue
beach	playa
mother	mai
mushroom	fungo
wheat	trigo
peace	paz
who	qui
marine	marinero
white	blanco
husband	marito
river	río
Monday	lunes
Tuesday	martes
April	abril
May	mayo
August	agosto
five	zinco
this	iste
hour	ora
garlic	allo
scythe	dalla
thousand	mil
horse	caballo
sand	arena
this	este
mountain	sierra
boat	barca
European Union	UE
big	gran
sweet	dulce
ripe	maturo
problem	problema
nose	naso
have	tener
have	haber
thing	cosa
fly	volar
gold	oro
cry	plorar
you	tú
hip	anca
shit	mierda
bell	campana
net	rete
live	vivir
touch	tocar
dance	bailar
arm	brazo
shoe	zapato
claw	zarpa
mare	yegua
lie	mentira
bail	baile
death	muerte
silence	silenzio
use	usar
urban	urbano
how many	quanto
sodium	sodio
five	cinc
hurt	doler
dictionary	dizionario
window	finestra
cow	vaca
clothes	ropa
number	número
twelve	doze
chain	cadena
paper	papel
February	febrero
October	octubre
north	norte
swim	nadar
culture	cultura
mouth	boca
cross	cruz
bottle	botella
hard	duro
wedding	boda
the	a
drink	bebida
Friday	viernes
finger	dido
fire	fuego
heat	calor
twelve	doce
red	royo
ray	rayo
be able to	poder
want	voler
week	semana
name	nombre
show	mostrar
way	camino
time	bez
face	cara
bite	morder
ladder	escalera
exit	salida
fear	miedo
firefighter	bombero
team	equipo
accompany	acompañar
deny	negar
try	tratar
reason	razón
curtain	cortina
silk	seda
chess	xadrez
enemy	enemigo
bib	babero
custom	costumbre
battle	batalla
occupy	ocupar
represent	representar
head	cabeza
neck	cuello
nose	nariz
skin	piel
kidney	riñón
ask	preguntar
continent	continente
bathroom	baño
immigration	inmigración
understand	entender
strike	vada
beard	barba
clear	claro
they	ellos
they	ellas
you	tos
gender	género
equal	igual
that	aquel
rich	rico
flag	bandera
sky	ziel
thirst	sete
red poppy	ababol
move	mover
blame	culpa
dress	bestir
dumb	mudo
castle	castiello
man	ombre
stone	piedra
time	tiempo
pay	pagar
respond	responder
king	rei
cloud	boira
fig	figo
milk	leit
father	pai
woman	muller
chest	peito
bed	leito
cube	cubo
eyebrow	cella
seven	siet
octopus	polpo
tower	torre
live	bibir
grass	hierba
paint	pintar
sandal	abarca
roast	asar
count	conte
translate	traduzir
pulp	polpa
joy	alegría
owner	dueño
butter	manteca
intestine	zago
leek	porro
tooth	dient
ten	deu
twelve	dotze
bud	chema
call	clamar
cathode	catodo
they	els
know	saper
democracy	democrazia
comet	cometa
countess	contesa
boot	bota
erase	borrar
conquer	conquistar
salute	saludar
bathe	bañar
land	aterrar
temper	templar
burn	cremar
brain	celebro
bedbug	chincha
dwell	habitar
measure	mesurar
mix	mezclar
measurement	mesura
complaint	reclamo
foot	piet
snow	nevar
christian	cristiano
oil	azeite
Denmark	Dinamarca
T-shirt	camiseta
shirt	camisa
whale	ballena
when	cuán
she	ella
marriage	matrimonio
heir	hereu
ice	chelo
traffic	semaforo
bread	pan
shark	tiburón
which	cual
when	quan
dodge	abarcar
etymology	etimolochía
whortleberry	corniera
stomach	estamaco
statistics	estadísticas
squirrel	esquirgüelo
Provençal	probenzal
all-terrain	bezicleta tot terrén
cathode	catodico
cathode ray	rayo catodico
cathode	tubo catodico
codfish	abadexo
giraffe	chirafa
alcohol	alcol
coal	carbón
money	diners
put off	adiar
ship	nau
key	clau
leather	cuero
fight	luita
irrigate	regar
piece	mueble
hearing	udito
vein	bena
tongue	luenga
bone	güeso
eye	güello
ear	orella
atheism	ateísmo
city	ciudat
anatomy	anatomía
olive	oliba
water	augua
abdomen	pancha
eyebrow	zella
liver	figado
philosophy	filosofía
hill	pui
speak	parlar
round	redondo
irony	ironía
sow	sembrar
pleonasm	pleonasmo
rough	aspro
scrotum	escroto
communicate	comunicar
tooth	dien
republic	republica
fish	peix
poetry	poesía
Romania	Rumanía
cheapen	abaratar
abstract	abstracto
visit	besitar
bite	mosaquiar
old	antigo
inspiration	inspiración
university	unibersidá
city	ziudá
listen	ascuitar
broom	escoba
Aragonese	aragonés
wall	paret
psychology	sicolochía
lottery	lotería
transport	trasportar
nail	ungla
balance	balanza
green	berde
drawing	debuxo
young	choven
lake	laco
fruit	fruito
fruit	fruita
machine	maquina
arrive	plegar
deaf	xordo
champion	campión
summer	estiu
cough	tusir
roof	teito
needle	agulla
daughter	filla
thigh	cuixa
draw	debuxar
find	trobar
that	ixe
snow	nieu
grass	yerba
break	crebar
decade	dezenio
Friday	biernes
flame	flama
lie	chacer
eraser	borrador
sweep	escobar
full	plen
above all	sobretot
Jesus	Chesús
chocolate	chicolate
snow	nebar
male	masclo
curve	curbă
violinist	biolinero
time	vegada
September	setiembre
December	abiento
January	chinero
June	chunio
July	chulio
October	otubre
November	nobiembre
grandpa	yayo
iron	fierro
altitude	altaria
work	treball
work	treballar
work	treballo
sadness	tristor
France	Franzia
purple	morato
trout	truita
draw	dibuixar
worker	treballador
succeed	aconseguir
page	pachina
version	bersión
go down	baxar
day	diya
year	anyo
fall asleep	adormir
help	aduyar
improve	amillorar
see	beyer
overturn	bulcar
scream	chilar
play	chugar
believe	creyer
raise	debantar
skin	escorchar
speak	fablar
eat	minchar
rain	pleber
try	prebar
imagine	prexinar
rise	puyar
search	rechirar
six	sies
Malaysia	Malaisia
toad	zapo
glasses	lunetas
Thursday	chueves
Wednesday	miércols
Saturday	sabado
state	estato
density	densidat
after	dezaga
also	tamién
Great Lakes	Grans Lacos
object	obchecto
cheek	caixo
girl	mesacha
back	renera
kidney	rinyón
sugar	zucre
life	bida
weave	teixir
Betula	abetullo
measure	midir
bring	trayer
health	salú
fall	cayer
today	güe
fish	pex
close	zarrar
vada	vada cheneral
sew	cusir
eight	ueit
eight	ueito
nine	nueu
practice	prauticar
oak	caixico
oak	robre
meadow	prau
hunger	fambre
leech	sangonera
noun	sustantibo
region	rechión
variety	variedat
adjective	adchectivo
see	veyer
summer	berano
Mirandese	mirandés
chess	axedrez
sickle	falz
fight	luitar
brother	chirmán
ring	aniello
thunder	truen
wire	arambre
ashes	senra
French	franzés
belt	cincha
long	luengo
distract	distrayer
hammer	martiello
knife	cuitiello
honeycomb	bresca
Japan	Chapón
salt	salinero
goat	craba
dozen	ducena
accordion	acordión
bless	bendicir
endure	endurar
grape	uga
avalanche	lurte
motive	motibo
poison	bereno
superimpose	acaballar
thief	furtaire
wind	biento
winter	hibierno
pig	cochín
doctrine	dotrina
frequency	freqüencia
bailiwick	bailía
God	deuñ
Segorbe	Segorb
snake	cullebra
diamond	diamán
weaver	teixidor
monastery	monesterio
vulture	vueitre
bird	volandrina
virgin	virchen
old age	vielluz
open	ubrir
varnish	abarnizar
mare	yeugua
helmet	hielmo
bramble	barzal
ditch	franxe
pastry	zucrería
surgeon	zrujano
plum	zirgüello
plum	zirgüellera
cherry	ziresa
cherry	ziresera
circus	zirco
grave	zimenterio
blind	ziego
cicada	zicala
barley	zibada
urgent	urchén
smell	ulor
west	ueste
turtle	tartuga
television	telebisión
tepid	templato
tavern	tabierna
century	sieglo
serve	serbir
forest	selba
taste	sapia
soap	sabón
receive	rezibir
clock	reloch
relation	relazión
lightning	relampago
recognize	reconoxer
sour	azeto
trash	basuera
speed	belozidá
come	benir
verb	berbo
truth	berdá
vegetable	berdura
poisonous	berenoso
dress	bestito
neighbor	bezino
travel	biachar
volume	bolumen
horn	bozina
crab	candrexo
head	capeza
Japanese	chaponés
garden	chardín
geography	cheografía
gypsy	chitano
young	choben
Jewish	chodigo
play	chuego
judge	chuez
justice	chustizia
just	chusto
clarity	claredá
firework	codete
collection	colezión
condition	condizión
confidence	confitanza
consonant	consonán
response	contestazión
quail	cotorniz
grow	crexer
throw	abentar
exalt	acobaltar
cut	acochillar
frighten	acobardir
add	adibir
tame	adomar
basil	albaca
eggplant	alberchena
angel	ánchel
spider	araina
attention	atenzión
goose	auco
carrot	azanoria
number	lumero
peach	malacatón
apple	manzanera
meow	maular
teacher	mayestro
cat	mixín
move	mober
movement	mobimiento
multiplication	molteplicazión
musician	mosico
backpack	muchila
modern	muderno
museum	museyo
orange	narancha
born	naxer
nation	nazión
need	nezesitar
nest	niedo
offer	ofierta
office	ofizina
offer	ofrexer
operation	operazión
barley	ordio
palace	palazio
seem	parexer
eyelid	parpago
painter	pintaire
lung	polmón
price	prenzipe
princess	prinzesa
beginning	prenzipio
person	presona
province	probinzia
root	radiz
rake	rastiello
brush	zepillo
brush	zepillar
science	zenzia
ash	zenisa
brain	zelebro
celebrate	zelebrar
piece	troz
treasure	tresoro
trip	trepuzar
calmness	tranquilidá
knit	texir
multiply	molteplicar
monk	moncho
daisy	margalida
inherit	eredar
inheritance	erenzio
strengthen	enfortir
discuss	discutar
distribution	dibisión
devil	diaple
wish	deseyo
knife	cutiello
crow	cuerbo
wrinkle	corruca
basket	corbillo
rabbit	coniello
epistemology	epistemolochía
digital	dichital
example	eixemplo
conjugation	conchugación
religion	relichión
hill	pueyo
doubt	dubda
mouse	zorz
we	nusatros
we	nusatras
you	busatros
you	busatras
eight	güeito
cope	adubir
Dutch	olandés
city	ziudat
night	nuei
seed	simién
pig	tozino
eye	uello
empty	vuedo
be born	naixer
white	blango
egg	uego
fish	pescau
factory	frabica
knee	chenullo
morning	maitín
rain	plebia
help	achuda
help	achudar
yesterday	ahier
guest	huesped
grow	creixer
create	creyar
judge	chudgar
nettle	chordiga
crab	candreixo
light	lixero
night	nueit
skin	pelello
seed	simient
tower	torraza
old	viello
steam	vabor
