two	de
one	en
wind	van
English	angle
between	ant
worship	adore
name	non
god	dye
time	tan
bread	pen
go	al
give	ba
dance party	bal
give	ban
May	me
year	lane
back	do
see	voir
that	ke
garlic	lay
predicate	ye
arm	bra
ring	bag
all	tout
twenty	ven
long	long
a	yon
conditional mood	ta
state	eta
if	si
little	ti
be	se
skin	po
not	pa
shoot	tire
do	fair
ten	dis
talk	pale
eye	je
dance	dans
doll	pope
eat	mange
brave	brav
clothes	rad
kidney	ren
good	bon
August	out
go	ale
we	nou
beard	bab
tooth	dan
bad	move
say	di
this	sa
spoil	gate
you	ou
source	sous
person	monde
list	lis
thirty	trant
bone	zo
mathematics	matematik
politics	politik
let	kite
the	yo
influenza	grip
April	avril
give	bay
banana	fig
bring	pote
minute	minit
Earth	tè
wash	lave
stick	baton
house	kay
put	mete
the	nan
on	sou
three	twa
broom	bale
white	blanch
help	hinder
happen	rive
urine	pipi
what	ki
idea	ide
girl	fi
t-shirt	mayo
kiss	bobo
can	capable
egg	ze
eight	uit
sheep	mouton
tiger	tig
attach	tache
high	wo
language	lang
ice	glas
sin	peche
live	rete
when	kan
life	lavi
finish	fini
elbow	koud
the	a
Christ	Kris
word	mo
bunch	bann
ask	mande
bridge	pon
France	Frans
rise	monte
lobster	oma
let's	ann
free	lib
rest	repo
price	pri
June	jen
car	machin
sit	sitta
duck	kanna
butter	bè
lose	perdi
book	liv
bottom	fon
enough	ase
worth	vo
rise	leve
square	kare
sell	vann
what	kisa
act	aji
worm	ve
evening	swa
attempt	tante
galaxy	galaksi
small	piti
angle	ang
movie	fim
present	kado
have to	doi
six	sis
king	wa
day	jou
the	lan
with	ak
what	ki-
centime	santim
wait	tann
fat	gra
clothes	abi
tighten	sere
each	chak
side	bò
carpet	tapi
during	pandan
boat	bato
burn	boule
blue	ble
nature	nati
thumb	pous
living	vivan
baby	bebe
feather	plim
adapt	adapte
worsen	agrave
decline	bese
escape	chape
how much	comben
avoid	evite
than	pase
plant	plante
ask	mandé
tie	marré
reserve	reservé
object	bagage
page	paj
right	dwa
beach	plaj
have	gagné
look	gade
feel	santi
health	sante
foot	pye
meat	chè
heart	kè
heavy	lou
queen	rèn
sister	sè
yesterday	yè
cinema	sinema
guitar	gita
hot	cho
hide	kache
break	cassé
fingernail	zong
like	renmen
jar	bokal
-ly	-man
wheel	rou
song	chante
Monday	lendi
city	vil
habitat	abita
statue	estati
monster	mons
vein	venn
run	kouri
human	imen
leave	soti
call	rele
equal	egal
island	zile
children	restavèk
after	apre
television	televizyon
message	mesaj
know	konnen
minister	minis
continuous	ap
shark	reken
hold	tini
encyclopedia	ansiklopedi
know	konn
lesbian	madivinèz
scarf	foula
Saturn	Satin
bed	cabane
Monday	lindy
abandon	abandone
begin	commencé
physical	fizik
category	kategori
middle	mitan
more	plis
here	isit
abolish	aboli
reptile	reptil
pink	woz
undergo	sibi
seven	sèt
camel	chamo
afraid	pè
help	ede
face	figi
key	kle
leader	dirijan
grape	rezen
I	mwen
country	peyi
priest	prèt
zero	zewo
beautiful	bèl
happy	kontan
head	tèt
hairdresser	kwafè
honey	siwo myèl
wild	sovaj
vinegar	vinèg
voice	vwa
true	vre
red	rouj
rifle	fizi
lack	manke
thank you	mèsi
island	zil
breakfast	dejene
well	byen
wound	blesi
attach	tacher
sand	sab
sweat	swe
nothing	arien
unhappy	malere
technology	teknoloji
can	kab
hip	anch
