bone	buku
he	ia
above	rate
ash	au
say	kana
wring out	pera
gray hair	uang
carry	pisang
forehead	abang
body	kale
the	-a
his	-na
absolutive	-ko
our	-ta
feces	tai
knife	lading
head	ulu
three	tallu
day	allo
take	alle
bamboo	bulo
in	ri
two	rua
eye	mata
far	bella
chew	kota
garden	koko
you	kau
this	anne
east	raya
rice plant	ase
anus	tara
buttocks	paja
we	ki-
give	sare
new	beru
louse	kutu
pestle	alu
mother	ina
seven	tuju
stir	garu
banana	unti
young	lolo
tongue	lila
plate	panne
saliva	bebe
messy	rompa
red	eja
cold	dinging
lazy	kuttu
iron	bassi
look for	boya
strong	gassing
price	balli
rice paddy	tana
cousin	sampo
we	katte
oar	bise
roasting	panggang
work	jama
green	biru
sheep	biri-biri
my	-ku
that	anjo
pig	bawi
moon	bulang
penis	laso
armpit	epa
I	nakke
he	na-
I	ku-
causative	pa-
you	nu-
short	bodo
wash	sassa
full	rassi
not	tena
dig	keke
wind	anging
like	ngai
tomorrow	ammuko
our	-mang
order	suro
very	sikali
tail	ingkong
name	areng
perfective aspect	-mi
left	kairi
mouth	bawa
sulfur	balirang
cook	pallu
fruit	rappo
cooking pot	uring
ill	garring
big	lompo
below	rawa
Tuesday	Salasa
child	ana'
woman	baine
your	-nu
later	sallang
ten	sampulo
hair	u'
neck	kallong
thigh	bongga
that	antu
guest	toana
four	appa'
sharp	tarang
slap	tampiling
wait for	tayang
nine	salapang
hot	bambang
we	kambe
long	sallo
coconut	kaluku
plant	lamung
ear	toli
general	ammang
immediately	ba'lalo
across	ba'le
peel off	ba'nusu'
talcum powder	ba'ra'
pillar	benteng
again	sedeng
vulva	sombong
Wednesday	Araba
wet	a'masa'
king	karaeng
shrimp	doang
dog	kongkong
house	balla'
chicken	jangang
water	je'ne'
bathe	a'je'ne'
black	le'leng
water buffalo	tedong
belly	battang
chest	barambang
foot	bangkeng
white	kebo'
blood	cera'
book	bo'bo'
salt	ce'la
heavy	battala'
husk	berasa'
bleed	accera'
fall	tu'guru'
cooked rice	kanre
hide	cokko
hide	accokko
drop	patu'guru'
bring	erang
small	ca'di
bite	kokko'
sun-dry	alloi
dry	kalotoro'
dry	kalotori
return	ammotere'
return	poterang
fly	anri'ba'
fly	pari'ba'
angry	larro
angry	kalarroi
want	ero'
want	kaeroki
hotheaded	pa'larroang
sickly	pa'garringang
hospital	balla' garring
morning	bari'basa'
hungry	cipuru'
full	bassoro'
fish	juku'
angry	kalarroang
afraid	malla'
fear	kamallakkang
sweat	songo'
sweat	assongo'
sand	kassi'
hear	lanngere'
listen	pilanngeri
sweet	te'ne
drink	inung
lip	bibere'
nose	ka'muru
skin	bukkuleng
finger	karemeng
egg	bayao
eel	londeng
father	mangge
one	se're
first cousin	sampo sikali
first cousin	cikali
