a	ab
we	nu
I	man
baobab fruit	buy
year	at
a small	as
vulture	tan
with	ag
to write	bind
show	won
person	nit
you	la
skin	der
child	doom
father	papa
cheek	lex
go	dem
knee	oom
we	nun
jackal	till
to be yellow	soon
girlfriend	coro
him	ko
thirst	mar
me	ma
some	ay
older sibling	mag
green	wert
liver	res
baobab	guy
where	ana
farm	bey
door	bunt
how	nan
love	nob
cow	nag
shovel	peel
drink	naan
to be blue	bulo
breast	ween
coconut	koko
do	def
radish	radi
pay	fey
friend	xarit
parrot	saku
stranger	gan
bag	saag
before	bala
one	benn
nothing	dara
you	yow
mosquito	yoo
animal	mala
and	ak
zero	tus
lie	nar
full name	tur
tea	warga
saliva	lor
horse	fas
couscous	cere
this place	fii
banana	banaana
continent	gox
ear	noppa
last name	sant
I	naa
heifer	wulu
this person	kii
English	Angale
ostrich	banjooli
to have measles	ŋas
dog	xaj
fish	yaax
crow	baaxoñ
gills	caaxoñ
boyfriend	coof
petrol	esaans
monkey	golo
baboon	goŋ
God willing	inchaalaaxu
door	bunta
dawn	fajar
morning	suba
hot	tàng
snake	jaan
chile	kaani
lend	abal
baby	liir
bring	indi
chair	siis
moment	saa
he	mungi
rain	taw
travel	tukki
body	yaram
slave	jaam
puppy	kuti
a little	tuuti
salad	salaat
river	dex
how	naka
leopard	segg
you	leen
honey badger	kund
erect	samp
see	gis
pearl millet	suuna
shelter	fat
younger sibling	rakk
bed	lal
change	soppi
praise	tagg
father	jur
mint	naana
piece	xar
nipple	cus
peanut	gerte
moor	amet
guinea fowl	naat
Estonia	Estooni
rib	faar
mare	wajan
cheetah	tene
ritual insult poem	xaxaar
build	sanc
rope	buum
neck	baat
notebook	kaye
pain	metit
plug	fatt
walk	dox
well	baax
chest	dënn
village	kaw
heart	xol
nose	bakkan
strategy	pexe
kid	tef
house	kër
custom	aada
village	dekka
child	xale
in-law	goro
parrot	seku
sun	naaj
forest	aala
yes	waaw
enclosure	naag
cook	togg
bean cake	akara
swallow	wonn
eat	lekk
fish	jën
rice	ceeb
cunt	dëjj
funeral	dëj
