and	jah
speech	hålla
not	ij
child	mánná
tree	muorra
hard	garras
pine marten	martta
water	tjáhtsie
night	jïjja
find	gávdnat
heat	báhkka
goose	gássa
hot	báhkas
space between	gasska
cloud	balvva
bread	lájbbie
pipe	bïjppa
spit	skájddie
storehouse	ájttie
track	rihđđie
family	fuölkkie
coffee	káhva
child	juglluo
ski	tjuajggat
mosquito	tjuajkka
evil	bahhá
peace	ráhvie
comb	kämbbet
glass	klássa
birch	såhkie
brother	veällja
horse	sjåmbba
promontory	njuönies
daughter-in-law	mannjie
mouse	sjnjieries
crawl through	suaŋadit
later	miŋŋiele
ice	jiägŋa
tree stump	jalŋies
quill	peänna
page	pláđđie
large bog	áhpie
lump	gámssa
ghost	speävttja
Christmas Eve	struahtta
cloth	skruvđđa
text	teäkssta
thousand	tuvsan
hand	giähta
thanks	gïjttuo
floor	luajdduo
bitter	tsïbtsas
thin membrane	tsuadtsa
pretty	tjábbie
horn	tjårvvie
peak	tjåhkka
otter	tjievries
seek	uhttsat
make the bed	láhtjiet
father	áhttjie
extend	jåŧkkiet
wolverine	geäŧkkie
cheese	vuasstá
dry pine	sårvvie
want	sïjttat
move forward	jühttiet
fry	bissiet
tent	gåhtie
write	tjálliet
paternal grandfather	ájjá
needle	nálluo
payment	mákssuo
shoe	gálluoke
cousin	lávvie
land	lándda
locate	gåvdnat
salt	sålttat
answer	svårrat
hit	läŧkket
send	säddet
mow	släjjet
inherit	ärbbet
sister	åbbá
come	båhtiet
pick	tjåggiet
sew	gårruot
lead	dålvvuot
rich	båndduot
old	båries
wooden joint	jåŧkka
support	dårjuotit
small house	stubatje
farmhouse	ståhpuo
small shovel	gujvatje
gather	tjühkket
tear off	büŧkket
shall	galggat
Sami	sábmie
fire	dålla
cow	guvssa
glow	sjïjlla
spring	gïjđđa
row	suvkkat
drink	juvkkat
call	guvkietit
morning	árrade
dog	biädnja
poor	hiäjjuo
first	vuastas
step	lávkkie
school	skuvlla
large quantity	uvmassie
pleasant	mürriede
way	vuöhkie
learn	liärrat
Sami	sámiengiälla
language	giälla
number	låhkkuo
one	aktta
two	guökttie
three	gulbma
four	neälljie
five	vïjtta
six	guvtta
seven	tjïjttja
eight	gákttsie
nine	åkttsie
ten	lühkkie
eleven	lühkkieaktta
twelve	lühkkieguökttie
thirteen	lühkkiegulbma
fourteen	lühkkieneälljie
fifteen	lühkkievïjtta
sixteen	lühkkieguvtta
seventeen	lühkkietjïjttja
eighteen	lühkkiegákttsie
nineteen	lühkkieåkttsie
twenty	guökttielühkkie
colour	bájdnuo
white	veälggade
black	tjáhppade
grey	krávies
brown	russjkade
red	ruapssade
blue	plávva
green	kruadná
yellow	vïsskade
sun	beäjvvie
Monday	mánnuodahkka
Tuesday	dïjstahkka
Wednesday	gasskavahkkuo
week	vahkkuo
Thursday	duarastahkka
Friday	bierjjiedahkka
Saturday	lávvuodahkka
Sunday	ájliege
evening	iehkiede
season	jáhpieájggie
year	jáhpie
time	ájggie
summer	giessie
autumn	tjakttja
winter	dálvvie
large	stuöries
little	ünnie
cold	galmas
new	uđđas
short	ådnie
long	gühkkie
empty	guaruos
full	diävas
red fox	riebiej
catch	guellet
scared	ballájit
look	várdásjit
Christmas	juvlla
merry Christmas	buörrie juvlla
good	buörrie
lake	jávrrie
lower	vuolep
rapids	gårttje
landlocked	måskuos
forest	miehtjie
stream pool	savvun
upper	bijjiebe
lower	vuöliebe
river	juhka
