delay	dia
ratile	rata
rain	pula
lion	tau
bull	poo
yes	ee
eat	ja
three	raro
bite	loma
meat	nama
loile	loa
sing	bina
marry	nyala
answer	araba
hyrax	pela
boil	bela
egg	lee
go	ya
bow	bora
lord	morena
rekile	reka
dry	oma
enemy	sera
buffalo	nare
cooking pot	pitsa
saliva	mathe
die	swa
stand	ema
Tswana	Setswana
fall	wa
fly	fofa
cut	sega
build	aga
trap	serai
farm	lema
tsetse fly	tsêtsê
shield	thebe
proud	boipelo
tears	dikeledi
man	monna
us	rona
wagon	koloi
come	tla
goat	podi
swim	šapa
bad	-be
cousin	ntsala
hippopotamus	kubu
bean	nawa
kidney	philo
witch	moloi
canoe	mokoro
batho	motho
water	metsi
chief	kgosi
parent	motsadi
father	rra
breast	lebele
hello	dumela
sheep	nku
house	ntlo
gift	mpho
dog	ntša
hyena	phiri
elephant	tlou
tortoise	khudu
ear	tsebe
fish	tlhapi
milk	maši
beer	bojalwa
locust	tsie
cow	kgomo
Kalahari	Kgalagadi
crocodile	kwena
eland	phofu
baboon	tshwene
duiker	phuti
hare	mmutla
aardvark	thakadu
impala	phala
pig	kolobe
mother	mma
porridge	bogobe
ke a go rata	ke a go rata
riverbank	ntshi
abuse	kgala
-ess	-gadi
ke a leboga	ke a leboga
liver	sebete
beautiful	-ntle
bee	notshi
queen	kgosigadi
snowberry	monwane
melon	lekatane
mopane	mophane
doctor	ngaka
library	laeborari
contentment	lodule
peace	kagiso
woman	mosadi
calf	namane
clay	seretse
ostrich	ntšhe
butterfly	serurubele
emperor	kgosikgolo
large	-golo
thin	-sesane
spirits	badimo
word	lefoko
hartebeest	kgama
springbok	tshepe
gemsbok	kukama
klipspringer	mokabaowane
drink	nwa
seed	peo
mma	bomma
kudu	tholo
charcoal	legala
four	nne
name	leina
dispute	nganga
meeting	kopano
burn	ša
cover	bupa
two	bedi
find	thwala
mother	mme
write	kwala
share	kopanela
big	logolo
wake up	tsoga
flame	motuka
synonym	lekaêlagongwe
contribution	kolêkê
recipient	moabêlwa
country	fatshe
bed	bolao
sleep	rôbala
multitudes	bontsi
people	batho
bear	tsala
laugh	tshega
plant	jwala
one	ngwe
five	tlhano
path	tsela
flea	letsetse
axe	selepe
year	ngwaga
shirt	hempe
maternal uncle	malome
shame	ditlhong
leopard	nkwe
bird of prey	nkgodi
eye	leitlho
hunger	tlala
marriage	lenyalo
jump	tlola
invent	tlhama
frog	segwagwa
mountain	thaba
hear	utlwa
walk	tsamaya
hand	seatla
knee	lengole
bone	lesapo
nose	nko
sun	letsatsi
hundred	lekgolo
finger	monwana
love	lorato
daughter	ngwetsi
chicken	kgogo
follow	latela
fire	molelo
tongue	loleme
ask	botsa
lick	latswa
spoil	senya
call	bitsa
flower	sethunya
chest	sehuba
mouth	molomo
father	rre
salt	letswai
think	akanya
night	bosigo
sea	lewatle
lake	letsha
cloud	leru
rope	mogala
sky	legodimo
hand	letsogo
child	ngwana
carry	rwala
pull	goga
feed	otla
mould	bopa
feed	fepa
motorcycle	sethuthuthu
whale	leruarua
chin	seledu
white	sweu
knife	thipa
giraffe	thutlwa
oil	mafura
forest	sekgwa
door	mojako
armpit	legwafa
music	mmino
soot	mosidi
hoof	tlhako
foal	petsana
fountain	motswedi
twin	lefatlha
feather	lofofa
spider	segokgo
reptile	segagabi
summer	selemo
season	setlha
tree	setlhare
animal	phologolo
south	borwa
insect	tshenekegi
nap	kgofe
cheetah	lengau
python	tlhware
begin	simolola
iron	tshipi
tie	bofa
chew	tlhafuna
ankle	lenginana
danger	kotsi
tripe	serobe
buttock	lerago
town	toropo
god	modimo
question	potso
son-in-law	mogwe
cross-cousin	motswala
soap	sesepa
receive	amogela
faith	tumelo
knock	khwanya
wallet	sekgwama
hunt	tšoma
