now	nu
that	the
one	en
hot	het
I	ik
human	man
dog	hund
true	war
goose	gas
always	eo
ash	ask
above	of
on	an
god	as
part	del
beer	alo
child	kind
bone	ben
grief	kara
same	sama
better	bet
broad	bred
red	rod
against	with
object	thing
honour	era
by	bi
beach	sand
without	ano
solid	fast
water	aha
more	mer
apple	appel
day	dag
valley	dal
not	ne
the	se
you	eu
mouse	mus
grass	gras
egg	ei
bare	bar
shine	skin
from	fan
-ian	-ian
do	don
glad	glad
she	sie
arse	ars
guest	gast
leaf	blad
some	sum
mountain	berg
moon	mano
wave	wag
oath	eth
we	wit
wanton	gel
tree	bom
book	bok
dead	lik
way	weg
chair	stol
house	hus
child	barn
weaving	dung
creek	apa
cat	katto
full	sad
until	und
one	en-
danger	fresa
smoke	rok
oak	ek
deed	dad
out	ut
stand	stan
her	ira
foot	fot
ring	hring
glad	fra
statement	saga
stream	strom
also	ok
year	jar
monster	thuris
beach	strand
this	these
most	mest
-oian	-on
low	lag
plate	disk
bison	ur
gate	dor
afterwards	eft
traffic	fard
colored	faro
glad	fro
bird	fugal
often	oft
sleep	slap
two	git
she	sia
we	wi
then	tho
river	flod
need	nod
ear	ora
forwards	forth
you	gi
people	folk
witharwagian	wagon
enclosed	gard
may	motan
decade	ant-
wound	beni
stone	sten
bean	bona
with	mid
my	min
ship	skip
man	wer
long	lang
glass	glas
ours	usar
street	strata
morning	morgan
black	swart
elf	alf
tongue	tunga
ground	grund
Mary	Maria
coming	kumi
Abbe	Abbi
our	usa
eight	ahto
forest	wald
serpent	wurm
raven	hram
weed	jedan
enclosure	hago
him	imu
how	hu
great	grot
if	ef
go	gan
plain	efni
summer	sumar
ash	aska
load	hladan
take	niman
lady	frua
bind	bindan
five	fif
dare	durran
help	helpan
bear	beran
stand	standan
grant	unnan
old	ald
treasure	hord
fort	burg
Odin	Woden
son	sunu
of	af
sheep	skap
them	im
door	duru
wait	bidan
her	iro
build	buan
go	wadan
go	faran
year	ger
lead	bli
wounded	wund
sea	seo
back	bak
book	flesk
avail	dugan
ulna	elina
forbid	bannan
eat	etan
joy	drom
work	werk
tooth	tand
fish	fisk
kiss	kus
domain	-dom
never	neo
full	ful
young	jung
eternal	ewig
wheel	rath
but	ak
thou	thu
lacking	wan-
hammer	hamar
ape	apo
when	hwan
be	abelgan
devour	fretan
eye	oga
tear	slitan
fight	winnan
bride	brud
measure	metan
find	findan
owl	ula
eager	gern
him	ina
occur	limpan
loud	hlud
ride	ridan
writun	writan
die	sweltan
swear	swerian
be	wesan
gospel	godspel
creature	wiht
bite	bitan
weave	bregdan
go	dragan
foul	fulian
glide	glidan
gripe	gripan
twenty	twentig
white	hwit
run	rinnan
release	losian
might	maht
night	naht
within	innan
rise	risan
seldom	seldan
beautiful	fagar
sing	singan
fifty	fiftig
smite	smitan
spew	spiwan
spring	springan
steal	stelan
suck	sugan
swim	swimman
swallow	swelgan
swing	swingan
tear	teran
well	wela
want	willian
wind	windan
wise	wis
wring	wringan
carry	wegan
high	hoh
fire	eld
branch	ast
service	ambaht
question	fraga
willingly	gerno
call	hropan
eagle	arn
heaven	hevan
owl	uwila
strength	kraft
sun	sunna
cock	hano
name	namo
bow	bogo
village	thorp
murderer	bano
yellow	gelo
chin	kinni
snow	sneo
faithfulness	triuwa
trouble	werra
wild	wildi
friend	wini
right	reht
grey	grao
blue	blao
much	filu
light	liht
serious	ernust
wet	fuht
more	mero
next	nahisto
strong	manag
six	sehs
for	furi
around	umbi
evil	bosi
compose	dihton
begin	biginnan
shelter	bergan
burst	brestan
bend	bugan
brew	briuwan
yours	iuwar
fall	fallan
fly	fliogan
flee	fliohan
fight	fehtan
fern	farn
birth	giberan
done	garo
people	liudi
hunger	hungar
hunt	jagon
weather	wedar
hit	slahan
finger	fingar
only	naru
on	ana-
teaching	lera
Athalmar	Adalmar
Adilger	Adalger
ankle	ankel
hand	folm
ever	sin-
giant	ent
dig	gravan
let	latan
hurt	derian
zeal	ando
cold	kald
heritage	ervi
hail	hagal
Hermiones	Irmin
any	enig
know	kunnan
very	ala-
gift	geva
shining	wlitig
climb up	stigan
great	mikil
sink	sigan
take	ferian
lend	lihan
advise	radan
honour	eron
sprout	kinan
think	munan
make	armon
worry	sorga
prayer	gibed
shin	skina
beech	boka
two	inka
disagree	sakan
call	halon
seven	sivun
there	thar
down	af-
cut	kervan
pliant	wek
king	kuning
field	akkar
calf	kalf
hide	helan
chalk	kalk
fight	flitan
grind	malan
vessel	fat
hell	infern
save	nerian
star	sterro
ne	nis
warm	bradan
tread	tredan
father	fadar
andswor	and-
such	sulik
evil	leth
much	sero
inside	inna
week	wika
treasure	skat
sow	saian
sing	galan
kick	spurnan
compressed	ang-
all	alo-
lot	hlot
filu-	filo-
name	nemnian
message	bodo
cat	katta
find	kunnon
increase	okan
hasten	ilian
cross	kruci
track	trada
ask	fragon
angel	engil
comparative	othar
set	fundon
she	siu
mother	modar
werewolf	werwulf
love	luva
help	formon
soul	gest
echo	galm
strike	drepan
you	thi
sword	swerd
forth	forth-
look	lokon
drive	drivan
apart	utar
angry	belgan
web	webbi
mark	markon
-er	-ari
ask	fregnan
best	betst
sleep	slapan
know	nitan
suffering	jamar
shield	skild
help	helpa
until	untat
break	brekan
may	mugan
water	watar
give	gevan
become	werthan
earth	ertha
speak	sprekan
heart	herta
say	quethan
heaven	himil
buy	kopian
who	hwe
what	hwat
two	twene
four	fiuwar
nine	nigun
ten	tehan
where	hwar
over	ovar
which	hwethar
which	hwilik
your	iuwa
equal	gilik
green	groni
saviour	heliand
heal	helian
shall	skulan
go	gangan
past participle	gi-
up	far-
perish	agangan
for	hwanda
own	egan
tree	treo
stand up	astandan
unbind	andbindan
enemy	fiand
seize	fahan
axle	ahsa
grace	anst
hold	haldan
under	undar
gather	lesan
rule	waldan
above	uppa
you	giu
deal	delian
work	wirkian
count	tellian
demand	bedian
pray	biddian
think	thenkian
fill	fullian
fell	fellian
believe	wanian
ravage	wostian
deal	gidelian
carry out	giwirkian
buy	buggian
bake	bakkan
blow	waian
freeze	friosan
sink	sinkan
earl	erl
thirst	thurst
come	kuman
wreak	wrekan
weave	wevan
lie	liggian
receive	thiggian
sit	sittian
see	sehan
die	quelan
kill	quellian
cut	skeran
happen	gilimpan
drink	drinkan
begin	andginnan
crowd	thringan
burn	brinnan
set	settian
lay	leggian
create	skeppian
thee	thik
two	unkero
two	unkaro
your	giuwar
your	euwar
peace	frithu
eleven	ellevan
twelve	twelif
thirteen	thriutein
fourteen	fiuwartein
fifteen	fiftein
sixteen	sehstein
seventeen	sivuntein
eighteen	ahtotein
nineteen	niguntein
thirty	thritig
forty	fiuwartig
sixty	sehstig
seventy	antsivuntig
eighty	antahtotig
ninety	antniguntig
hundred	hunderod
thousand	thusund
need	tharf
settlement	wik
dear	liof
praise	lovon
dear	diuri
noble	athalkunni
absolve	alatan
glean	alesan
fall	bifallan
lord	drohtin
hold	klivan
or	eftha
owner	ekso
lose	farliosan
destroy	farniman
forget	fargetan
forgive	fargevan
humans	firihos
from	forana
each	gihwilik
companion	gisith
lead	farledian
make	makon
live	libbian
offer	biodan
thank	thankon
turn	thraian
press	thrukkian
fold	faldan
fasten	fastnon
prepare	gerwian
pay	geldan
pour	giotan
glow	gloian
call	hetan
hear	horian
hew	hauwan
hate	haton
say	seggian
shoot	skiotan
mouth	muth
send	sendian
die	stervan
judge	domian
wake	wekkian
lament	wenon
dark	thiustri
thin	thunni
dry	thurri
thirst	thurstian
evenly	efno
noble	ethili
doomed	fegi
fugitive	fluhtig
healthy	gisund
head	hovid
knee	knio
believe	gilovian
crowd	gimang
crowd	githring
resist	witharstandan
come back	witharkuman
against	withar
object	witharseggian
hasten	witharilian
flow	witharwagian
wagon	wogon
reward	witharwegan
reject	witharwerpan
throw	werpan
renounce	withquethan
withdraw	withfahan
drag	tiohan
give up	afgevan
break down	afbrekan
go down	afheldian
evening	avand
evening star	avandsterro
disgust	athriotan
against	withar-
throw	anawerpan
inborn	anagiboran
comparative	giboran
accept	anaginiman
take	giniman
quarrelsome	anatihtig
perish	anafallan
seize	anafangon
approach	anagangan
beginning	anagin
beginning	anaginni
glue	anaklivan
bump	anastotan
suspicious	anawani
deliver	anbiodan
inhabit	anbuan
order	anbusan
opposite	angegin
answer	andswor
present	andward
answer	andwordi
need	thurvan
dare	gidurran
enough	ginog
go	giwitan
fight	giwin
win	giwinnan
turn back	witharkerian
see	bisehan
see	gisehan
see	farsehan
understand	farstandan
understand	bikunnan
recognize	undarthenkian
choose	kiosan
go	forian
lead	ledian
turn	kerian
think	huggian
how	hwo
why	hwiu
when	hwanne
better	betiro
Sunday	sunnundag
animal	dior
devil	diuval
depth	diupi
deep	diop
death	stervo
strength	starki
friend	friund
kin	kunni
winter	wintar
why	hwi
privilege	sundargift
place	stedi
world	werold
sad	drorag
iron	isarn
herdsman	hirdi
honey	huneg
year	gertala
weed	wiod
bottom	bodom
that	biforan
back	hindiro
through	thurh
opposite	tegegnes
glide	teglidan
dissolve	tegangan
decay	tefaran
decay	tefallan
separate	tedelian
tear up	tebrestan
break	tebrekan
dissolve	tekinan
cleave	kliovan
tear	tekliovan
disperse	telatan
resolve	telosian
gather	tesamnalesan
together	tesamna
together	tesamna-
composition	tesamnabrahti
bring	tesamnabrengian
wreathe	tesamnaflehtan
plait	flehtan
link	tesamnamerkian
dissolve	teskridan
move	skridan
reside	wunon
destroy	teslahan
smash	tesprengian
bring	brengian
disturb	testorian
disturb	storian
disturb	sturian
disturb	farsturian
pound	testotan
shock	stotan
disperse	teswingan
disperse	tewerpan
ask for	abiddian
fury	abolganhed
people	thiod
holy	helag
desire	willio
shine	skinan
shine	giskinan
shine	blikan
light	lioht
shine	liuhtian
shine	giliuhtian
radiance	liomo
shine	skimo
worth	werth
labour	arved
labour	arvedi
true	triuwi
hire	huria
hired	hurland
tribute	hurroggo
tribute	hurrothe
rye	roggo
raven	hravan
frame	hrama
bat	hradamus
bridge	bruggia
capital	hovidstedi
poll	hovidskat
captain	hovidman
image	hovidmal
content	brahti
wasp	waspa
wasp	wepsia
seize	gifahan
life	aldar
elder	aldari
creep	kriopan
suffer	driogan
decline	driosan
float	fliotan
mislead	bidriogan
weep	griotan
lie	liogan
beat	bliuwan
cast	hliotan
grieve	hriuwan
close	lukan
sick	siok
sickness	suht
go	dwelan
knead	knedan
building	timbar
laugh	hlahhian
scratch	skavan
wash	thwahan
wake	wakon
grow	wahsan
stay	bilivan
leave	levian
leave	farlevian
go	lithan
defecate	skitan
cut	snithan
stick	stekan
stroke	strikan
dispute	stridan
climb up	gistigan
discuss	gisprekan
yield	wikan
deliberate	ahton
consider	giahton
denude	giarmon
behave	gibaron
pea	eriwit
fire	fiur
hellfire	hellifiur
hell	helligithwing
hell	heldor
hell	helliporta
hell	helsith
hell	helligrund
disciple	jungaro
heron	hregera
comb	kamb
kiss	kussian
together	atsamna
together	samna
tomorrow	atmorgan
opposite	angegin-
greatness	irmin-
celestial body	tungal
nail	nagal
itch	jukkian
trust	lovian
mid	middi
thigh	thioh
cut	ahauwan
annoy	thriotan
hurl	edwindan
harrow	eggian
stop	endon
demand	eskon
mankind	eldibarn
age	eldi
elder	aldiro
foreign	elilendi
act	giwerk
snake	nadra
adultery	farlegarnessi
reward	lonon
reward	iduglonon
needle	nathla
sister	swestar
sin	sundia
misdeed	misdad
lizard	egithassa
evil	balu
turn	hwervan
recognize	adelian
bear	adogian
judge	adomian
condemn	afehian
deliver	afodian
feed	fodian
putrefy	afulian
fulfill	afullian
silver	siluvar
scratch	hritan
run	hlopan
auger	navuger
boat	kiol
confusion	werran
weapon	wapan
plant	wurt
go	umbigangan
around	umbi-
shed	skethan
bow	hnigan
touch	hrinan
dissemble	mithan
drench	drenkian
bury	bidelvan
perish	farwerthan
climb	klimban
flourish	githihan
survive	nesan
strength	ellian
blow	blaian
flower	bloian
known	kuth
stir up	drovian
deceive	dwalon
shake	bivon
break	bibrekan
apply	anbrengian
accomplish	bibrengian
deprive	bidelian
suffocate	bidempian
conceal	bidernian
kill	bidodian
bleed	bidroragon
make	bidumbilian
hinder	bidwellian
embrace	bifahan
recommend	bifelhan
throw	bifellian
notice	bifindan
celebrate	bigangan
confess	bigehan
find	bigetan
give	bigevan
pour	bigiotan
make	bigledian
cause	gledian
bury	bigravan
please	bihagon
hang	bihahan
keep	bihaldan
cut	bihauwan
embrace	bihebbian
attach	biheftian
conceal	bihelan
veil	bihellian
announce	bihetan
enclose	biklemmian
behind	bihindan
laugh	bihlahhian
enclose	bihlidan
touch	bihrinan
veil	bihullian
cover	bihwelvian
lament	hiovan
do	lestian
celebrate	bihwervan
convert	bikerian
spread	biklenan
take	biklivan
take	biklivon
acquire	biknegan
come	bikuman
paralyse	bilamon
overlay	bileggian
paralyse	bilemmian
stop	bilinnan
deprive	bilosian
lock	bilukan
distribute	bimenian
mean	menian
avoid	bimithan
supply	bimornian
nail	bineglian
take	biniman
mention	binemnian
deprive	biniotan
mat	biropian
deprive	birovon
notice	sebbian
notice	bisebbian
listen	gihorian
wound	wunda
turn	wendian
foreign	eli-
eyelash	brawa
learn	linon
happy	blidi
wagon	wagan
drop	dropo
teach	lerian
anvil	anfelt
flow	rennian
bad	unwedar
accustom	wennian
scratch	hrittian
dearness	diuritha
shadow	skado
church	kirika
grape	druvo
thumb	thumo
ravager	skatho
worry	karon
burn	brennian
enjoy	brukan
whelp	hwelp
whale	hwal
comfort	frovra
edge	eggia
shoulder	ahsla
possession	eht
message	arundi
acorn	akeran
axe	akus
blackbird	amsla
giant	entisk
duck	anud
donkey	esil
ewe	ewi
wound	beniwunda
wound	wundon
wound	giwundon
bedfellow	gibeddio
benchfellow	gibenkio
message	gibodskepi
brothers	gibrothar
brother	brothar
deed	gidad
prosperity	giforsamhed
memory	gihugd
deed	gilesti
mouth	gimuthi
merciful	ginathari
abundance	ginuht
sufficient	ginuhtsam
seat	giset
law	gisetitha
servant	gisithi
followers	gisithskepi
scripture	giskrif
game	gispil
sibling	giswestar
calculation	gitala
seek	sokian
wood	widu
oldest	aldist
harder	hardiro
hardest	hardist
happier	blidiro
happiest	blidist
thought	githaht
save	hreddian
save	ahreddian
contrary	thwerh
angry	wreth
powerful	kraftag
mighty	mahtig
help	gihelpan
decapitate	gihofdon
die	doian
conform	likon
repent	hriuwon
dip	dopian
fear	andradan
bind	heftian
dry	druknian
sink	senkian
strengthen	lavon
clip	helsian
follow	gilestian
straighten	rihtian
behead	hofdon
goodly	godlik
procure	plegan
hang	hahan
heal	laknon
do	fremmian
perform	frummian
accomplish	gifrummian
seem	thunkian
pupil	seha
each	eogihwethar
change	wathalon
wander	wandlon
know	newitan
from	nethwanan
nothing	neowiht
none	neoman
someone	eoman
whence	hwanan
when	hwaner
sometime	hwanna
whereto	hwarod
somewhere	hwergin
whereto	hwarasun
inwardly	inwardes
wonder	wundar
fruit	wastum
danger	gifar
conceal	dernian
nightingale	nahtagala
nightbird	nahthravan
nightquarter	nahtselitha
neighbour	nahbur
none	nihwethar
improve	betiron
break up	brustian
lace	burdian
daughter	dohtar
thief	thiof
teacher	leriand
strew	streuwian
cattle	fehu
joy	wunnia
follow	folgon
speech	spraka
write	skrivan
protect	gibergan
foreign	fremithi
free	friohon
enjoy	giniudon
clash	hnitan
darken	swerkan
melt	smeltan
much	miku
bad	uvil
worse	wirsiro
worst	wirsist
wirs	uvilo
worse	wirs
small	luttil
worse	wirso
fewer	minniro
less	luttilo
darken	thrusmon
proud	wlank
meet	motian
work	workian
answer	andwordian
bleed	blodian
wound	farwundon
lead	heldian
hang	hangon
put	felhan
sharpen	skerpian
sharpen	giskerpian
make	beldian
equip	gibeldian
hinder	merrian
purchase	gisokian
make	wlenkian
come	wlakon
offer	sellian
consider	trahton
desire	girnian
ravage	herion
make	galpon
help	fullestian
follow	fulgangan
follow	fulgan
adorn	fratahon
become	firinon
frighten	forhtian
join	fogian
drip	driopan
tell	wrogian
care	hodian
dishonour	honian
mislead	irrian
participate	gimenian
weep	gratan
praise	marian
sky	radur
betray	swikan
talk	rethion
speak	mahlon
speak	mahlian
declare	gimahlian
declare	gimahlon
while	hwila
soul	seola
watch	wahta
love	minnia
Rome	Ruma
angriest	wrethost
angrier	wrethoro
prosper	spodian
zealously	niudliko
desire	niud
desire	niudon
be	swigon
rule	giwaldan
comparative	giwahsan
create	giskeppian
darken	giswerkan
endure	githolon
suffer	tholon
Middle Earth	middilgard
wealth	welo
wait	gibidan
tell	rekkian
pour	skenkian
feel	gifolian
find	antfindan
fall	antfallan
recompense	andgeldan
withstand	andhebbian
unbind	andheftian
recognize	antkennian
force	antklemmian
clamp	klemmian
lead	andledian
unlock	andlukan
receive	antfahan
own	gihaldan
desire	geron
aged	gialdrod
bind	gibindan
order	gibiodan
lead	gibrengian
make	gidon
bear	gidragan
beautiful	skoni
invoke	anhropan
prefer	giwerthan
cover	thekkian
place	stellian
turn	hwervian
turn	farhwervian
roll	gihwervian
serve	thionon
serve	githionon
clothing	giwadi
hinder	lettian
work	werkon
recognize	knaian
crow	kraian
wash	waskan
-fold	-fald
three	thrie
support	giwunon
hold	thurhwunon
habit	giwunohed
almighty	alomahtig
ovardrepan	ovar-
remember	gihuggian
accomplish	gifremmian
fulfill	gifullian
fulfill	gifullon
acquire	gihalon
experience	gifregnan
doom	gidomian
prepare	gigerwian
against	gegin-
uniformity	bili-
equal	evan
lift off	afhebbian
kill	aquellian
repent	ageldan
follow	aftarfolgon
become	aldron
strive	antflitan
start	anaginnan
tell	andhetan
raise	anstandan
offer	arvedian
acquire	awinnan
perish	awerthan
draw	atiohan
jump	sprengian
confess	gehan
undergo	undargangan
return	gihwervan
scare	undarbadon
change	wehslian
change	wehslon
need	therva
need	thurft
altar	harug
heavenly body	hevantungal
heavenly body	himiltungal
surround	umbibigevan
surround	umbihwervan
take over	umbifahan
look	umbilokon
multiply	gimanagfaldian
multiply	managfaldon
multiply	gimanagfaldon
simple	enfald
manifold	managfald
common	gimeni
proliferate	wokrian
state	-skepi
foolish	gimed
foolish	gimedlik
very	alaefni
uneven	ungiefnod
very	alahwit
evil	baluwerk
murder	waldad
wretched	wal-
evil	baludad
strong	megin-
evil	baluspraka
Devil	baluwiso
eternal	baluwiti
bad	balusuht
plotting	baluhugdig
nobility	athal-
strength	ellian-
wipe	swervan
allow	giunnan
deny	farmunan
noise	brahtum
huge	meginkraft
envy	nith
save	ginerian
threaten	thregian
threaten	githroon
similar	gilico
near	nāho
then	thō
warrior	helmgitrostio
man	helith
benumbment	dwalm
eternal	helliwiti
calumniation	firinspraka
sin	firina
deny	andsakan
people	thiudisk
maliciously	wisungo
suddenly	farungo
guess	radison
intellect	giwitt
thunder	thuner
bridegroom	brudigumo
village	Abbingthorp
Westphalia	Aberesdung
Athelbraht	Adalbraht
Athalbarn	Adalbarn
Adalbrandi	Adalbrand
place	Aðalgerasthorp
Athelhard	Adalhard
place	Athalheringwik
Athalmund	Adalmund
Ađalric	Adalric
Adalwarđ	Adalward
place	Adanhe
place	Adikonthorp
place	Adisthorp
place	Addikarasluva
place	Aveld
place	Avon-huvil
Eiteron	Aiteron
place	Aiturnon
place	Achem
place	Akinkthorp
place	Alathorp
place	Alberg
place	Alburg
place	Albriki
place	Aldanbochem
Elderd	Alderd
Aldmer	Aldmar
place	Aldon-Hokinasluva
place	Aldon-Hotnon
place	Aldonthorp
married	sinhiwun
rooster	uhtfugal
