no	y
pig	o
hot	bite
moon	law
firewood	thing
crossbow	li
cow	si
hammer	tu
rice	caw
I	kai
bottle	pila
swelling	bate
bad	site
fire	mai
thou	nang
gold	sui
sleep	ite
dog	ui
hit	bote
opium	bing
sheep	bera
plant	ete
chicken	ae
eat	cate
rabbit	jung
field	langaw
water	tui
village	vang
blow	möte
house	ing
room	nae
dig	taite
demon	angra
hut	labu
blade	paetae
hang up	bangte
fish	mawi
bite	keite
wipe	maite
eye	ämi
he	äni
squirrel	amaw
bury	öte
ant	bäli
turtle	täli
lime	thung
feast	pawi
bead	bawmö
ascend	pawte
carry	phawte
die	düte
sour	thawprate
rainy season	kawcaw
termite	khawraw
often	qae-ytera
clan	äxu-äsaeng
incubate	awte
spring	vawcawng
tooth	äfaw
spicy	sawhangte
paddle	hawte
duck	mawpai
nose	nawryng
love	ngaite
mix	rawte
scold	jawte
large	baete
cat	mibawi
forehead	löpaeng
sea	pangle
star	taengpaw
thigh	äphai
half	phüta
morning	kädang
bamboo plant	daikung
night	kädüng
forest	aetö
cheek	tangbaeng
God	säthaw
leftovers	kaeba
land	khö
dung beetle	ekhu
payment	lakhae
once	qaengta
pillow	löqyng
tumour	paimäxei
nephew	löxi
believe	angte
wound	tämaw
sun	käni
eel	nänaw
meat	ängang
now	vaihi
chaff	cawfi
soup	angfa
gibbon	laifaw
paper	caerang
pestle	sungja
iron	süng
alive	haengte
bone	ähu
follow	huite
armpit	jaengkui
rat	bäjö
city	märü
yes	üng
arrive	tyngte
bulb	angpawng
turkey	udawng
coconut palm	ungsingkung
dwell	awngte
spread out	hite
jackal	kivae
rainbow	kungbäje
groundnut	petawng
movement	aetaete
flower	äpa
flute	phüsävü
boil	büte
younger brother	kangby
hunter	mycy
generous	pyte
horse	cäphö
work	kälu
road	lolang
son-in-law	mocae
order	mätawte
ghost	seisi
granary	cawpai
fruit	äthai
spirit	muilaw
bee	khawi
friend	rawijae
darkness	käving
price	ävang
yesterday	jangdüng
vine	angjü
ripe	müngte
praying mantis	cüngrai
land	mityng
bundle	a-yng
stone	kälung
bear	tävawng
cricket	tawngri
gong	mawng
flee	prangjate
destroy	täphrate
grave	täprung
squirrel	tawngkhi
we	kaice
all	angxynglyng
porcupine	sobähi
girl	nawmädi
younger brother	kangpraw
dirty	pawpraete
crested	sangphraeng
sheatfish	cungphra
needle	säphrüng
clothing	kä-o
mountain	me-anghung
cave	täpu
womb	täbö
mouth	täbawng
enemy	täre
curse	täkingte
cut down	bälute
fight	bädute
kiss	mänangte
split	mäkhawite
lift	täryngte
listen	tängaite
cooked rice	bö
breakfast	kädangbö
mist	sädangtui
belly	äjo
heart	bälung
tiger	täkai
year	säni
ginger	käthing
fat	ätha
south	ätüng
open	pä-awngte
jealous	pä-ete
father-in-law	pä-ui
father	äpä-ai
snake	bärui
fly	mätha
comb	mäthi
omen	kangmäre
mushroom	täpawpa
mother	änä-awi
cooking pot	nä-awng
door	kätho
crowd	khämibui
inhabitant	awngtekhämi
birdlime	cänai
hornbill	cäko
son	cäpaw
sand	sä-i
crocodile	sätang
poison	äse
person	khimi
leader	mätawngky
elder	khämimätawngky
plant	thikawng
root	thikawng-äjüng
kitten	mipawicäpi
tail	tämai
louse	ähi
write	tärüte
smoothen	käsaete
agreed	cäkae
wild cat	tämae
egg	kädui
steal	bärute
head	älö
spoon	käcawi
man	nawngmäsaw
yawn	bähangte
wrong	tämangte
hoe	pangtävang
animal skin	ängaphöpete
wood	pebyng
blacksmith	pething
anvil	pedaing
fortuneteller	pedangsärae
papaya	paesäkaethai
basket	paesaeng
hoe	pangtävahaitäkhute
left	pangrawi
beach	panglepyng
flow	tuilawngte
current	pangletuilawngte
belonging	pyngte
crop	pybü
mother-in-law	pä-i
belch	pä-yte
soft	pawnawngte
butterfly	pheledaengdai
cocoon	pheledaengdai-ing
candle	phejawngdai
bat	phangpha
dry	phuite
