and	و
I	من
wind	شمال
water	سو
camp	اوردو
one	بیر
interrogative	مو
brain	دماغ
time	گز
you	سن
he	او
sweat	تیر
he	اول
Venus	زهرة
blood	قان
three	اوچ
milk	سوت
star	یولدوز
spindle	یلنك
shrub	تونك
happy	شین
mountain	تاغ
side	یان
word	سوز
smoke	توتون
we	بیز
snow	قار
eyebrow	قاش
Kazakh	قزاق
hail	تولى
military emprise	یورش
there is	يوق
Jupiter	مشتري
woman	حاتون
you	سیز
cloud	بولوت
five	بیش
walk	یورمك
walnut	قوز
two	ایكی
sum	سومون
umbrella	کونلوک
arrow	كز
four	تورت
chamois	سایغاق
guide	قولاوز
stamp	تمغا
bridegroom	كویاكو
small wooden bowl	قاشوق
rice	توتورغان
rice	توتورغو
family tree	شجره
wooden bucket	چلك
green	یاشیل
lark	تورغای
you	سیزلار
they	اولار
they	الار
heart	کونکول
desert	چول
barley	ارپا
gypsum	آلچی
sky	كوك
