he	on
absinthe	absinth
graduate	absolvent
teetotaler	abstinent
so that	aby
about	o
and	i
kilobit	bit
sweeper	libero
the	ten
bridge	most
skill	um
Bečuánsko	Botswana
money	love
Barma	Myanmar
yetiové	yeti
gift	dar
jamkoviště	green
tube	tuba
speed	tempo
elecampane	woman
humour	humor
which	an
llama	lama
it	to
we	my
kiwi fruit	kiwi
argumentu	argument
Koreje	Korea
tsar	car
cosmonaut	astronaut
oak	dub
digraph	CH
sobota	so
mother	matka
double raise	re
winter	zima
lamp	lampa
matadorovi	matador
hi	servus
heel	pata
into	do
to	ke
so	tak
map	mapa
fit	fit
snake	had
ice	led
baccích	back
family	rod
delusion	blud
would	by
boxing	box
out	ven
vermouth	vermut
pianě	piano
World Meteorological Organisation	SMO
step	krok
thread	nit
Roma	Rom
sheet	list
club	klub
manna	mana
Bible	bible
analogue	analog
as	bo
around	o-
to	k
with	s
at	u
in	v
from	z
colony	kolonie
yes	ano
pchin-jin	pinyin
son	syn
humanoidovi	humanoid
hyperbole	hyperbola
uživatelské menu	menu
nick	loch
hyperlink	link
guest	host
nuance	nuance
I see	aha
braid	cop
NSAID	NSA
elfu	elf
armor	tank
heap	kopa
duet	duo
jute	juta
drive	pohon
shame	stud
Greece	Hellas
tulip	tulipán
kilogram	kilo
hmm	hm
road	cesta
therefore	proto
caesium	cesium
no	ne
mobile	mobil
on	na
reflexive pronoun	si
are	ar
they	ti
what	co
reflexive pronoun	se
sweat	pot
titanium	titan
samurai	samuraj
pondělí	po
here	tu
anathema	acht
raven	krkavec
ride	jet
omega	omega
crone	baba
pilotovi	pilot
manifesto	manifest
banner	transparent
Protestant	protestant
million	mega
ointment	mast
investoru	investor
beer belly	Milan
United States	New York
stalemate	pat
aspect	vid
Czech	Čech
papyrusu	papyrus
Bologni	Bologna
field	pole
Turkoman	Turkmen
barbel	parma
hamburgeru	hamburger
capable talented person	lumen
flow	tok
grammar school	gymnasium
Nynorsk	nynorsk
divining rod	virgule
ton	tuna
tea	té
majoru	major
videům	video
Slovakia	Slovensko
zenith	zenit
hokejový klub	HK
abbess	mater
dew	rosa
harpsichord	cembalo
air	luft
date	datum
verb	verbum
virus	vir
lyre	lyra
serpent	hydra
hymn	hymnus
magnifying glass	lupa
pound	libra
correct	recht
you	ty
you	vy
car	auto
Saint Petersburg	Leningrad
fugue	fuga
people	lid
sheet	arch
back	rub
yam	jam
feather	pero
moon	luna
side	bok
barefoot	bos
take off	zout
tick	tik
brightness	jas
Israel	lira
coin	moneta
sonography	sono
Saturday	sobota
Advent	advent
from	od
outpatient	ambulance
alarmismus	alarm
otevřený interval	interval
blog	blog
candle wick	knot
where	kam
Congo	Kongo
movie	film
marking	ryska
persimmon fruit	kaki
torment	muka
suffix	-ie
-ly	-y
pharaoh	farao
number	numero
love child	bastard
deciliter	deci
hotelích	hotel
gulp	lok
orchard	sad
head	hlava
shepherd	bača
gelding	valach
submarine	ponorka
male virgin	panic
she	ona
it	ono
they	oni
they	ony
sister	sestra
Mr	pán
neither	ani
prime number	prvočíslo
owl	sova
round	okolo
premiere	premiéra
jigsaw puzzle	puzzle
metal	kov
Tigrisu	Tigris
gyro	gyros
whiskey	whisky
quick	bystrý
although	byť
oneself	sebe
Socrates	Sokrates
cocoa	kakao
deca-	deka-
agenda	program
stoic	stoik
island	ostrov
finger	prst
dude	chlap
enamel	email
hero	hrdina
grandson	vnuk
porn	porno
scourge	metla
north	sever
ice cream	zmrzlina
palm	dlaň
crowd	dav
wolf	vlk
life	život
giraffe	žirafa
fame	sláva
bow	luk
Egyptian	Egypťan
Egyptian	Egypťanka
arrow	šíp
Gemmifera	kapusta
raspberry	malina
word	slovo
glass	sklo
cup	pohár
sawhorse	koza
paste	pasta
elephant	slon
year	rok
whore	kurva
vynikající	super
felt-tip pen	fix
palindrome	palindrom
farewell	vale
honey	med
albatross	albatros
studentu	student
drug addict	narkoman
tent	stan
franc	frank
fax machine	fax
viru	virus
father	otec
subway	metro
forest	les
Triassic	trias
sorry	pardon
drug	droga
main verb	su
thread	vous
rubber	guma
condom	kondom
press	lis
phone	telefon
trap	past
mountain	hora
hinge	pant
formula	formule
Adamovi	Adam
which way	kama
cool	senza
bulwark	val
insect	insekt
camera	kamera
vulture	sup
rook	havran
crampon	mačka
mathematician	matematik
scala	škála
logic	logika
cobra	kobra
skeleton	kostra
merchant	kupec
driver	šofér
spinach	špenát
logician	logik
sulfur	síra
sulfuric acid	kyselina sírová
acid	kyselina
oxide	kysličník
oxygen	kyslík
godmother	kmotra
photographer	fotograf
family	rodina
hour	hodina
aborigine	domorodec
politics	politika
politician	politik
wise man	mudrc
biography	životopis
piano	klavír
diminutive	-ka
hand	ruka
ručičkami	ručička
leg	noha
leg	nohavice
Slovak	Slovák
gasoline	benzín
spaghetti	špagety
checkmate	mat
check	šach
Euphrates	Eufrat
drunkard	opilec
drinker	pijan
alcoholic	alkoholik
step	schod
anti-Semite	antisemita
vegetable	zelenina
cigarette	cigareta
vision	zrak
mystery	záhada
military service	vojna
room	pokoj
backlog	rest
wage	mzda
May	máj
mathematics	matematika
sandwich	sendvič
count	počet
frost	mráz
beach	pláž
side	strana
air	vzduch
chin	brada
bus	autobus
trolleybus	trolejbus
hydrogen	vodík
water	voda
window	okno
tongue	jazyk
dick	kokot
Arabovi	Arab
pint	pinta
below	pod
moon	Charon
syrup	sirup
for	za
please	prosím
because	protože
big	velký
modern	moderní
zombie	zombie
sad	smutný
take	brát
live	bydlet
read	číst
who	kdo
where	kde
why	proč
hello	ahoj
hope	doufat
Poland	Polsko
four	čtyři
bank	banka
white	bílý
fool	blázen
desetina	deset
god	bůh
man	muž
religion	náboženství
address	adresa
jedenkrát	jeden
two	dva
there	tam
tooth	zub
moon	měsíc
small	malý
tree	strom
new	nový
good	dobrý
uncle	strýc
globalization	globalizace
oligarchy	oligarchie
potato	brambor
onion	cibule
lemon	citron
garlic	česnek
blood	krev
wrist	zápěstí
knife	nůž
mirror	zrcadlo
bed	postel
Aquarius	Vodnář
beg	prosit
octopus	chobotnice
free	prost
Greece	Řecko
France	Francie
poison	jed
Germany	Německo
ú	ů
twice	dvakrát
dragonfly	vážka
butterfly	motýl
t	ť
embryonální	embryo
fence	plot
software	soft
abstract	abstrakt
eye	oko
létavice	meteor
author	autor
-átko	-ko
transgressive	prose
drug user	cracker
superlative	superlativ
normanský	Norman
week	týden
pussy	pizda
windowsill	parapet
expatriate	expat
disc	disk
Andes	Andy
marten	kuna
approximately	circa
price	cena
yeah	jo
nadčlověk	superman
gambling	hazard
section	paragraf
alane	alan
down	dole
δύναμαι	dynamo
throw	hod
prosperous peasant	kulak
minor	moll
lip	ret
ceiling	strop
lavolta	volta
resignation	demise
diabetik	diabetes
undestroyable person	fest
finances	finance
trick	lest
or	neb
laptop	notebook
receipt	paragon
current	proud
sequence	sled
stage	stadium
biftek	steak
C-sharp	cis
assembly	assembler
candy	bonbon
records	evidence
population	populace
oven	pec
lagoon	laguna
guess	tip
when	kdy
meme	mem
executioner	kat
twenty	dvacet
daughter	dcera
hundred	sto
shelf	police
coin	mince
as well	item
metrosexual	metrosexuál
firm	firma
to	ku
rho	ró
polymath	polyhistor
adolescentovi	adolescent
