liver	ate
in	ba
stone	kara
blood	do
wood	eu
neck	bagi
child	ono
drink	inu
hair	bu
we	ita
pus	nana
sunshine	sino
plate	figa
guest	tome
ladder	ora
body	boto
father	ama
eat	a
coconut palm	ohi
dog	asu
thorn	doi
ask	sofu
fallow	benua
mother	ina
choose	fili
hear	rongo
udder	ota
know	ila
read	baso
call	kaoni
above	tou
rice	böra
sand	ene
white	fusi
rain	teu
fruit	bua
branch	daha
go	möi
sheep	biri-biri
leg	ahe
bite	usu
pig	bawi
bowl	mako
rainbow	dumi
run away	moloi
seek	alui
wind	angi
house	omo
mountain	hili
ahele	ahele nasi
grass	du'u
finger	turu
give	be'e
stick	si'o
dirty	taʼunö
good	sökhi
injured	bötö
new	bohou
correct	atulö
kill	bunu
see	faigi
poison	söfu
thief	sanagö
root	wa'a
island	nuza
skin	uli
bring	ohe
lip	bewe
house	kiliwi
sand	gawu
village	öri
village	banua
water	idanö
sew	tagu
coconut	banio
buy	öli
noun	bongi
kunai	o'o
sibling	akhi
thumb	turu sebua
forefinger	turu luo
middle finger	turu laŵa
ring finger	turu mani
little finger	turu siakhi
illness	fökhö
sick	afökhö
nose	ikhu
navel	fusö
rice	fakhe
bathe	mondri
sleep	mörö
ghost	bekhu
say	ŵa'ö
snake	ulö
friend	awö
sail	loyo
sail	moloyo
moon	baŵa
fire	alitö
bear	mowua
fine	dandro
I	ya'o
above	yaŵa
head	högö
grey	huŵa
speak	muhede
hide	bini'ö
tail	i'o
follow	o'ö
name	töi
throw away	tibo'ö
eye	hörö
heart	tödö
afraid	ata'u
frighten	feta'u
pillow	tandraya
steal	tagö
we	ya'aga
flight	hombo
fly	muhombo
cheek	bo'ö
fart	hötu
blossom	bowo
star	döfi
fat	tawö
