August	august
he	on
and	i
axis	os
this	ten
bridge	most
Egypta	Egypt
mind	um
gift	dar
llama	lama
it	to
we	my
oak	dub
voza	voz
majstrovstvá sveta	MS
with	so
mother	matka
winter	zima
lamp	lampa
hello	servus
into	do
bitch	suka
map	mapa
snake	had
sound	piano
listu	list
metre	meter
elevator	lift
with	s
from	z
son	syn
their	ich
brother	brat
braid	cop
heap	kopa
kilometre	kilometer
tulip	tulipán
kilogram	kilo
road	cesta
abbot	abbé
on	na
are	si
samurai	samuraj
three	tri
raven	krkavec
old woman	baba
United States	New York
stalemate	pat
Czech	Čech
sheep	ovca
field	pole
newtonami	newton
electric potential	volt
flow	tok
Slovakia	Slovensko
sea	more
mother	mater
dew	rosa
centaur	centaurus
pig	brav
row	rad
I	ja
you	ty
you	vy
car	auto
feather	pero
moon	luna
house	dom
goose	hus
Sabbath	sobota
from	od
blog	blog
movie	film
marking	ryska
torture	muka
accusative	sa
garden	sad
dot	bodka
head	hlava
shepherd	bača
shepherd	valaška
submarine	ponorka
female virgin	panna
male virgin	panic
fog	hmla
enemy	nepriateľ
friend	priateľ
female	priateľka
travel	cestovať
traveller	cestovateľ
construction worker	cestár
midafternoon snack	olovrant
sukieň	sukňa
skirt chaser	sukničkár
she	ona
it	ono
they	oni
they	ony
fall asleep	zaspať
brother-in-law	švagor
sestier	sestra
chicken	kura
giant	obor
donate	darovať
lord	pán
neither	ani
pear	hruška
na zdravie	na zdravie
health	zdravie
litre	liter
prvočísel	prvočíslo
owl	sova
genitive	okolo
premiere	premiéra
flow	tiecť
suburb	predmestie
metal	kov
blood	krv
whiskey	whisky
quick	bystrý
be	byť
oneself	seba
dative	sebe
selfish	sebec
seven	sedem
Sokratesa	Sokrates
programovo	program
maybe	azda
island	ostrov
finger	prst
soil	prsť
old man	dedo
palec na nohe	palec na nohe
man	chlap
street	ulica
vnuci	vnuk
Persian	Peržan
metál	metla
Quidditch	metlobal
woman	žena
tower	veža
from	odo
North	sever
ice cream	zmrzlina
lock	zámok
skin and bones	kosť
palm	dlaň
garlic	cesnak
crowd	dav
village	dedina
villager	dedinčan
villager	dedinčanka
countryfolk	dedinčania
grandfather	dedko
maiden	deva
hole	diera
debt	dlh
willow	vŕba
vlci	vlk
Tutankhamon	Tutanchámon
binoculars	ďalekohľad
life	život
frog	žaba
giraffe	žirafa
glory	sláva
bow	luk
archer	lukostrelec
Egyptian	Egypťan
Egyptian	Egypťanka
shooter	strelec
arrow	šíp
arrow	šípka
cabbage	kapusta
cucumber	uhorka
raspberry	malina
city	mesto
location	miesto
word	slovo
glass	sklo
glass	pohár
freckle	peha
fool	blázon
emperor	cár
emperor	cisár
tsarevich	cárovič
goat	cap
goat	koza
paste	pasta
dummy	Kubo
cigar	kuba
salt	soľ
people	ľudia
person	človek
elephant	slon
ontogenesis	ontogenéza
roka	rok
moon	mesiac
prostitute	kurva
high priest	pontifex
honey	med
drug addict	narkoman
father	otec
abaya	aba
