or	o
the	i
air	aria
there	ci
me	mi
you	vi
USSR	URSS
dog	cane
blade	lama
his	so
deceased	ben
thank you	grazie
the	e
the	u
sea	mare
a	un
five	cinque
six	sei
seven	sette
nine	nove
house	casa
him	li
thee	ti
we	noi
ye	voi
sierra	serra
be	esse
water	acqua
elephant	elefante
bee	apa
card	carta
bread	pane
bank	banca
star	stella
earth	terra
and	è
avendu	aver
month	mese
April	aprile
u	l'
la	là
sword	spada
more	più
fig tree	fica
very	assai
flour	farina
thousand	mille
writer	scrittore
France	Francia
hour	ora
east	este
big	grande
animal	animale
English	inglese
they	elle
region	regione
leg	anca
green	verde
university	università
Japan	Giappone
atmosphere	atmosfera
translate	traduce
grace	grazia
hen	gallina
medicine	medicina
hello	salute
the	a
be born	nasce
bed	lettu
two	dui
one	unu
fear	teme
well	bè
god	diu
Monday	luni
test	teste
laughter	risa
fox	volpe
European	europeu
south	sud
they	elli
with	cù
wolf	lupu
grass	arba
saw	sega
year	annu
that	issu
island	isula
Tuesday	marti
honey	mele
enter	entra
negligence	negligenza
kangaroo	canguru
September	settembre
October	ottobre
December	dicembre
pity	misericordia
thigh	coscia
donkey	sumere
Greek language	grecu
city	cità
twenty	vinti
esse	hè
what	chè
do	fà
this	què
thou	tù
she	ella
flood	alluvione
priest	prete
perhaps	forse
nuclear	nucleare
reindeer	renna
mink	visone
stain	tacca
love	amà
reptile	rettile
biochemistry	biochimica
sense	sensu
previously	anteriormente
pitch	pece
all	tuttu
zero	zeru
me	mè
shining	lucente
otter	lontra
sweat	sudore
sweat	sudori
son	figliu
this	istu
good	bonu
Romania	Rumenia
substantive	sustantivu
white	albu
sing	cantà
Manchu	mancese
eight	ottu
four	quattru
three	trè
speak	parlà
round	tondu
marsupial	marsupiale
black	neru
song	canzona
hundred	centu
southeast	sudeste
hen	ghjaddina
hen	ghjallina
verb	verbu
prefecture	prefettura
century	seculu
roof	tettu
esse	sò
pipe	pippa
musician	musicante
rat	topu
vampire	succhiasangue
obtain	ottene
March	marzu
fire	focu
etymology	etimulugia
heaven	celu
person	omu
red	rossu
ant	furmicula
this	stu
head	capu
gluten	glutinu
wheat	granu
cunt	chjichja
whim	tichju
yes	iè
calf	zancaru
knee	ghjinochju
soak	intinghje
state	statu
port	portu
singing	cantu
saw	segà
Faroese	faroese
want	vulè
this	questu
Wednesday	mercuri
live	campà
ten	dece
garden	giardinu
chimney	caminu
attic	granaghju
lock	sarratura
corridor	curridore
desk	scagnu
radiator	scaldatoghju
freezer	cunghjelatore
razor	rasoghju
mirror	spechju
broom	spazzula
mayor	merru
church	ghjésgia
castle	castellu
cook	cucinaru
baker	panatteru
hairdresser	piluccheru
theatre	teatru
banker	banchieru
money	dinaru
prostitute	sbancalata
policeman	pulizzéru
postman	fattòre
parcel	pacchettu
telephone	telefunu
mobile phone	purtevule
breakfast	sdighjunu
lunch	cullazione
fork	furcina
knife	cultellu
bottle	buttiglia
glass	bichjeru
napkin	tuvagliolu
juice	suchju
chocolate	cicculata
yoghurt	iogurtu
butter	butiru
ice cream	ghjacciu
thousand	millanta
know	sapè
commune	cumuna
department	dipartimentu
capital	capilocu
arrondissement	circundariu
commercial	cummerciale
call	chjamà
old	vechju
temperature	timperatura
June	ghjugnu
July	lugliu
August	aostu
November	nuvembre
January	ghjennaghju
February	ferraghju
May	maghju
eat	manghjà
buy	cumprà
day	ghjornu
week	sittimana
Thursday	ghjovi
Friday	vennari
Saturday	sabatu
Sunday	dumenica
job	puetu
consider	cunsiderà
regional	regiunale
know	cunnosce
bark	abbaghjà
accompany	accumpagnà
help	aiutà
raise	alzà
go	andà
prepare	appruntà
play	ghjucà
snail	sammartinu
blood	sangui
cork	tappu
Atlantic lizardfish	tarentula
pig	porcu
zebra	zebru
weasel	bellula
nude	nudu
watermelon	pastecca
camel	camellu
rooster	gallu
God	Diu
she-camel	camella
hare	levra
eagle	acula
hospital	ospidale
have	avè
donkey	asinu
forest	boscu
book	libru
bear	orsu
white	biancu
fifteen	quindeci
Chinese	chinese
north	nordu
arm	bracciu
dog	ghjacaru
new	novu
nitrogen	azotu
study	studiu
cat	ghjattu
friend	amicu
barley	orzu
silver	argentu
yellow	giallu
not	ùn
Genoa	Genuva
