child	anak
write	surat
one	isa
eye	mata
fireplace	avu
dog	asu
arrive	uma
yam	uvi
seven	pitu
eight	walu
carry	bava
nail	sulu
repay	bales
know	savut
weave	rara
soap	savun
mosquito	rengit
transfer	halin
forget	lipat
saw	gavas
body	lawa
smoke	evel
here	dini
path	dalan
cut	getas
fame	bantug
egg	impis
gun	pusil
four	upat
sickle	garab
woman	bahi
water	wahig
there	diyan
thin	nipis
pestle	andu
think	isip
man	etew
thousand	libu
hundred	gatus
raft	gakit
twig	rasang
fire	hapuy
rib	gusuk
pot	kuzen
ember	baɣa
divide	ba'ad
make	ba'al
agree	uyun
old	da'an
choose	pili'
path	enug
drink	inum
eat	ka'an
shrimp	uravang
go out	guwa'
steal	takew
catch	dakep
chew	mama'
cut	lapa'
shallow	mevavew
white	puti'
big	dekela'
famous	mevantug
black	me'item
deep	mezalem
bad	maza'at
name	ngazan
bile	epezu
kiss	hazek
nose	izung
fault	sala'
cat	bezung
wind	keramag
climb	pemenahik
deer	selazeng
far	diyu'
far	meziyu'
blood	lengesa
give	beɣey
ladder	heɣezan
sea	daɣat
bathe	diɣu'
night	dukilem
red	meriɣa'
finger	tezu'
boat	avang
good	me'upiya
hard	mezesen
long	melayat
narrow	meliɣet
lung	baɣa'
heavy	meveɣat
virgin	raɣa
say	kaɣi
banana	saɣing
new	beɣu
needle	raɣum
bite	kaɣat
rattan	belaɣen
rice	beɣas
scrape	kaɣis
sip	hiɣup
stalk	reɣami
strong	meviɣer
thorn	duɣi
vein	uɣat
plant	pemula
run	pelelaɣuy
relative	suled
sharp	garang
sit	pinu'u
sour	mepezes
spit	ileb
thigh	buvun
thought	hena'hena'
thunder	ruɣung
help	tavang
bury	leveng
broth	savew
above	bavew
weave	havel
lip	bivig
hair	bulvul
pig	bavuy
rainbow	belugtu
grow	tuvu'
monkey	uval
lie	hizega
exceed	lavew
yesterday	gevi'i
short	mevava'
close	lipezeng
tighten	heɣet
harvest	raɣun
copper	tumbaɣa
sugar cane	tevu
two	dezuwa
six	he'enem
ten	sepulu'
five	lelima
three	tetelu
nine	siyew
snare	litag
allow	tuɣut
help	uɣup
