horse	march
patronymic	ab
hat	het
tea	te
i ni	in
place	man
lower	is
code	cod
if	os
frivolity	lol
gild	euro
dog	ci
I	mi
ink	inc
i ti	it
children	plant
nasal mutation	fy
parson	person
to	at
roof	to
challenge	her
soft mutation	tan
head	pen
arse	tin
she	hi
lemon	lemon
amethyst	amethyst
pretty	del
with	ag
whether	ai
blame	bai
peak	ban
èch	CH
husk	bran
there	draw
second	ail
rain	law
why	pam
morning	bore
hair	blew
cost	cost
pretty	go
seed	had
act	act
tummy	bol
beak	pig
bill	bil
raw	ir
black	du
shit	tail
method	dull
euro	ewro
grave accent	u
hydrogen	hydrogen
carrot	moron
wall	wal
valley	cwm
aid	help
wise	call
only	un
join	uno
spider	cop
compact disc	CD
county	sir
-ever	ta
billion	biliwn
dwarf	cor
carbon	carbon
nectar	mela
he	fe
murmur	si
about to	ar
almanac	almanac
their	eu
your	dy
what	pa
for	am
three	tri
side	tu
if	pe
base	sail
exact	union
banjo	banjo
billhook	ser
play	drama
equipment	offer
die	dis
slender	main
coat	cot
morning	more
bitch	gast
steam	ager
white	wen
estuary	aber
or	neu
why	py
old	hen
yesterday	doe
night	nos
try	trio
opinion	barn
ten	neg
step	gris
unnecessary	afraid
second-person singular preterite	-est
impersonal present subjunctive	-er
Wikipedia	Wicipedia
revenge	dial
blog	blog
America	America
spleen	dueg
food	bord
torque	torch
cliff	clog
raven	cigfran
definite	pendant
skin	groen
comma	coma
second	hail
unless	oni
bio-	bio-
nature	natur
without	di-
horn	corn
video	fideo
weapon	arf
acorns	mesa
singer	cantor
continuance	para
origami	origami
demonstration	protest
necktie	tei
our	ein
abbot	abad
narrow	cul
fast	clou
feather	plu
prostitute	putain
hollow	pant
respect	parch
pretty	pert
party	plaid
good	mad
zebra	sebra
quite	tra
feat	camp
chapel	capel
third-person singular present indicative	-a
kind	math
Welsh	Cymraeg
rice	reis
region	bro
tower	tŵr
crowd	twr
smile	gwên
creator	crëwr
concubine	cyẅres
riff-raff	caridýms
manly	gẃraidd
root	gwraidd
mug	mẁg
smoke	mwg
discoloured	pỳg
pitch	pyg
choking	tag
tin	tun
-ness	-ni
record	record
five	pump
first-person plural conditional	-en
contract	contract
piece	darn
cur	corgi
Newcastle upon Tyne	Newcastle
asarabacca	alan
thumb	bawd
treason	brad
girl	hogan
tent	pall
father	tad
how much	faint
not	nag
nobody	neb
that	mai
baby	babi
membrane	pilen
Wales	Cymru
as	fel
morning	fore
Quaker	Crynwr
Jesus	Iesu
act	actio
cheese	caws
any	dim
helmet	helm
how	sut
pesto	pesto
two	dau
four	pedwar
six	chwech
seven	saith
eight	wyth
day	dydd
woman	dynes
farm	ffarm
week	wythnos
month	mis
August	Awst
February	Chwefror
April	Ebrill
July	Gorffennaf
October	Hydref
January	Ionawr
March	Mawrth
September	Medi
June	Mehefin
December	Rhagfyr
November	Tachwedd
year	blwyddyn
hour	awr
minute	munud
second	amrantiad
boy	bachgen
girl	bachgennes
girl	geneth
mountain	mynydd
dragon	draig
quarry	cloddfa
town	tref
town	trefol
city	dinas
river	afon
street	heol
house	annedd
chapel	betws
church	eglwys
region	tud
church	llan
Welsh	Cymreig
soft mutation	dwy
United States	Birmingham
radical	Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch
Llangollen	Llangollen
sitting	eisteddfod
air	awyr
hit	bwrw
white	cannaid
left	chwith
red	coch
south	deheubarth
