rice plant	mi
or	ba
fruit	bite
village	song
bird	do
i-	ia
elder brother	dada
maternal uncle	mama
jungle	bring
arrow	bra
boat	ring
gong	rang
sesame	spin
tree	bol
strength	bil
sun	sal
rebuke	mana
imperative	-bo
night	wal
run	kata
write	sea
price	dam
husband	se
pagipa	pa
mat	am
father	baba
six	dok
obey	mania
water	chi
very	namen
that which	je
month	ja
granary	jam
let us	hai
louse	tik
eye	mik
elder brother	ada
work	kam
father	apa
friend	baju
ladle	pong
one	sa
lative	-ona
ablative	-oni
be short	ona
younger sister	nono
u-	ua
yes	hoe
be good	nama
grandmother	abo
lamb	mes
burn	kama
mouse	mese
look at	nia
genitive	pal
squirrel	mat
belly	ok
cultivation	abat
genitive	-ni
dative	-na
accusative	-ko
sell	pala
flow	joka
negation	-ja
locative	-o
apply liquid	pila
dative case -na	bate
throw away	gala
stuff	gam
rotten food	sima
river	gang
snail	gap
what	mai
die	sia
pull	sala
small waterpot	sarong
week	anti
sew	sika
cuss	sola
head	sko
mother	ama
be sharp	mata
if	-ode
paternal aunt	mani
live	tanga
peanut	badam
jackal	peru
manderang	mande
shirt	chola
and	aro
breast	sok
song	gan
era	tro
there is	donga
nine	sku
nose	ging
hope	asa
book	boi
drum	dama
locative	bak
copper	tama
fire	agal
digging stick	matta
younger brother	jong
basket	kok
wear	gana
four	bri
milk	dut
tooth	wa
enter	napa
chase	rika
cover	pina
finger	jaksi
crawl	mala
mirror	aina
elder	bura
be happy	kusi
drink	ringa
cotton	kil
color	rong
put	dona
elder sister	abi
measure	toa
cover	gripa
reading	pora
manure	asal
stitch	koa
Areca palm	gua
lead	dila
we	chinga
bite	sua
be intoxicated	peka
husband	boning
Wednesday	airo
seven	sini
bright	raka
upland	saka
face	mikkang
hammer	hatur
liver	bika
where	bano
house	nok
hear	knaa
pig	wak
cloud	aram
who	sawa
rise	naa
eggplant	baring
shell	biking
sting	dela
fog	guri
cross	bata
younger sister	no
that	hawa
buy	brea
millet	misi
chameleon	gara
beautiful	nitoa
like	gita
country	asong
male human	-pa
two	gini
spider	guang
frog	beng
beer	chu
be high	chua
boil	rita
call	okama
younger maternal aunt	ade
how	badi
sinner	papi
sugar	chini
where	bachi
avoid	gela
why	maina
basket	kera
name	minga
read	poria
sickness	saa
nominative	gri
want	boka
be lazy	arata
divorce	segala
singer	silpi
pierce	bua
without	gride
cultivate	gama
indeed	-ba
burst	preta
this	iako
star	aski
bee	bija
polar question	-ma
road	sorok
grandmother	ambi
how much	baita
rope	budu
climb	gaa
cover	stika
time	somai
ka-	kaa
distribute	chama
untie	enga
meat	bitin
ang-	anga
outside	apal
bell	ganti
tomorrow	knal
grasshopper	haguk
force	jur
husband	gume
zero	suino
umbrella	chata
fish basket	koksi
arrive	soka
prepare	taria
hour	konta
be deaf	benga
everyone	sakanti
full	gapa
win	chea
domestic duck	gagak
only if	-osa
insert	chipa
tiger	matcha
rot	soa
do	daka
produce	nanga
be noisy	janga
father	paa
room	dring
eye	mikron
instrumental	-chi
buzz	dima
paternal aunt	bochi
wait	senga
evening	attam
shop	dokan
count	chana
spring	chimik
be much	indita
probably	-sai
even though	-oba
him	biko
order	hita
four	bonga
lunch	mesal
know	uia
donkey	gada
let it	-kan
look at	ni-
be afraid	kena
what	ba-
new	gital
hair	kni
life	janggi
weave	tringa
with	baksa
chance	chol
leaf	bijak
knife	churi
small waterpot	dikte
flower	bibal
rain	waa
snake	chippu
sacrifice	amua
sepoy	sipai
someone else	jawa
time	baji
money	tangka
locative	-no
younger paternal uncle	awang
thresh	choa
water buffalo	matma
here	iano
me	angko
be wide	apala
pen	kolom
know	masia
all	pilak
be very	jima
sorry	kema
eight	chet
they	bisong
side	paksa
enemy	bobil
fill	Braa
down	-on-
yet	-ku-
grandchild	angsu
meal	me-
puddle	chibol
rain	mikka
wow	aiau
fly	tampi
song	giit
nominative	ginang
recently	mangmang
crane	alabok
post	krong
brain	taning
egg	bitchi
pollution	marang
be small	chona
key	chabi
adolescent	pante
watch	gori
football	robol
care for	jila
be hot	dinga
wife	jik
tongue	sre
morning	walni
grow	chaa
millet	misimi
grasshopper	guk
type	rokom
ear	nachi
forget	guala
vine	bidu
play	doka
church	gilja
market	bajal
sickle	katchi
phrap	ফ্রাপ
wilderness	bakra
probably	-kon
biming	বিমুং
dream	জুমাং
tooth	ওয়াগাম
pig	ওয়াক
water	চি
body hair	খিমিল
sting	ডোলা
river	chibima
shoulder	pakkre
fire	wa·al
ear	nachil
arm	gangpong
ditch	dongge
deer	matchok
always	pang-nan
edge	rikong
cave	rong-kol
sweet potato	ta་mi་lang
manioc	ta་bolchu
mammal	mat-
wind	bal་wa
rabbit	kor་gus
wing	grang
neck	gitok
mind	gisik
nose	gingting
width	gipeng
mosquito	gangua
fin	gangching
hair	kimil
fist	jaktom
round	-tom
arm	jakpong
cylindrical	-pong
cheek	petop
eye	mikon
intestines	bibik
stomach	bikma
sweat	kramchi
tear	mikchi
lungi	lunggi
friend	ripeng
pride	rasong
nest	bitip
sand	an·cheng
desert	agisi
morning	pring
hard clay	ha·kengkrak
exchange	bodol
time	somoi
location	ha·dam
place	ha·dok
sky	silga
moon	jajong
mountain	ha·bri
pond	chidek
everyone	darang
kinsman	chatchi
family	poribar
life	jibon
man	me·a
bear	makbil
rabbit	mateka
woman	me·tra
man	me·asa
woman	me·chik
test	porikka
dative case	skang
dative case	king-king
genitive case -ni	gimin
razor	mrit
lip	ku·chil
someone else	akgipin
place	biap
dog	achak
front	ka·bak
heart	ka·rongti
lung	ka·sop
blood	han·chi
needle	rengsi
cloth	ba·ra
teach	sininga
property	nokjam
tree	bolpang
horn	grong
snout	gingtong
egg	do·chi
spiderweb	guangsring
hang	sringa
tie	katoma
sieve	gin·chira
achak	-gipa
wrist	jakgitok
genitive	mikta
genitive	ja·samo
genitive -ni	a·samo
headman	skotong
completely	-srang-
round	-tom-
long	-ro·-
bring along	-bit-
up	-do-
move	-jit-
enter	-nap-
along	-pak-
break apart	-drak-
together	-grim-
tightly	-jret-
completely	-kam-
bent over	-gok-
lengthwise	-gro-
look upon	-nik-
good	-to-
-oni	dipat
