and	y
of	de
in	te
data	dat
or	o
the	i
on	sun
hand	man
mandate	mandat
port	port
act	at
year	an
ministry	minister
a l	al
at	ai
family	familia
well	ben
behind	do
dose	rata
chamber	camera
seven	set
under	sot
kestrel	falcon
put	meter
the	l
a	n
parent	genitor
farmyard	aa
one	un
text	test
of the	dl
from the	dal
not	ne
an	na
his	si
hither	ca
in the	ti
than	co
one	se
the	la
who	chi
from	da
life	vita
proceed	passer
for	per
this	chest
sleep	dormir
employee	dependent
depart	partir
live	viver
Friday	vender
able	bon
nature	natura
matter	materia
election	vela
in front of	dan
of the	di
every	uni
least	minim
subsection	coma
third	terzo
vote	liter
programme	program
determine	determiner
that	che
aim	fin
at	ala
date	data
flag	bandiera
the	les
religion	cult
ass	cul
more	plu
one	una
lawyer	avocat
no	nia
residue	rest
the	l'
airport	aeroport
carry	porter
meeting	reunion
glory	gloria
brief	curt
lose	perder
work	opera
craving	gola
five	cinch
death	mort
first	prim
white	blanch
four	cater
arduous	grief
value	valor
from	dai
person	persona
foreign	ester
hour	ora
honey	mil
go	jì
wood	bosch
fund	fond
month	mens
this	chésto
large	gran
form	forma
science	scienza
material	materiel
energy	energia
penalty	pena
yield	rater
base	basa
economy	economia
May	mé
oneself	sé
how	coche
environment	ambient
race	raza
autonomous	autonom
university	università
is	ie
unity	unità
force	forza
do	fé
grace	grazia
lose	perde
law	lege
culture	cultura
twenty	vint
an	n'
state	stat
in	a
in	tl
November	november
Ladin	ladin
dog	cian
unite	unir
order	orden
against	contra
mother	oma
die	morir
year	ann
certain	cert
parliament	parlament
eight	ot
yes	sci
hey	hoi
high	aut
third	terz
all	duc
give	dé
ghost	fantom
word	parola
thirty	trenta
break	romper
founded	funded
academy	academia
at the	ales
universal	universel
fast	snel
care	cura
two	doi
attribute	atribuir
all	dut
bear	lors
management	gestion
mean	destiner
humanity	umanità
some	nen
holiday	festa
net	rei
limit	limiter
error	fal
girl	muta
week	ena
mountain	mont
appeal	apel
limit	lim
landslide	roa
dut	duta
name	inom
water	aga
legitimate	legitim
holiday	feria
from the	dales
boy	mut
deer	cerf
three	trei
remain	rester
cow	vacia
send	mander
sacred	sant
goal	mira
cream	brama
case	cassa
test	proa
light	lum
blackbird	merlo
entity	ent
accusation	acusa
drive	avisé
dance	balé
loyal	leal
home	cesa
discipline	disciplina
tomorrow	doman
goods	bens
submit	someter
limiting	limitan
sorrow	peina
measure	mesura
regulated	regulé
spiritual	spirituel
authorize	autoriser
fashion	moda
crëta	creta
art	ert
not	no
autonomy	autonomia
paternity	paternità
sixty	sessanta
category	categoria
loyalty	fedeltà
manner	maniera
maternity	maternità
firm	azienda
assembly	assemblea
noise	fuera
property	proprietà
have to	dovei
justice	giustizia
press	stampa
natural	naturel
customs	dogana
authority	autorità
guarantee	garanzia
down	ju
council	jonta
with	cun
take	mener
group	grupa
degree	degré
cost	coster
