dog	koira
bone	luu
sea	meri
ice	jää
permission	lupa
cupboard	kaappi
day	päivä
star	tähti
moon	kuu
ship	laiva
son	poika
father	isä
five	viisi
hundred	sata
earth	maa
boat	vene
bread	leipä
winter	talvi
cow	lehmä
have to	pitää
time	aika
water	vesi
come	tulla
drive	ajaa
give	antaa
hear	kuulla
way	tee
iron	rauta
rooster	kukko
bay	lahti
new	uusi
voice	ääni
put	panna
uncle	ono
fly	lentää
go	lähteä
go	mennä
bite	purra
leg	jalka
wedding gift	lahja
bird	lintu
snow	lumi
fish	kala
crooked	väärä
healthy	terve
mouth	suu
tree	puu
air	ilma
song	laulu
sing	laulaa
island	saari
blood	veri
eye	silmä
nose	nenä
name	nimi
wolf	susi
east	itä
mother	emä
cloud	pilvi
pig	sika
fire	tuli
southwest	etelä
night	öö
aa	a
miracle	ime
body	iho
fox	repo
egg	muna
hawk	haukka
summer	suvi
work	töö
death	surma
live	elää
life	elo
root	juuri
duck	sorsa
honey	mesi
bridge	silta
head	pää
god	jumala
owl	kaakko
west	länsi
female dog	peni
miracle	kumma
singer	laulaja
edge	ääri
suck	imeä
world	maailma
marsh	soo
house	koto
help	api
acorn	doro
rain	sataa
crazy	hullu
urine	kusi
heel	kanta
hedgehog	siili
louse	täi
old	vana
garden	aita
meat	liha
begin	alkaa
red	puna
blue	sini
cramp	kramppi
bay	salmi
animal	eläin
well	kaivo
woman	nain
birch	koivu
hole	aukko
ditch	kanava
anger	viha
bear	karu
board	lauta
leaf	lehti
alder	leppä
clay	savi
line	piiri
leaf	lehto
window	akkuna
warm	lämmittää
feather	sulka
mouse	iiri
pasture	karja
onion	sipuli
smith	seppä
beg	kerätä
Happy New Year	yvää uutta vootta
send	saattaa
help	avittaa
whorl	mäntä
knock	koputtaa
wet	kassaa
ploughshare	terä
get	saata
sap	mahla
young tree	taimi
bead	elmi
black	mussa
frog	konna
shed	lautta
kettle	kattila
aspen	aapa
hearth	arina
human	inehmiin
first	esimein
snake	gaada
tooth	ammaz
die	koolla
horse	opo
brush	arja
rain	sato
chest	kirstu
word	sõna
Baltic herring	haili
brother	velli
beggar	kerääjä
blue	sinin
stove	ahjo
swim	ujua
crab	krapu
stepmother	emintimä
widow	lehtši
airplane	lentüz
Saturday	laukopäivä
voice	ääli
father	ätä
bull	ärtšä
sister	sõzar
friend	sõbra
garment	sõpa
love	suvaamiin
breakfast	suuru
barley	suurima
relative	sukulain
gut	sooli
soldier	soldatti
mushroom	siini
seed	seemee
gun	püssü
knee	põlvi
horse	opõnõ
building	oonõ
briarberry	orjamarja
youth	nooruz
sword	mõõkka
seal	ülle
sour cream	üle
wild animal	zveeri
dugout	zemľänka
yeanling	võdna
door	uhsi
corn	tähtši
permanent	stoikoi
permanent	postojannoi
rain	vihma
chimney	truba
hand	tšäsi
daughter	tütär
heart	süä
I	miä
inhabitant	eläjä
young	noori
plow	adra
pike	autši
perch	ahvakko
thing	aźźa
raspberry	baabukaz
grandmother	baabuška
barrel	botška
pond	bruuda
doctor	dohtari
hay	einä
soul	entši
Monday	esimespäivä
lady	frovva
dove	guľu
weasel	harjokka
devil	hoonopooli
Ingrian	inkerilain
age	itšä
stepfather	izintimä
ski	jalgaz
lake	jarvi
flour	javo
