and	i
mum	mama
but	bet
with	ar
I	es
thou	tu
grandmother	baba
or	voi
cave	ola
boat	laiva
goat	koza
alias	aba
we	mes
mouth	mute
carry	nest
good	loba
drop	lase
poet	poets
so	tai
flood	poli
person	persona
tomorrow	reit
year	gods
ten	desmit
hair	mots
rare	rats
old	vaca
but	a
rabbit	truss
handful	sauve
message	zine
white	bolts
ice	lads
well	labi
river	upe
where	kur
two	div
land	zeme
yes	nui
ore	ruda
fish	zivs
money	nauda
house	noms
almost	kuoni
day	dina
wide	plots
swim	maut
floor	pods
air	gaiss
someone	kaids
stump	calms
humour	humors
shoot	saut
Alexander	Aleksandra
edge	mola
they	jī
good	lobs
drink	dzert
Jesus	Jezus
death	nuove
leaf	lopa
storm	auka
meat	gaļa
bone	kauls
night	nakts
three	treis
nine	deveni
letter	liters
sun	saule
table	golds
he	jis
one	vīns
low	zams
heart	sirds
broiler	broilers
fingernail	nogs
forest	mežs
four	četri
coarse	rups
tip	gols
die	miert
copper	vars
honey	mads
friend	draugs
they	juos
old	vacs
Iran	Irans
sweet	soldons
flax	lyns
swing	airis
war	kars
spruce	egle
that	viņš
duck	peile
acorn	zeile
she	jei
boy	puika
slowly	lieni
guest	gosts
beer	ols
sleep	gulēt
flint	kroms
seven	septeni
redzīņs	vīdūklis
Russia	Krīveja
window	lūgs
insect	kustūneits
Riga	Reiga
Lithuania	Lītova
Monaco	Monaks
light	spaits
father	tāvs
human	cylvāks
rainbow	dzeļvērte
dog	suņs
bench	beņčs
fire	guņs
cheese	sīrs
potato	buļbe
kiss	bučīņs
water	iudiņs
cat	kačs
finger	piersts
nearby	tivi
that	viņa
those	viņi
those	viņas
how	cik
time	laiks
daughter	meita
roof	jumts
eye	acs
road	ceļš
new	jauns
rock	radze
nest	nasts
mean	zeimuot
know	zynuot
opinion	redzīņs
parent	dzymdynuotuojs
grandson	unuks
granddaughter	unuce
new	jauna
skin	uoda
birchbark	tuoss
yellow	dzaltons
yellow	dzaltona
very	cīši
almost	gondreiž
very	dyžan
weekend	nedeļgols
week	nedeļa
bad	slikts
six	seši
funeral	bēris
sound	skaņa
ant	skudre
old man	vecs
body	mīsa
bark	rīt
hate	neist
mite	ērce
tongue	mēle
dry	sauss
smile	smaids
late	vieli
much	daudz
Latgalian	Latgaļu
nostril	nuoste
right	taisns
head	golva
near	tyvs
rub	treit
flower	zīds
base	pāda
foot	pāds
ye	jius
flute	stabule
wind	viejs
mother	muote
boy	puiss
orthography	ortografeja
aphorism	aforizms
information	informaceja
technology	tehnologeja
coffee	kopejs
football	putbols
hockey	kokejs
color	kruosa
language	volūda
mill	miļti
horse	zyrgs
careful	apdūmeigs
small	mozs
work	dorbs
lamb	jārs
wife	sīva
far	tuols
naked	plyks
different	sovaids
fine	smolks
tree	kūks
berry	ūga
hawk	vonogs
ash tree	ūss
linden	līpa
dad	tēte
piece	gobols
second	ūtrs
soldier	saldats
nobody	nikas
house	ustoba
eel	zuts
pigeon	bolūds
hedgehog	ezs
bear	luocs
peg	vadzs
badger	uops
swan	guļbs
mole	kurms
son	dāls
brother	bruoļs
life	dzeive
hare	začs
stone	akmiņs
sauna	pierts
cow	gūvs
neighbour	sābrys
only	viņ
weak	vuoreigs
perhaps	varbyut
slow	lāns
difficult	gryuts
difficultly	gryuši
badly	slikši
short	eiss
briefly	eiši
differently	sovaiži
soon	dreizs
soon	dreiži
late	vāls
justly	taišni
worse	slikšuok
sooner	dreižuok
later	vieļuok
better	lobuok
finely	smalki
finelier	smolkuok
be	byut
first	pyrmais
two	diveji
five	pīci
eight	ostoni
third	trešs
fourth	catūrts
fifth	pīkts
sixth	sasts
seventh	septeits
eighth	ostoits
ninth	deveits
tenth	dasmyts
at least	vysmoz
political party	parteja
radio	radeja
home page	sātyslopa
willow	korklys
alder	eļksnis
middle	vyds
naughty	šeļma
gold	zalts
child	bārns
childling	bierneņš
row	rynda
quilt	kouldre
pig	cyuka
lift	ceļt
go	īt
sister	muosa
sis	muoseņa
daughterling	meiteņa
sonling	dieleņš
girl	meitine
little girl	meitineite
little boy	puiseits
bride	mārga
mummy	mameņa
daddy	tieteits
grandmother	vace
grandfather	dzeds
grandfather	vaciks
grandma	babeņa
grandpa	dzedeņs
grandma	vaceite
wife	buoba
husband	veirs
husband	dāds
wifey	buobeņa
hubby	veireņš
wifey	sīveņa
hubby	dādeņš
aunt	cjoce
uncle	dzjadze
auntie	cjoceite
uncley	dzjadzeits
female	draudzine
friendling	draudzeņš
guest	vīss
village	cīms
groom	jaunikis
co-mother-in-law	svuoča
co-father-in-law	svuots
daughter-in-law	vadakla
