spider	kawa
party	among
sand	legen
rope	tali
tree	kayu
salt	asin
pencil	lapis
five	lima
ginger	laya
male	laki
fruit	bunga
nine	siyam
land	pita
sap	lota
father	ama
peanut	mali
paddle	gaud
town	ili
dog	asu
thorn	lasi
hand	ima
night	labi
cooked	isla
eye	ata
umbrella	payong
ear	inga
child	alak
hen	upa
sugar	inti
parrot	kasi
lightning	kilat
sky	langit
fish	papan
tomorrow	bigat
skirt	kain
leaf	tubu
mother	ila
brook	wain
python	tabbed
venom	gita
ring	singsing
betel	buwa
fare	puliti
puppy	ukon
sideburns	saggi
cheek	aping
sweat	lingot
water	alinta
finger	gammat
branch	panga
cage	buki
thread	kapos
cotton	kapas
chin	sangi
letter	gili
animal	ayam
bee	alig
y	ɏ
bedbug	kitob
twig	luting
debt	utang
cat	kusa
cliff	angit
waist	awak
cheap	lalaka
duster	pupulas
pillar	aliki
scale	sipsip
trap	bitu
needle	talud
crocodile	buwaya
pen	gipan
tribe	gagat
grave	lobon
centavo	siping
custom	ugali
brain	utok
well	bubun
broom	saged
cicada	yayas
money	pilak
branch	pasong
mosquito	ilok
axe	wasay
year	tawon
shark	iyu
bamboo	kawayan
flower	sabong
water	chelum
diaper	lampin
cough	bukos
tooth	ngipon
wing	payak
car	talak
feces	attay
string	lubid
bird	sissiwit
frog	tukak
hour	ulas
wild	ut-ut
orphan	ulila
dove	kalapati
navel	pusog
liver	ogtoy
urine	isbu
mouth	tupok
saliva	angiw
duck	kamit
chicken	malok
big	paliki
hornbill	kangaw
kingfisher	sayaksak
crow	gayang
cockroach	langgangan
butterfly	kullapoy
beak	tukkay
grasshopper	sintok
tick	apngot
termite	lakoy
flea	tilang
sun	ilit
land	matok
fish	lamos
fin	ipay
mudfish	palispis
crab	agoma
worm	tuwing
chicken	alikammot
praying mantis	iwed
deer	ugsa
monkey	kaeg
horn	sakgud
moss	bagiw
mud	pitok
dust	tapok
iron	kaga
mountain	bilig
flood	litap
wave	tuppiyak
cave	gongeb
stone	betu
day	egew
rainbow	tileg
shadow	alliliwan
beard	iming
corn	gakaw
jackfruit	sagakat
alcoholic	beyyas
guava	geyait
pillow	pungan
cousin	kapingsan
nephew	amulakon
child-in-law	malugang
parent-in-law	kaatummang
person	tagu
chick	isiw
dragonfly	belliling
tadpole	bayyok
Manila hemp	buwi
stem	guktang
star	bituwon
cloud	libuu
friend	geyyom
slave	musassu
gift	atod
law	lintog
airplane	loplalu
book	liblu
prey	alupan
coconut oil	lalog
coconut	iyug
mortar	lusong
chair	tugew
plane	katam
shoe	kapatos
hat	betukung
earring	lubey
comb	sagaysay
sweet potato	katila
papaya	apaya
bread	tilapay
medicine	lugem
bait	pangati
alligator	silay
bathroom	oomsan
piglet	iyas
hammer	mantinyu
window	tagibyang
door	olob
doorway	sawang
clothes	silup
root	lamot
wind	bidbid
fog	mambubulot
whirlwind	alipuspus
rainy	agilid
spring	uud
plain	talap
jungle	gilubyat
fishnet	saguy
bicycle	bisiklita
business	amosanti
loss	abyak
expensive	langila
price	ngila
interest	paalak
rent	abyang
peace	lin-awa
magic	alisigon
dance	sagli
christening	bunyeg
flower	sabung
Monday	Lulis
Friday	Kalima
Thursday	Kapat
Wednesday	Katlu
Tuesday	Kadwa
January	Kiyang
February	Malaba
June	Kitkiti
August	Bisbis
December	Kililing
November	Upok
day after tomorrow	kabigatla
morning	bigbigat
dawn	wiswisngit
flute	tilupok
ethnic group	gimpong
spirit	pusik
taboo	ngililon
grenade	sanggalilit
field	payaw
flatiron	pulinsa
rag	gitoy
panties	agibey
tape measure	iisong
saucer	kisling
ant	igom
