where	on
nude	nu
apse	absis
flush	color
ca en	can
fourth	quarter
EC	CE
stuffed	fart
mandate	mandat
be	estar
must	most
war	guerra
global	mundial
companion	company
Andorra-Serra d'Arcs	Andorra
enumeration	Iran
colonist	colon
wine	vi
love	amar
absurdity	absurd
plentiful	abundant
USSR	URSS
generate	generar
create	crear
give	dar
tiger	tigre
chaste	cast
breast	pit
gold	or
the	el
prize	for
cliff	fall
abandon	abandonar
tone	to
normal	regular
bunch	pom
millet	mill
garlic	all
elk	ant
year	any
plot	argument
fishing net	art
feature	accident
relative	parent
inhabitable	habitable
usual	habitual
previous	anterior
so	tan
bronze medal	bronze
there	hi
guàrdia civil	civil
sauce	salsa
elm	om
coast	marina
a el	al
of the	del
ouch	ai
rather	ans
joy	alegria
saint	beat
baa	bel
broadsword	bran
you	us
grenade	granada
silver	plata
stupid	burro
hunger	talent
twisting	torta
day	dia
map	mapa
student desk	pupitre
rat	rata
draw	empat
united	unit
mom	mama
span	pam
lead	pin
vowel	vocal
displeasure	disgust
word	paraula
fixed	fit
channel	canal
driving	conductor
funerary	funeral
interior	interior
foreign	exterior
nexus	central
beautiful	bell
thistle	card
single	simple
rank	rang
ran de	ran
increase	increment
carpus	carp
blood	sang
bunting	sit
lathe	torn
hollow	sot
dance	ball
basis	base
check	control
veil	vel
mackerel	verat
vermouth	vermut
bowl	bol
whistle	tit
bouquet	ram
night	nit
you	et
cut	tall
jump	salt
lighthouse	far
scupper	dull
sheet	full
salt	sal
thread	fil
shaman	xaman
rise	augment
E	e
sorry	mana
Ϻ	san
good	bo
mother	mare
bye	dew
out of	exhaust
man	home
fart	pet
satisfied	content
pronunciation	pronunciació
Orient	orient
frank	franc
calm	quiet
Spanish	espanyol
Catalan	català
Hun	hun
previous	precedent
pomp	fast
role	paper
dictionary	diccionari
army	host
without	sense
fishhook	ham
cedilla	ç
three	tres
an	un
four	quatre
eleven	onze
fifteen	quinze
hit	cop
belch	rot
compact disc	CD
trough	obi
word	mot
tree	arbre
flower	flor
music	música
buck	boc
Γ	gamma
cone	con
Δ	delta
Ζ	zeta
Ϝ	digamma
native	natural
Η	eta
Θ	theta
heap	munt
mere	mer
bent	tort
Κ	kappa
bicycle	bicicleta
bike	bici
fishing	pesca
Λ	lambda
sulfide	sulfur
faith	fe
me	em
