kill	meme
water	sii
green	nese
acorn	yuu
give	sume
mewékma	Muwekma
San Francisco	Ramaytush
night	múr
sage	miriyan
wild onion	'uuner
gift	shuumi
good day	HorSe Tuuxi
Mount Diablo	tuuštak
one	hemetca
two	uṯhin
three	kaphan
four	uṯit
five	parwes
man	ṯaares
woman	mukurma
dog	hutcekniš
sun	hismen
moon	ṯar
food	mak’-amham
main	ruwwa
vision	mak-huššištak
bay laurel	sokoote
first	himmen
second	'uṭṭin
drink	'uwetton
spring	huyyi tiwši warép
contact	makiš kiiy
blog	nonwentemak
catering	wattimak 'ammamak
what	hinṭo
Berkeley	xučyun
eat	'ammamak 'oyyo
miner's lettuce	rooreh
today	ne ṭuuxi
thank you	'alšip-mak
quail egg	‘attuš-heksen
venison	ṭoot
acorn soup	paamu
drink	owahto
San Francisco	Yelamu
eat	ahmush
sing	harwec
dance	irshah
see	atemhimah
run	othemhimah
leader	máyyin
Chochenyo	Čočenyo
family	suyyakma
children	šiiniinikma
future	huššištak
speak	nonwente
listen	taahe
people	huchiun
wife	háw̄a
captain	wétnés
wife	máj̄an
white people	sultáwus
brother	ták̄a
brother	táusíkís
earring	ponkói
cease	júwa
yes	hé̄'e
no	'ák̄we
Earth	táw̄a wánep
hot	táw̄a
cold	káw̄i'
white	lóskowis
large	wét̄el
small	kutsú̆̄wis
long	tsī́qau
give	hánaikis
here	nóm̄oknó̄ti
scream	'iuqí
sang	sá̄weknek
coming	ká̄nak 'íwqisin
tail	tú̄pui
belly	hút̄u
deer	já̄wi
flea	pó̄r
louse	ká̄i
shit	'ínok
devil	'uténmak
dead	sé̄lila
south	ká̄kun
north	'áw̄as
far	wat̄inik
San Francisco	rám̄ai
east	nómmo
forehead	tím̄aq
hurt	kiská̄yi
leg	tú̄mis
foot	konó
tire	'ekjó̄qestek
heart	mí̄nji
duck	sá̄kani
quail	heksén
path	'ín̄u'
stone	'inék'
house	núw̄ai'
star	'ósé
moon	kónmei
sun	hísmén
fog	sí̄tis
Earth	wárép
creek	núm̄ei'
sea	'ómú'
ash	júki'
day	tú̄hi
tomorrow	hús̄is
wind	túj̄e
back	núm̄es
bone	tájí
lard	saw̄én
father	ká̄nak'ap̄a
mother	ká̄na 'ek'án̄an
brother	ká̄nak tausík̄is
uncle	'et̄e
aunt	'ansik
grandmother	ká̄na 'ek mél̄e
grandfather	ká̄na 'ek pá̄pa
nephew	méses
young lady	'atsiákis
young man	kót̄so
baby	'át̄ús
son	kāna 'ek'in̄is
daughter	ká̄nakkānaim'in
mother-in-law	'úqi
father-in-law	menék
Muwekma	muwékma
old man	húntáts
old woman	kétnéts
grandchild	tsót̄so
man	tá̄ris
Northern Ohlone	ló̄le
redwood	mak-summenikma
grateful	makkin ‘irrite ‘alšip
