lift	và
chop	gì
horse	mó
bed	ka
be able	kuh
grab	maku
wife	mî
read	lǜ
grasp	mà
we	â
stretch	chā
ask	duò
hear	gè
going to	hāi
enough	luò
bamboo	mā
grave	mō
thou	nuò
good	nā
recite	pì
wipe	sà
kill	sè
count	sā
tight	tà
downward	mì-
blood	să
soldier	mă
give	kō
this	tô
silver	ngô
go away	xè
liquor	vù
leave	mbà
three	sô
dust	lǟ
not	mâ
yak	bbû
water	ndʐɿ⁵³
this	tâ
worthy	tò
go away	xà
raise	shìh
ride	tsà
run	phò
steamer	pŭnyĭ
white	phûlŭ
listen	bĕhnî
tail	mä̆kŭ
deliver	pbĭh
wipe	wăwâ
fly	fàxă
month	thî
big	dàdzhĕh
black	nàkhà
tongue	yĭlhâ
hand	lä̆qä̆
slaughter	tbĭh
wild	dbù
salt	tsìh
man	tshuò
four	zìh
nail	cĭhkû
dog	chìh
paper	dzhīhgyî
grass	zhû
together	kyǚmû
sleep	khyìyǚ
belly	gyǘ
sun	nyîmî
rope	zhîhkä̑
below	khèr
very	gâmû
child	zêhxnû
place	loqo
star	qhôtsô
put on	lŏghĭ
ten	xruò
egg	ä̑hrô
that	hă
eight	hnì
mum	âmî
Tibetan	Phshĭh
spit	mphì
cut	mphsìh
see	ndò
bite	nthă
eat	ândbù
shout	ndzhû
tired	nchèh
reject	ngyü̑
believe	nggĭ
thread	nkhî
drop	nghò
steal	nqhvìh
kill	nxrŏ
yak	bbûmû
white	phûdzhâ
group	phî
wife	mbér
help	bûmŭ
knife	bûdzhà
leave	bĭ
full	bĕr
spit	mphà
thin	ăbì
chop	ndà
stupid	lăbèr
gold	lhâ
tight	nâ
slaughter	tbû
tell	dbŭ
menhir	ndbù
poke	nthà
light	tshà
capable	dzà
leopard	ză
pearl	bŭtsîhtsîh
earthworm	bŭzîhzîh
sign	ntshà
afraid	cìh
put	dzhìh
language	shâ
grain	zhâ
think	shîhdzhĭh
water	ndzhìh
rice	nchìh
one	kyî
he	khyî
be	gyĭ
return	lî
moon	lhĭmî
good	nànămŭ
mirror	phêrmî
shadow	dàr
television	phêrmîdàrlûh
sit	ndzò
fly	fŭ
airplane	tshuòndzòfŭsûlûh
skin	ĕrkû
road	ĕrgŭ
fear	kvìh
receive	khvìh
secret	khâlâ
ditch	qhâla
collect	gî
wear	ghĭ
basket	qhâlûh
donkey	ngămû
good	ngă
fall	nggă
we	âxrô
grandpa	âhrô
cat	xrălàyâ
open up	luóxă
who	fû
bear	vû
Chinese	Wà
cause	shĭh
afraid	kŏhnî
want	hnŭ
basket	khâyî
find	shû
say	shuô
gold	lhâbä̑
eat	dzìh
intestine	vŭ
rein	môngò
skill	mólò
man	mólô
heart	nyĭmî
he	khyô
lead	shîhshĭh
fight	sihsĭh
official	sihpì
pursue	kyǘnyĭ
Sichuan	Shímîyâ
child	zîh
Tibet	Lhâsâ
Namuyi	Nàmŭzĭh
fame	mînthù
Mongolian	Găhnî
sense	shă
shaman	phâtsìh
plural	-xrô
adverb	-mŭ
say	ngvìh
I	ngâ
pear	sĕndzà
because	âgyîsâ
tasty	mèr
arrive	dä̀
look	lùh
every	hûndzhû
firewood	sĕh
carry	lä̆
girl	zĕhmî
old	âmèr
calico	măxrô
pocket	dzhìhqă
dad	âdà
house	yǘ
tiger	lä̀
wood	sēr
look for	shŭ
old	vŭdzhì
own	yîbì
ye	nuôxrô
land	lúmbâ
slow	azā
do	mŭ
buy	hǟ
going to	mwĭ
character	ndzhĭhgyî
read	lǜe
peel	mpsīh
immediately	yâqhûmu
want	qă
hither	dzhŭ
be	ndză
door	qŭbŭ
on	vûdà
fall	mĭnggă
eat up	dzìhmĭnggă
devour	ntshuò
home	yòqhŏ
what	fûyî
have	gyĭgĭ
toad	pămî
return	lîghî
child	ĕrzîh
finish	pĭtsă
burn	chîh
spit	mphìpù
rabbit	thuôlî
carry	pä̆
upward	luó-
take	luópä̆
light	luóchìh
evening	hnô
leather	ĕrquô
calf	sĭhbŭsĭh
blister	ndzhĭhbâ
grow	dzhèh
take	mìpä̆
grandma	ânà
chicken	ä̑
we	ngâxrô
hill	ä̑luò
send	nkhè
wait	kŭ
forward	khyi-
my	ngânyî
back	dzhŭla
wether	lînyu
evening	hnîqho
bag	shŭshû
find	shûa
uncle	âvûshû
bamboo	māqû
dustpan	bûnchîh
be	dzhuò
plum	sĭlûh
table	shâphî
near	pădä̆
together	kyiyǚmû
away	xă
cut	ntshè
fall	khôpà
away	-xă
run away	phòxà
towards	-dä̀
run	phòdä̀
take away	pä̆xä̑
bring	pä̆dä̑
take	luópä̆xä̑
take out	mìpä̆dä̑
take	khyipä̆hä̑
towards	-dzhŭ
bring	khyipä̆dzhŭa
stick out	mîchādzhŭ
jump	pă
inside	qolô
floor	tòqô
climb	gä̑
climb up	luógä̑
fly out	luófù
crow	làqŏ
tree	sĕhpŭpû
caw	mĕr
shirt	bătsîh
here	tôqhô
mouth	qhŏtshà
not	shŭmaya
find	dzè
negate	-maya
not	dzìhmaya
drink	mĭndzhâ
break	qhǟnggà
father	àdămŭ
they	khyòxrŏ
approach	khyîdzhŭ
tickle	hrălî
tease	tsĭh
die	shìhkŏ
write	zhĭzhî
kill	sìh
or	yă
pronouns	-nyî
your	nuònyî
dative	-dâ
help	hró
father	àdă
bowl	qhă
leopard	zăphà
last night	yûhnû
locative	-qhô
slope	qhâghŏ
be able	yĭnggă
should	nghă
may	kä̑pă
still	sĭh
dzìh	mâ-
possible	nă
city	nyîbî
that	qô
mountain	gä̆ku
amuse	hrăzhîh
Sunday	hrăzhîh kyinyi
student	pîzeh
village	fŭqâ
work	mvĭh
flower	mîkhyò
who	qhâtô
all	hră
stone	làqă
instrumental	-nyĭ
assemble	lundbù
clip	pâdzhà
money	bădzhâ
beautiful	tsĕ
teacher	sîhpû
toilet	ndzhŭdzhû
where	qhâtsŏ
tree	sîh
hole	qòtŭ
well	ndzhòqŏ
friend	yǘqhô
thing	qădzîh
inside	lŏqŏ
there	hâtò
red	luòxŏ
yesterday	zhìnyĭ
spend	zùh
in the past	yîntâ
