father-in-law	вата
child	жаба
water	ведь
advice	нов
wax	шта
that	што
penis	папа
honey	медь
tendon	сан
wife	ни
fish	кал
father	тетя
ear	пиле
snow	лов
dictionary	валкс
word	вал
health	шумбрачи
coin	ярмак
ruble	целковой
white	ашо
boat	венч
pig	туво
black	раужо
copper	пиже
color	тюс
roach	сэрьге
red	якстере
Erzya	эрзя
cat	псака
dog	пине
stallion	айгор
mare	эльде
foal	парнэ
foal	вашо
liver	максо
first person	мон
you	тон
he	сон
they	сынь
you	тынь
we	минь
milk	потявтомс
ice	эй
dog	киска
bile	сэпе
egg	ал
egg white	ал ашо
paper	конёв
horse	лишме
cow	скал
oil	ой
weed	нар
pond	ёл
elder brother	леля
fire	тол
three	колмо
heart	седей
bar	игла
ball	шок
hovel	кош
winter	теле
five	вете
name	лем
way	ки
woman	ава
васень	вейке
two	кавто
four	ниле
husband	мирде
child	эйкакш
pattern	арт
town	ош
sure	нама
soup	ям
vagina	пад
soil	мода
Estonia	Эстэнь Мастор
kvass	поза
tub	очко
bachelor	бала
new	од
elephant	пил
great	ине
log	чочко
harrow	иза
shoe	кота
tooth	пей
silver	сия
plant	касыкс
six	кото
seven	сисем
eight	кавксо
nine	вейксэ
ten	кемень
squirrel	ур
law	кой
enemy	ят
eye	сельме
head	пе
yellow	ожо
blue	сэнь
brown	тюжа
plot	ума
language	кель
air	кошт
ball	оска
night	ве
face	чама
head	пря
boot	кем
table	тувор
stiffen	чувтомомс
wooden	чувтонь
tree	чувто
rain	пиземе
life	эрямо
stomach	пеке
son	цёра
lizard	метьказ
wolf	верьгиз
bit	пал
spring	тундо
summer	кизэ
autumn	сёксь
club	керша
movie	эрямарт
acid	чапа
bride price	чандо
slave	уре
serf	модаре
psalm	пазморо
gospel	ёнкуля
wall	пиря
program	сёрмыкелькс
electricity	цитерь
sword	торо
quark	топо
whey	топоведь
bicycle	чарыкш
epic	морокерькс
amber	ожня
black grouse	келее
suet	кельмой
sister-in-law	виряш
flint	верьгума
younger daughter-in-law	вежава
blackberry	вединзей
plurale tantum	васоньбеельть
cupped hand	васоньгоморо
siskin	кича
daughter-in-law	урьва
violet	уроске
western capercaillie	сувозей
hazel hen	пуня
adventure	яксема
priest	озатя
partridge	пово
Libra	Курсякст
carpet	кумба
wave	кумбо
water nymph	кумбава
pineapple	пичемарь
muscle	тулго
snake	гуй
sheep	реве
allegory	валвелявкс
Orthodoxy	видьгеме
bun	отраз
pregnant	пекев
silhouette	сулейкс
gold	сырне
bridge	сэдь
fathom	сэль
fibre	сэльге
brush	сэме
acorn	сэря
chaff	сюва
plurale tantum	сельмукшт
snake	ёзнэ
wind	варма
grass	тикше
field	пакся
devil	серькай
goat	сея
clay	сёвонь
deer	сёкань
wing	сёлмо
pond	сёлт
subscription	сёрмацтома
subscribe	сёрмацтомс
sparkle	сятко
again	таго
once again	тагояк
plurale tantum	тазт
sickle	тарваз
mead	арво
mead	пуре
raven	аргумне
film director	аравтыця
ready	анок
net	алтыма
very	алойшть
downhill	аловбандт
horse	алаша
seal	чулга
porcelain	ашука
stomach	пуярмо
book	конёвкс
animal	ракша
yesterday	исень
rib	ирдез
elder	инятя
tale	ёвкс
message	ёвтамо
story	ёвтнема
feeling	ёжо
fox	ривезь
friction	ёзамо
chub	ёзь
direction	ёнкс
quail	ёр
forest	вирь
lightning	ёндол
brave man	ёрниця
skill	ёрок
landmark	ёшка
fool	ёток
childhood	жабаксчи
gluttony	жабарда
gingerbread	жомка
refrain	заводкс
fence	замедь
pinafore	запон
cricket ball	зарка
picket	здынь
pocket	зепе
vagabond	злыдарь
stomach	зобня
birchbark basket	зобуня
plurale tantum	зуйть
singularia tantum	зэме
sound	зэрть
breath	зэхель
miser	игриней
game	идемка
saviour	идиця
year	ие
winner	изниця
front	икелепелькс
threshold	кенкшикелькс
osier	илей
butterfly	нимиляв
honeysuckle	индерь
dragon	инегуй
elder	иненсь
please	инескеть
Easter	Инечи
guest	инже
reproach	инзамо
raspberry	инзей
strickle	инкс
king	инязор
queen	инязорава
sheaf	итевть
closet	кав
dam	каваз
kite	кавал
armpit	кавалалкс
gristle	каворь
brittlegill	каворынза
ground squirrel	кайгарш
male genitalia	дёрть
foreword	валыкелькс
apple	умарь
garden	пире
blood	верь
turf	наргедь
shaving	нарамо
handle	недь
war	тюрема
command	покшолма
angel	пазуре
peace	сэтьме
bullet	кивкснав
soldier	ушман
army	ушмо
document	тевконёв
noun	лемвал
adverb	валвакс
mother-in-law	ававт
mother-in-law	низаня
spring	тунда
spring	тундонь
wagon	улав
wave	аволдамс
swept	аволдавомс
wave	аволдавтомс
wave	аволдакшномс
wave	аволямс
open	автемс
Cinderella	Куловне
Snow White	Ловняське
Little Red Riding Hood	Якстере Кепече
Father Frost	Якшаматя
dwarf	катьляс
Third Reich	Колмоце инязорпазксчи
empire	инязорпазксчи
emperor	инязорпаз
shampoo	пезэмапель
eat	ярсамс
break	янгамс
go	якамс
bear	овто
echo	огай
bride	одирьва
shroud	одра
sleeve	ожа
resurrected	вельмемс
above	вельксэс
younger	веженсь
mink	ведьбача
water caltrop	ведьбеште
drop	ведьбов
mill	ведьгев
fire-bellied toad	ведьбука
spouse	васта
here	вана
rectum	котян
coffee	кохви
tea	цяй
milk	ловсо
cocktail	атякшбуло
voter	кочкиця
desert	чавоко
desert	чавоня
teapot	цяйчакш
pot	чакш
cone	чуля
crime	чумо
onion	чурька
neighbour	шабра
spider	шанжав
Porky Pig	Пурцуз Пукшай
ice cube	эйбал
ice cream	эйвелькс
iceberg	эйбандо
computer	арсемапель
bacteria	явизем
week	тарго
Sunday	таргочи
calendar	ковкерькс
age	пинге
summer	кизна
summer and winter alike	кизэнек-теленек
summer	кизэнь
winter	телень
winter	тельня
autumn	сёксня
autumn	сёксень
ground squirrel	переусь
girth	аель
butter churn	пивтембарь
oar	миле
oarsman	миледиця
slug	целься
mothball	киньгуловтома
sky	менель
meteorite	менельгев
star	теште
planet	чарытеште
author	сёрмадей
clerk	сёрмадыця
letter	сёрма
writing	сёрмадома
letter	сёрманька
note	сёрмыне
iron	кшни
wizard	муниця
mercury	эрексия
friend	ялга
workbox	тевбарго
copulate	паскомс
shirt	панар
bast shoe	карь
sheep	баря
Orthodox Christian	бачка
special	башкань
pantry	белой
Annunciation	Блаушка
top	прякс
earring	пилекс
bread	кши
radish	кшумань
leather belt	кшна
groomsman	уредев
boar	урозей
aftergrass	гавдан
pigsty	гайна
awl	уро
fang	уропей
island	усия
whore	усксевиця
wire	уське
couch grass	уськаз
barn	утом
nape	уця
happiness	уцяска
toothpaste	пейвадема
gum	пейзывель
jaw	пейнурдо
moss	нупонь
liquid	нуртямопель
sadness	нусма
pike	нучко
tench	тутко
European sturgeon	ашкал
crucian carp	курда
burbot	ментюк
ruffe	цапа
nightingale	цёков
honey	поназ
place	тарка
candlestick	тандал
pitchfork	сянго
fork	сянгине
nit	сярко
moose	сярдо
elecampane	сярдай
chive	сятказ
stinger	сялго
axe	узере
marasmus	сырнема
meat	сывель
stuffing	сывть
pus	сый
millet	суро
thimble	сургудо
thread	суре
epaulette	супрят
twilight	сундерькс
echo	сульть
worm	сукс
wild strawberry	кстый
weight	сталмо
sewing	стамо
obstacle	стакачи
airplane	ливтяка
buckwheat	ликша
spring	лисьмапря
dumpling	цёмара
family	кудораське
ice cream	кельмевкске
barbershop	нарамгудо
sauna	шлямгудо
photograph	валдарт
camera	валдартомапель
cologne	кёльнаведь
perfume	качадомка
power	илык
leg	пильге
pastry	сюкоро
nerve	ацерь
neuron	ацерьке
growth	пизэке
headwear	вазь
magazine	ковставкс
toothbrush	пейзэме
eastern wolf	вирьверьгиз
navel	почо
lower	ало
beer	каяш
rooster	атякш
black woodpecker	аржо
woodpecker	шекшата
woodpecker	шекшей
starling	письмар
raven	кренч
barn swallow	цянав
swift	пизьгата
swan	локсей
duck	яксярго
magpie	сезьган
thrush	тырдаз
heron	сенксь
hen	сараз
corncrake	питере
titmouse	пизяз
sparrow	озяз
lark	норовжорч
lark	торкай
oriole	ожопуло
hawk	вадов
quail	кочкодык
eagle	куцькан
crow	варака
cuckoo	куко
owl	корш
eagle-owl	булдыгай
wagtail	скирипкай
bullfinch	тынгай
duck	шенже
yellowhammer	пустачей
lapwing	цибирькай
ball	кире
pants	понкст
delusion	наркоть
eraser	нартнемка
quill	кене
gallop	шанч
hoar	шерже
spleen	шечей
wartycabbage	шкерьге
ukha	штюрьба
snowdrift	шушмо
candle	штатол
currant	шукшторов
birch	килей
bench	эзем
haunted	наркодевемс
haunt	наркодемс
kitchen garden	усад
room	нупаль
postposition	валмельгакс
group	юндо
president	прявт
father-in-law	атявт
elder	атя
ergot	атярозь
hellebore	атятеште
animal	эрейкс
family	юром
fish	каломс
live	эрямс
shield	ваксар
spear	усьве
armor	ваксарчамо
miss	нейдь
mister	чиряз
meeting	промкс
sail	мевть
mast	торсей
doubled	ямся
red	вармазей
clypeus	ваксарке
UN	ВР
city block	курмуш
olive oil	чувтой
land	мастор
fuel	уштомапель
kitchen	паникудо
reason	тувтал
wall	падо
disease	орма
medicine	менге
billet	пенге
zither	кайга
violin	дикамо
doss-house	уцекудо
moustache	муё
beard	сакало
herd	пуро
reindeer	пучо
hand	кедь
nail	кенже
elbow	кенере
elbow	кенерь
sail	мевтямс
swarm	пувоз
buttocks	пукшо
nape	пулакш
A.D.	Крм.
B.C.	Кри.
encyclopedia	содамкундо
die	куломс
limp	култаемс
epileptic	кулсемс
master	азор
Netherlands	Алгамасторт
France	Кранцмастор
bath sponge	шлямзей
swear	варамс
shape	чачо
camel	ишем
beer	олговедь
Tuesday	вастаньчи
pain	тарво
egg yolk	алтюжа
mustard	тюжапря
ruler	Папазей
marrow	удем
tie	содомс
strangle	повамс
feed	андомс
burn	паломс
ring	суркс
house	кудо
rainbow	пиземечирьке
goodbye	вастомазонок
bird	нармунь
duck	шенш
southern	лембеёнксонь
nut	пеште
abduct	саламс
flower	цеця
May	панжиков
twenty	комсь
