belly	big
cache	non
snow	zas
yes	au
jackrabbit	ga
cache	noi
manzanita	nos
cedar	gad
cat	gídí
scar	sig
water	tú
scar	shid
inalienable	jaa
fish	pish
beaver	cha
belt	sis
bead	yoo
scar	sid
inalienable	kaz
inalienable	-bid
hand	bigas
one	dałaá
lizard	naʼishǫ́ʼ
bear	shash
rabbit	gah
deer	bįįh
hurry	daha
buckskin	iban
yáá	yaaʼ
knife	besh
cough	dikos
axe	acha
everything	dawa
snake	tłʼiish
horse	łį́į́ʼ
mountain	dził
duck	naalʼeełí
hat	chʼah
wood	chizh
clay	dleesh
blood	dił
medicine man	diyin
ground	niʼ
also	ałdóʼ
communicating	yałtiʼbeeʼizhi
pleasantness	gozhǫǫ doleeł
strong	nalwod
also	dóʼ
intestine	bichʼįʼ
chew	yiʼaał
white	łigai
black	diłhił
arrow	kʼaaʼ
agave	ikaz
cottonwood	tʼiis
paralyze	diʼil
property	bíniʼ
mother	bąą
jackrabbit	gha
forehead	bitaʼ
two-spirit	ndéʼsdzan
beer	bíí
acorn	chíchʼil
advertisement	chʼini
bad	nchǫʼ
big	nchaa
bitter	nchʼííʼ
grasshopper	naʼchagi
car	nalbiil
dream	nadzeeł
airplane	naʼiniihí
bus	in nayeehí
clear	nłtʼéégo
difficult	nyeeʼ
charcoal	łetʼeesh
brother-in-law	shiyí
coffee	tudiłhiłi
brand	yídiłig
brown	hishtłish
bald eagle	itsáłigai
bear	dzitł ndeʼyú
bird	dlǫ́ʼ
Apache	Dziłtʼaadn
beargrass	bį́
ceremony	gochʼitał
gray	łibaa
bridle	izaʼá
body hair	ighaa
basket	tátsʼaaʼ
beverage	hidląąnhí
riverbank	tubąąyú
afternoon	hayaazhiʼ
backwards	tʼąązhįʼ
artist	eʼiléhí
shaft	tlʼókʼaʼ
antelope	jaadi
change	zhááli
barbed wire	bésh diwozhi
blue	totlʼizh
bubble	táwosh
canyon	hilwozh
coat	ííchoʼ
candle	ikʼahkǫʼí
morning	tʼabįhgo
