father	abba
be	en
milk	can
she	is
that	too
hit	case
take	bee
no	male
popcorn	alo
I	anu
lake	bad
boil	face
cardamom	heel
freckle	baru
ye	sin
last night	bir
nose	san
family	mare
lack	wee
this	ah
our	ni
this	ta
we	ne
vagina	bus
thing	tu
never	way
night	bar
tapeworm	dari
mango juice	mango
my	yi
life	mano
rain	rob
they	ken
port	boor
generation	ado
disturbance	ada
wow	ale
maternal uncle	abu
which	maa
heart	wanna
coffee	bun
pocket	gib
black	data
blister	albo
thou	ko
aunt	anna
condom	kondom
reptile	ali
masculine	y-
cow	saga
I	yo
song	gad
feminine	-o
find	gee
head	amo
reputation	balsa
once upon a time	duma
his	kay
possibility	wale
open	fake
instrumental case	-t
thy	ku
that	woo
woman	barra
nouns	-i
water	lee
transition	tabu
hippopotamus	dul
nation	agat
grill	sola
he	ka
thirst	bakar
this	ama
reg	asi
this	a
God	Rabbi
do	abe
deprecation	ankara
pen	kalam
prayer	salat
that	toh
man	num
thy	isi
Sunday	acad
hill	kooma
bite	aro
tomorrow	beera
assembly	maro
pass	ase
mouth	af
thing	im
other	aki
high	iro
bag	santa
this	tama
bad	uma
universe	baan
solitude	haan
each	kulli
smell	abace
abandon	cabe
gratitude	fatta
she	tet
limp	kos
docility	egel
addition	ossa
thicket	garbo
sixty	lactam
lycanthropy	buta
advise	kas
book	kitab
crater	aru
ewe	ida
scurvy	kino
male	bakal
thine	kum
compounds	mara
knot	magla
coffee	buna
learn	barite
eye	inti
lion	madu
earth	ardi
mother	ina
bull	agur
interdiction	magan
with	lih
removal	kalti
cloth	saro
shrubbery	olu
sometimes	wak
adultery	dina
this	amah
marry	abite
consequence	abre
doum fruit	bata
help	cato
ground squirrel	orris
put	hee
ours	nim
and	kee
climate	hawa
exaggeration	hoba
road	gita
elbowing	tumme
sweet	karamella
af	Qafar af
enveloping	olmo
that	woh
dad	babba
sleep	xin
dry out	kafe
knife	gile
spit	tufo
group	butta
litre	litri
packsaddle	rara
lion	molta
cotton	tuut
year	sanat
bag	olo
rope	akat
ye	isin
thickness	masu
meat	cado
kúta	kuuta
new	ulla
thou	atu
strength	elmo
camel	gaala
be	suge
sacrifice	fida
hopscotch	bussa
half	nussi
this	tah
twig	ilu
paddock	gaso
foot	iba
territory	rasu
skin	arab
calmness	wana
guard	loyna
death	raba
wilderness	barri
caravan	arho
goodbye	salaamata
ear	ayti
adessive case	-l
taste	tamu
scar	xiba
teacher	kabir
outcry	erga
heap	kaca
hand	gaba
kusurá	kusur
south	gabbi
what	maca
ablative case	-k
juvenile	addo
cattle	laa
creation	gino
sharing	kurta
some	wili
grain	daro
sheep	illi
thumb	gili
uxorial	ballu
descendant	raddi
hundred	bool
delegation	irga
left	gura
charter	sharti
commodity	bodo
ten	taban
want	faxe
tumor	axa
day	saaku
good	meqe
tree	caxa
bread	gaqambo
waste	almo
donkey	danan
