dog	כלב
arm	יד
friend	ידיד
country	ארץ
week	שבוע
lentil	עדשה
Israel	ישראל
Sarepta	צרפת
dictionary	מילון
guard	שמר
Hebrew	עברית
peace	שלום
מָגֵן	מגן דוד
Torah	תורה
anointed	משיח
fit	כשר
acceptance	קבלה
covenant	ברית
mohel	מוהל
holy	קדוש
holiness	קדושה
שערות	שערות סבתא
Russian	רוסית
pole	מוט
fork	מזלג
Patah	א
spring	אביב
Greek	יווני
French	צרפתית
blackness	שחור
Turkish	טורקית
Thai	תאילנדית
two	שניים
Spanish	ספרדי
Hungarian	הונגרית
write	כתב
crap	חרא
מִּזְרָח	המזרח התיכון
palindrome	פלינדרום
inchoate	גולם
verb	פועל
angle	זווית
acceleration	תאוצה
accessibility	נגישות
enjoy	נהנה
hire	נשכר
xylophone	קסילופון
נְייַר	נייר עטיפה
newspaper	עיתון
gratitude	תודה
cricket	צרצר
cricket	קריקט
סַרְטַן	סרטן ים
crab	סרטן
סַרְטַן	סרטן הדם
blood	דם
sea	ים
locust	חגב
angel	מלאך
chocolate	שוקולד
coffee	קפה
קָפֶה	קפה נמס
קָפֶה	קפה קפוא
burn	שרף
alchemy	אלכימיה
dwarf	גמד
dwarf	גמדי
midget	ננס
pudgy	גוץ
trumpet	חצוצרה
שָׁעוֹן	שעון מעורר
aurora australis	זוהר הדרום
aurora borealis	זוהר הצפון
aurora	זוהר קוטבי
radiance	זוהר
move	תנועה
lemur	למור
Sunday	יום ראשון
day	יום
Yom Kippur	יום כיפור
dagesh	דגש
nikud	ניקוד
jargon	ז׳רגון
boomerang	בומרנג
spire	צריח
tear	קרע
kneel	כרע
cappuccino	קפוצ׳ינו
badger	גירית
Christian	גלח
table tennis	טניס שולחן
פִּינְג	פינג פונג
tricycle	תלת אופן
healing	מרפא
מַרְפֵּא	מרפא פלא
סַם	סם פלא
drug	סם
leave	עזב
pass	עבר
walk	הלך
Yiddish	אידיש
Yiddish	אידישאי
couscous	כוסכוס
coyote	זאב ערבות
