day	eo
water	uwe
bone	buku
tie	boke
ant	sea
mango	poo
head	baa
heart	bake
person	mia
night	malo
far	marido
wood	kau
cry	tangi
roof	ata
foot	ae
leaf	tawa
skin	kuli
snake	ulo
hear	rango
mother	ina
name	saro
nose	ango
grass	rumpu
gray	uwa
penis	lasu
face	rou
ask for	emani
chin	ade
man	umane
hard	makaa
fly	lale
door	bamba
wrap	tange
forest	koo
navel	puse
swallow	doku
look for	peelo
road	dala
eat	kande
sleep	kole
near	makasu
blind	mawilo
I	i aku
sulfur	walira
sharp	matada
fire	waa
rain	wao
sea	tawo
woman	bawine
house	banua
mountain	gunu
blood	raa
tomorrow	naile
eggplant	palola
coconut	kaluku
work	karajaa
hungry	maara
belly	kompo
cat	mbuta
tail	lenci
monkey	ndoke
pig	bawu
big	maoge
good	malape
warm	masodo
sweet	mameko
new	baau
lip	biwi
neck	boroko
hair	bulua
shoulder	awaa
housepost	arii
drink	sumpu
go	lingka
sit	uncura
grow	tuwu
egg	ontolu
wind	ngalu
fingernail	konuku
long	marate
small	maidi-idi
dry	matuu
urine	le'e
urinate	tole'e
tooth	nginci
knee	toputu
mouse	bokoti
sugarcane	towu
thousand	rewu
river	umala
afternoon	konowia
pillow	polango
comb	suawi
root	kulese
cooked rice	kinande
island	liwuto
needle	sorumba
machete	kapulu
