intervention	may
letter	name
sheep	pez
soul	can
blond	zero
stay	man
district	tax
bride price	next
tree	dar
disappear	red
shoe	sol
or	an
every	her
tiring	west
testicle	gun
opinion	ray
weather	ba
roof	ban
bad	bed
string	ben
prayer	dua
slave	bend
dress	came
material	made
home	mal
share	pay
terror	saw
by	bi
spear	rim
two	du
year	sal
for	bo
short	kin
you	hûn
and	hem
table	mase
this	han
Armenian	file
mouth	dev
spade	mer
we	em
religion	ol
in	li
not	ne
no	na
flour	ar
ditch	co
ox	ga
dog	se
you	tu
out	der
meaning	meal
yoghurt	mast
shout	bang
surgeon	operator
burden	bar
head	ser
good	rind
so	da
worker	pale
money	pare
cow	mange
pair	cot
side	rex
ball	top
time	dem
topic	bare
laugh	ken
happiness	tale
threshing sledge	kam
father	bab
give	dan
pistachio	piste
affirmative	bi-
in	di
pressure	pest
warm	germ
cause	sedem
water	av
iron	asin
justice	dad
flag	ala
hair	por
pure	nab
smoke	dû
snake	mar
share	par
fenced-in	axil
pan	sac
side	pal
daughter	dot
Ş	ş
Turkey	Ç
bottom	bin
carcass	mirar
tea	çay
homepage	malper
descendence	wert
dress	cil
drunk	mest
grey	gewr
brother	birader
brother	bira
grey	bor
alive	sax
glass	cam
notebook	defter
bread	nan
boulder	tat
jump	lot
side	tang
flight	fir
sun	tav
floor	qat
sprout	kat
step	gav
throne	text
that	ku
I	ez
ninety	nod
month	meh
skin	post
hatred	kerb
arm	mil
protection	sitar
sour	tal
flower	gul
Helsinki	Helsinkî
yellow	zer
affliction	bela
winter	zivistan
violet	mor
send	şandin
I	min
paper	perr
invitation	dawet
invitation	daxwazname
Kurdish	kurdî
sell	firotin
country	welat
run	rev
name	nav
sock	gore
flower	gol
so	wer
groats	savar
shit	gû
flour	ard
glass	glas
word	zar
seven	heft
secret	pene
he	ew
this	ev
medicine	tib
short	kurt
Aymara	aymara
spring	bihar
cock	kir
thirty	sî
hand	dest
coach	vagon
Aristotle	Aristoteles
empty	vala
inside	hundur
negative	ne-
whore	qehbe
hundred	sed
sexual intercourse	gan
finger	til
friend	dost
ram	beran
but	lê
sheep	mî
emotion	hest
bomb	bombe
voice	seda
city	bajar
ball	gog
yolk	zerk
pleasure	sefa
solution	hel
Kurmanji	Kurmancî
Kurmanji	kurmancî
Kurmanji	kirdmancî
Kurmanji	kurdmancî
ink	hibir
and	û
eat	xwarin
interest	riba
of	ji
grief	xem
root	kok
human being	mirov
three	sê
cheek	gep
cheek	alek
thanks	spas
good	baş
vineyard	rez
Estonia	Estonya
tool	alat
hoof	sim
mist	mij
autumn	payiz
summer	havîn
coin	sike
horseshoe	nal
blind	kor
work	kar
red	sor
boy	kur
thing	kel
thousand	hezar
ten	deh
one	yek
beautiful	bedew
mother	mak
Sun	roj
meat	goşt
rain	baran
fire	nar
knowledge	ilm
fart	fis
human	merov
cold	sar
familiar	nas
appearance	neder
thorn	pej
color	reng
old	sere
weak	sist
wheel	teker
food	zad
grave	gor
earth	bej
age	temen
mouse	mişk
heart	qelb
moral	sinc
five	pênc
six	şeş
fire	agir
heart	dil
coffee	qehwe
foam	kef
leg	ling
cornflower	kanêje
participant	beşdar
nine	neh
tool	amûr
tool	hacat
International System of Units	Pergala Navneteweyî ya Pîvanê
sister-in-law	diş
thief	diz
chickpea	nok
death	mirin
ear	guh
Kurmanji	kurmancí
balance	terazî
drink	vexwarin
gata	kade
without	bê
doubt	guman
Kurd	kurd
pink	pembe
buffalo	sak
tiger	piling
elbow	aren
place	dews
next to	cem
revenge	oc
maternal	xal
sex	zayend
bathroom	banyo
firebrand	pel
sword	şûr
sword	şimşûr
peshmerga	pêşmerge
now	niha
cave	zang
mill	aş
war	ceng
law	yasa
storm	bager
road	cade
mutually	hev
narrow	teng
woman	jin
pointer	mîl
pocket dictionary	ferhengok
Jew	yahodî
shroud	kefen
father	bav
mountain	در
iron	hesin
like	wisa
candidate	namzet
weed	ade
thought	fikir
Friday	în
barley	ceh
beggar	parsek
sheath	kalan
pantry	maran
grandchild	torin
do	kirin
street	kolan
painful	kovan
trip	sefer
stream	şip
after	pey
vase	vazo
fart	kuş
knee	çok
mother	dê
ambassador	ambasador
balloon	balon
abdest	avdest
praise	pesin
stage	faz
air	hewa
a	-ek
orgasm	orgazm
testosterone	testosteron
like	wek
English	inglîzî
English	inglîz
spring	kanî
star	stêr
German	elmanî
medicine	derman
cure	îlac
man	mêr
Dutch	holendî
peace	aştî
apple	sêv
wall	dîwar
Portuguese	portugalî
drug	tilyak
drug	narkotîk
cherry	gêlaz
white	spî
nature	sirişt
nature	xweza
nature	xwerist
nature	tebîet
Turkish	tirkî
arm	sîleh
north	bakur
east	rojhilat
grandchild	nevî
fruit	mêwe
fruit	fêkî
toilet	daşir
toilet	tiwalet
think	fikirîn
think	hizirîn
think	ramîn
think	pûnijîn
face	rû
who	kî
sleep	xew
curiosity	mereq
interest	balkêşî
interest	faîz
doubt	şik
door	derî
violin	keman
violin	viyolîn
swallow	daqurtandin
swallow	daûrandin
swallow	dabilandin
turtle dove	qumrî
death	merg
death	mewt
joke	yarî
play	şano
play	piyes
hammer	çekûç
book	pirtûk
book	kitêb
brown	çakar
brown	qehweyî
January	rêbendan
April	avrêl
June	pûşber
June	xezîran
Monday	duşem
Thursday	pêncşem
hour	seet
wage	meaş
wage	muçe
know	zanîn
know	nasîn
school	dibistan
school	xwendingeh
school	qutabxane
school	medrese
garlic	sîr
club	yane
lip	lêv
trunk	qurm
praise	pesinandin
root	reh
root	rîş
bark	reyîn
an	-yek
corpse	cenaze
oath	sond
oath	qesem
coach	rahêner
coach	antrenor
coach	rahênan
prophet	resûl
prophet	nebî
prophet	pêxember
cage	rekeh
cage	qefes
profession	pîşe
profession	meslek
profession	mihne
profession	hokar
mathematics	bîrkarî
America	Amerîka
pomegranate	hinar
solution	çare
solution	havil
shampoo	şampo
clandestine	dizîkî
choke	fetisandin
May	gulan
embassy	sefaret
embassy	balyozxane
embassy	ambasad
embassy	konsolosxane
zero	sifir
world	dinya
poison	jehr
bird	firrinde
bird	balinde
sparrow	çivîk
bird	çûçik
bird	teyr
turtledove	tilûr
bird	terewîl
mother	dayik
car	otomobîl
bad	xirab
friend	heval
goose	qaz
testicle	hêlik
mule	ker
beard	rih
beard	rî
floor	tebeq
garden	baxçe
milk	şîr
milk	doşîn
milk	دۆشین
alive	zindî
sexual intercourse	perîn
zayendî	têkiliyên zayendî
apricot	mijmij
apricot	qeysî
apricot	zerdelî
culture	çande
culture	kultûr
tattoo	deq
Mesopotamia	Mezopotamya
colony	kolonî
driver	ajovan
driver	şofêr
explain	vegotin
illegal	neqanûnî
illegal	qedexe
wrath	xezeb
-ful	-dar
ass	qûn
sentence	hevok
then	hingê
old	pîr
smoke	dûkêl
smoke	dûxan
judo	jûdo
mute	kirr
yoke	nîr
old man	pîremêr
competition	pêşbazî
competition	pêşbirk
competition	berêkane
competition	hevrikî
competition	hawirkan
competition	riberiz
competition	sîbaq
competition	reqabet
candidate	berbijar
candidate	kandîdat
minister	wezîr
minister	şalyar
ladybug	xalxalok
mule	hêstir
cauterize	kewandin
table	mêze
Zazaki	zazakî
before	berî
newspaper	rojname
newspaper	nûçename
electricity	kareba
oven	ocax
oven	tebax
good day	rojbaş
immortal	nemir
immortal	herheyî
volcano	volkan
yolk	zerik
locomotive	lokomotîv
complaint	gazin
complaint	gilî
complaint	şikayet
python	pîton
unfounded	bêbingeh
company	şirket
orange	pirteqal
language	ziman
send	hinartin
law	qanûn
law	zagon
justice	edalet
color	boyax
shoe	pêlav
cruel	zalim
cruel	bêrehm
partridge	kew
partridge	nêrekew
partridge	çêlekew
owl	kund
cuckoo	pepûk
stone	kevir
stone	kuç
key	kilîl
key	kilîd
key	mift
key	enextar
peach	xox
peach	şeftalî
pear	hirmî
pear	karçîn
fast	rojî
fast	lezgîn
help	hewar
arrow	tîr
belt	kemer
belt	qayiş
waist	navteng
waist	newq
flood	lehî
skin	çerm
girl	keç
forehead	enî
surgeon	cerah
seed	tov
chewing gum	benîşt
clock	demjimêrk
south	başûr
piglet	kudik
age	dewr
swear word	zêf
swear word	mirqî
sale	tenzîlat
fly	mêş
fly	firrîn
cardinal	kardînal
albumen	spîk
dragon	ejdeha
go	çûn
comb	katar
bow	kevan
mobile phone	telefona destan
mobile phone	telefona berîkê
mobile phone	telefona bêtêl
mobile phone	telefona mobîl
swear word	sixêf
swear word	dijûn
singular	yekjimar
plural	pirrjimar
man	zelam
mute	lal
company	pargîdanî
company	fîrma
company	kompanya
woman	afret
smile	bişir
smile	girrnij
smile	bişirîn
where	kû
longing	bêrî
old	kevn
want	xwestin
famine	xela
sex	guhnelî
education	perwerde
glass	perdaq
glass	piyale
electricity	elektrîk
stalk	bistîk
mattress	doşek
mattress	mitêl
oven	tenûr
drop	dilop
drop	çip
drop	çipik
crack	tîş
wedding	zemawend
creator	afirîner
pus	nêm
protect	parastin
faucet	henef
prayer	nivêj
deaf	kerr
negotiation	mizakere
negotiation	danûstandin
war	şerr
linguistics	zimannasî
left-handed	destçep
place	dever
fart	piv
tomb	mezel
boy	مندار
heavy	giran
ready	amade
flute	bilûr
flute	fîq
fish	masî
ant	mûrî
ant	gêrik
olive	zeytûn
smile	girrnijîn
lose	ji dest dan
pavement	peyarê
preposition	daçek
sweet	şirîn
Muslim	misilman
porcupine	sîxur
spy	casûs
spy	diznêr
spy	xefnêr
spy	şofar
guarantee	temînat
guarantee	garantî
subscriber	abone
adultery	zina
ceasefire	agirbest
educate	taşandin
by heart	ji ber
dictionary	ferheng
about	teqrîben
all	giş
all	hemû
all	gişt
hear	bîstin
hear	guh lê bûn
come	hatin
competition	misabiqe
balance	balans
balance	terazû
balance	hevsengî
balance	denge
end	qedandin
nightingale	bilbil
low	nizm
oxygen	oksîjen
university	zanko
university	zanîngeh
Moscow	Mosko
carbon	karbon
flea	kêç
eternal	ebedî
eternal	herherî
eternal	hetahetayî
monastery	xilwet
cantaloupe	gundor
melon	petêx
melon	xerûze
melon	qomî
melon	qire
melon	qawin
robber	keleş
colorful	rengîn
bride	bûk
ambassador	balyoz
ambassador	sefîr
dung	rîx
enemy	dijmin
memorize	ji ber kirin
skeleton	kakût
rye	açar
rye	şilêl
rye	çewder
rye	tarîgan
rye	baçîk
rye	çexdar
mulberry	tû
infix	navbendik
infix	navgir
bodily	bedenî
bodily	leşî
bodily	gewdeyî
physical	cismî
physical	cesedî
space shuttle	mekok
ashamed	şermezar
