day	too
rain	la
under	là
pond	tɔ
people	mɔ
with	lé
water	yì
spear	dì
famine	gù
mountain	gɔɔn
fire	tɛ́
calabash	páá
camel	yɔ́ɔ́nma
firewood	yɔ̀ɔ̀
breast	yɔ̀n
waterbuck	yrà
earthworm	yìàn
uncle	yíàn
hippopotamus	yìba bhoorú
friend	yíɛní
thirst	yìmílrɔ̀
canoe	yìtakóŋ
four	yiziɛ
chameleon	klɔɛn
cotton	klɔ́ɛn
well	klɔ̀ŋ̀
mouse	klùgbé
taro	kókó
loom	kɔlɛ̀
moon	mlɛ
proverb	gɔ̀ɔ̀n
mother	nɛɛ
sorghum	kpla
hearth	kpo
yam	kpònaà
hare	loonɛ̀
sky	laflɛ́
lake	dlà
cow	dli
elder sister	dòòle
rhinoceros	dùŋtɛ́
baboon	gbaan
flute	gòfɛ́n
cave	gòmà
corn	gòò
chimpanzee	gɔ̀
way	gɔnɛ̀
sickle	gɔ̀ŋlɔ̀
whisk	gɔɔ
bean	zrɔ̀n
bee	zrɔ̀
bushbuck	zro
flamingo	zro maa
forest	bɔ̀ɔ̀
frog	sràn
fennec	gbɛ̀ngbɛ̀nni
wing	gbɛlóŋ
wing	gbɛ
son	gbe
valley	gbààŋglò
gazelle	zààn
scorpion	zàànweele
girl	gblà
thunder	gblàŋ
okra	flanɛ̀
fonio	flíŋ
skin	flɛ́
king	fùá
guinea fowl	gaŋgle
leaf	làà
flock	lɛ̀
year	lɛɛ
in front	lɛ̀ɛ̀
elder	lɛ̀ɛ̀mi
river	tɔflà
lagoon	yué
clay	kpatrɛ́
duiker	kpɛ́n
hoe	kpòò
cowrie	kpɔ̀ɔ̀
rice	mlɔ̀
ear	trɔ́n
ground	trɛ́
brook	tɔyróŋ̀
forge	tɔ̀n
galago	tòà
law	tóŋ
heat	tɛ́fúú
God	Waànbhaa
honest	wéŋ
