die	fa
Thursday	China
steal	ba
goose	hanzi
copper	kopa
four	na
give	pa
father	baba
saliva	mate
comb	kamu
black	tema
see	ona
who	ani
turkey	toki
milk	kama
sleep	hope
study	funda
dream	roto
blood	ropa
money	mari
dream	rota
bullet	bara
ground	pasi
yoke	joki
ten	gumi
season	mwaka
gunpowder	unga
call	dana
criminal	tsotsi
fig	onde
match	fofo
big	kuru
cultivate	rima
three	tatu
helmeted guineafowl	hanga
eight	sere
drum	ngoma
bone	godo
tree	muti
cook	bika
mountain	gomo
buttock	garo
fig	guyu
thin	tete
hold	bata
boil	vira
two	viri
laugh	seka
arm	ruoko
Shona	chiShona
egg	zai
sleep	rara
bead	chuma
meat	nyama
puppy	handa
chicken	huku
nshima	sadza
rock hyrax	mbira
prostitute	hure
tooth	zino
white	chena
anus	mhata
fry	kanga
dream	ndoto
flower	ruva
cheap	chipa
snake	nyoka
fat	mafuta
hundred	zana
lemon	ndimu
kill	uraya
hammer	nyundo
leopard	kamba
window	windo
cheese	chizi
airplane	ndege
child	mwana
drink	nwa
plough	gejo
leopard	ingwe
dog	imbwa
grow	bundo
scorpion	rize
long	refu
political	pungwe
house	imba
blood	gazi
lump	bundu
buffalo	nyati
palm	chanza
horse	hachi
corrugated iron	marata
folklore	ngano
bee	nyuchi
rebellion	chimurenga
breast	zamu
buttock	dako
person	munhu
mould	umba
Monday	Muvhuro
Tuesday	Chipiri
Wednesday	Chitatu
Friday	Chishanu
Saturday	Mugovera
week	svondo
lake	nyanza
milk	mukaka
tobacco	fodya
eyelid	chikope
round	mbiya
crocodile	ngwena
hippopotamus	mvuu
bakery	bheka
groundnut	nzungu
peace	rugare
five	shanu
elephant	nzou
precious	ndarama
small	diki
twin	batya
one	mwe
tomato	buno
overcoat	jasi
how much	ngani
impala	mhara
eat	dya
termite	ishwa
stone	ibwe
iron	simbi
pig	nguruve
hunger	nzara
water	mvura
goat	mbudzi
head	dhuku
electricity	magetsi
bird of prey	rukodzi
penis	mboro
pond	dziva
uterus	mimba
finger	munwe
seed	mbeu
fight	rwa
mouth	muromo
chest	chipfuva
tongue	rurimi
African hunting dog	mhumhi
boy	mukomana
girl	musikana
school	chikoro
Saturday	Chitanhatu
Sunday	Svondo
week	vhiki
gold	goridhe
silver	sirivha
bone	bvupa
shovel	foshoro
shirt	hembe
egg	zanda
drum	mutumba
rice	mupunga
lemon	remoni
lemon	mundimu
lion	shumba
match	machisi
candle	kandyera
candle	kanduru
bottle	garafa
bottle	bhotoro
shop	chitoro
umbrella	amburera
umbrella	sumburera
lead	mutobvu
cassava	mufarinya
caracal	twana
dried	bakayau
farm	purazi
farm	famu
jacket	bhachi
iron	aini
dress	rokwe
dress	dhirezi
sun	zuva
pants	bhurukwa
mug	bhikiri
potato	dapiri
potato	mbatatisi
sugar	tsvigiri
sugar	shuga
turkey	garikuni
brick	chidhina
window	fafitera
yoke-pin	chikei
ox	jon'osi
debt	chikwereti
tomato	domasi
chicken	hukwana
belt	bhandi
button	konobho
church	chechi
church	kirike
slaughterhouse	siraha
slaughterhouse	bhucha
box	bhokisi
stool	chituru
wheat	koroni
barley	gorosi
poison	chepfu
donkey	dhongi
sjambok	chamboko
town	taundi
town	dhorobha
English	chiNgezi
nail	chipikiri
tangerine	nachisi
mwa	Rusapi
heart	mwoyo
sponge	chiponji
sponge	chishambo
smallpox	chibhokisi
table	tafura
table	teburu
moon	mwedzi
glass	girazi
Portuguese	muPutukezi
Portuguese	chiPutukezi
white	muRungu
European	chiRungu
ghost	chipoko
pineapple	nanazi
pineapple	chinanazi
bolt	bhaudhi
soap	sipo
soap	murota
heathen	muhedheni
machine gun	chigwagwagwa
wheel	vhiri
cap	kepisi
bus	bhazi
lawyer	gweta
donkey	dhongana
puppy	imbwanana
piglet	ngurwana
kid	mbudzana
bread	chingwa
coal	marasha
guava	gwavha
whip	tyava
whip	chiwepu
mine	mugodhi
prison	chitokisi
path	nzira
path	gwanza
witch doctor	n'anga
car	motokari
trek	gwaimani
leopard	mbada
borrow	kwereta
star	nyenyedzi
eye	ziso
dream	chiroto
slug	hozhwa
hospital	chipatara
hospital	hosipitari
peace	runyararo
quiet	nyarara
expensive	dhura
book	bhuku
spoon	chipunu
firewood	rukuni
inside	mukanwa
Fanagalo	chiraparapa
cattle	mombe
cow	mhou
crocodile	garwe
crocodile	goko
msasa	musasa
Afrikaner	Bhunu
Afrikaans	chiBhunu
nose	mhuno
ostrich	mhowani
kudu	nhoro
kidney	itsvo
woo	nyenga
student	mufundi
pay	bhadhara
horse	bhiza
railway	njanji
pull	dhonza
close	vhara
drive	tyaira
driver	mutyairi
driver	dhiraivha
farmer	murimi
armpit	hapwa
drunk	dhakwa
drunk	chidhakwa
steenbok	mhene
thing	chinhu
sheep	hwai
woman	mukadzi
seat	chigaro
boat	chikepe
ship	ngarava
canoe	bwato
canoe	igwa
fig	mukuyu
fig	muonde
camel	ngamera
short	pfupi
greatness	ukuru
broad	pamhi
thick	kobvu
brown	shava
red	tsvuku
new	tsva
old	tsaru
few	shoma
much	zhinji
six	tanhatu
seven	nomwe
nine	pfumbamwe
thousand	chiuru
who	vanaani
time	nguva
mobola plum	muhacha
time	nhambo
chin	chirebvu
beard	ndebvu
tennis ball	tenesi
walk	famba
scratch	kwenya
swell	zvimba
bear	zvara
cook	mubiki
above	pauzuru
above	kuuzuru
ear	nzeve
body	muviri
tribe	muRozvi
pumpkin	nhanga
cook	muboora
gun	pfuti
film	firimu
film	bhaiskopu
dreams	zviroto
story	nyaya
subject	nhauro
story	nyambo
