new	nu
day	de
head	het
sevenpela	seven
or	o
subject	i
male	man
East	is
tenpela	ten
sailor	sela
I	mi
army	ami
wind	win
wanpela	eleven
still	yet
Animalia	animal
stamp	stem
buttock	as
angel	was
North	not
eye	ai
future	bai
bike	baik
bastard	bastet
abdomen	bel
know	save
where	we
duck	pato
ear	ia
music	musik
door	dua
dice	satu
mother	mama
lamp	lam
pump	pam
leave	go
leather	let
line	lain
foot	put
run	ran
faeces	sit
spoon	spun
speed	spit
cord	string
wet	wet
bee	bi
cake	kek
ball	bol
tooth	tit
rum	ram
bill	bil
eight	et
spatial	long
clean	klin
sportsfield	fil
sun	san
hand	han
blood	blut
road	rot
needle	nil
belong	bilong
work	wok
make	wokim
we	mipela
we	yumipela
you	yumi
you	yu
second person	yupela
third person	em
they	ol
bush	bus
bus	bus kanaka
this	dispela
and	na
sea	si
tea	ti
port	pot
progressive	wok long
progressive	i stap
declaration	toksave
everyone	olgeta
woman	meri
one	wanpela
four	fopela
five	faipela
six	sikispela
seven	sevenpela
eight	etpela
nine	nainpela
ten	tenpela
big	bikpela
steal	stilim
pigeon	balus
some	sampela
fish	pis
hook	huk
three	tri
one	wan
beer	bia
once	wantaim
small	liklik
well	gut
good	gutpela
parasitic	laus
dirt	das
dog	dok
interest	profit
grass	gras
Pope	pop
earthquake	guria
jeep	jip
mile	mail
octopus	urita
name	nem
force	strong
message	tok
break	bagarapim
flesh	mit
coffee	kopi
leaf	lip
no	nogat
thing	samting
brain	kru
Papua New Guinea	Papua Niugini
try	traim
father	papa
dish	dis
pail	baket
sleep	slip
priest	pater
brown	braun
wheat	wit
night	nait
girl	gel
hello	hai
rain	ren
be able to	ken
corn	kon
fig	fik
boss	bos
illness	sik
leak	lik
open	op
comb	kom
judge	jas
lipid	gris
sport	spot
warder	woda
come	kam
reef	rip
ripe	mau
raw	amat
insect	binatang
perspiration	tuhat
cunt	bokis
goat	meme
lock	lok
honor	ona
color	kala
cocoa	kakao
look	luk
powder	paura
pastor	pasto
law	lo
white	wait
putty	kit
bone	bun
list	lista
monohull	por
lazy	les
eat	kai
acquaintance	poro
shoe	su
juice	jus
condom	kondom
court	kot
telephone	telefon
