Turkey	Turkia
island	ada
God	alla
five	ხუთი
sister	და
Laz	ა
hand	ხე
horse	ცხენი
big	დიდი
old woman	დიდა
boy	ბიჭი
walnut	კაკალი
lime	კირი
goat	თხა
haystack	ბარდი
spleen	ფანწალა
millet	ფატი
goat	ქოშატი
gutter	გუბი
soot	წოლა
dirt	ლები
soiled	ლებიარი
dirty	ლებონი
address	adresi
smoulder	მღ
donkey	ეშეღი
walnut	ღლეპა
weigh	წონ
example	ორნეღი
wine	ღუინი
ownerless	ანდერი
wolf	გუერი
blanket	საბანი
girl	ბოზო
prop	ხაჩკეტი
write	ჭარ
cat	კატუ
წულუ კითი	წულუ კითი
finger	კითი
little	წულუ
iron	ერკინა
bridge	ხინჯი
trout	კალმახა
thanks	საღოლ
sheep	ჩხური
road	გზა
meat	ხორცი
daughter	ოსური
snake	წიწილა
barn	ბაკი
hoe	თოხი
male	მამული
always	პანდა
porter	მუშა
radish	ბულეკი
cucumber	შუკა
sand	შირიმი
war	ჯენგი
eyelash	კამწამი
snowflake	ფანტელი
dog	ლაკი
puppy	ლაკოტი
dog	ჯოღოი
king	მაფა
grandfather	პაპული
morning	ჭუმანი
tomorrow	ოჭუმე
glue	ჭაბუ
wall	ოკოდუ
man	კოჩი
God	ღორმოთი
tree	ჯა
snake	მგვერი
wife	ჩილი
face	პიჯი
heart	გური
one	ართი
three	სუმი
seven	შქვითი
nine	ჩხორო
eight	ოვრო
nose	ჩხვინდი
eye	თოლი
head	თი
day	დღა
mosquito	კოღონი
coal	ნოშქერი
flour	ქუერი
blood	დინცხირი
yesterday	ღომა
love	ყოროფა
friend	მეგაბრე
book	სუპარა
lung	ფურფუ
I	მა
rain	ჭიმა
pear	მცხული
fat	ჩხუ
sickle	მანგალი
basket	ცანცა
scythe	ქერენდი
scythe	დრეპანი
moustache	ბუჲუღი
friendly	გზამშინე
second	სანიჲე
crown	კოტულა
mud	ტოლოფი
water	წკარი
some	amʒika
America	Ameriǩa
American	Ameriǩanuri
apartment building	apartumani
April	ap̌rili
Laz town	Arkabi
artist	artisi
axe	arguni
camel	aklemi
candidate	adai
elevator	asansori
fish hook	anǩesi
frosty	ayazi
Germany	Alamani
hard-working	aǯup̌eťi
health	afieťi
however	ancaği
hunter	avci
breath	apiçora
instantly	apiçoras
jumper	anteri
justice	adaleťi
kestrel	anǩe
lawyer	abuǩaťi
lion	aslani
Abkhaz	Abazuri
ablution	abdezi
acid	asiťi
Africa	Afriǩa
alcohol	alkoli
alphabet	alboni
anarchist	anaşiťi
antenna	anťeni
Arab	Arap̌i
Arabia	Arap̌istani
Arabic	Arap̌uri
town	Arťaşeni
athlete	aťleťi
August	ağustozi
avaricious	acanli
bedridden	astenyari
bulb	ampuli
convenances	anǯala
childless	aǩop̌uri
citrus	aranżi
crocus	alimorci
custom	adeťi
dragon	ajlia
each other	artiǩati
electricity	aletriǩi
little	amʒiǩa
main responsibility	ananǩeni
military service	asǩerona
namesake	arcoxoni
new	ağani
news	ambai
niece	alimse
Arkabi	Arkaburi
Atina	Atinuri
operation	ameliyaťi
orange	aranża
pavement	asfalťi
peach	anťama
reluctant	agure
scorpion	aǩrep̌i
sea bream	azmarida
seagull	alioni
edge	aǩra
slope	aťǩozi
