eyelash	aber
water	aman
neck	iri
road	abrid
cheese	kisu
hand	fus
he	netta
tongue	ires
woman	tameṭṭut
word	awar
mountain	adrar
city	tamdint
Rif	arif
rice	aṛṛuẓ
bread	aɣṛum
flower	ṯanewwašt
plant	nnwaṛ
man	aryaz
head	azellif
green	azegzaw
red	azegwaɣ
yellow	awraɣ
white	ašemrar
black	aberkan
brown	aqehwi
house	taddart
tree	ššejret
king	ajellid
woman	tamɣart
Riffian	tarifešt
red	azewwaɣ
room	axxam
village	ḍḍšā
eye	tiṭ
Tarifešt	Tarifit
Berber	tamaziɣt
arm	ɣir
mouth	aqemmum
nose	tinzar
face	udem
tooth	tiɣmest
pupil	amummu
eyebrow	timmi
feather	arriš
face	axenšuš
cheek	ameggiz
forehead	anyar
moustache	ššraɣem
chin	aqesmir
throat	tmijja
breast	abbiš
nipple	ifef
nipple	tabbišt
shoulder	taɣrudt
angle	taɣmart
palm	tisi n ufus
finger	ḍaḍ
thumb	ikmez
index finger	ššahed
middle finger	aberḍaḍ
ring finger	butxutam
pinkie	tireṭṭaḍt
I	nešš
Berber	amaziɣ
ear	ameẓẓuɣ
head	aqiyyuɛ
jaw	aɣesmir
lip	ayenfir
hair	ašuwwaf
fingernail	iššar
beard	tamart
chest	admar
curd	taklilt
angle	aɣemmar
Riffian	arifi
Rif	ⴰⵔⵉⴼ
hand	ufus
