eagle	aquila
from	ab
abbreviated	abbreviate
tea	the
from	de
vain	van
day	die
dog	can
daily	quotidian
musical	music
war	guerra
here	ci
drown	necar
my	mi
digit	digito
digito indice	digito indice
Spanish	espaniol
umbrella	parapluvia
rain	pluvia
deficit commercial	deficit commercial
acid	acidic
proclamation	pronunciation
Native American	Indian
create	crear
give	dar
soccer	football
one million	million
sun	sol
abandonment	abandonamento
leave	abandonar
abandonment	abandono
lower	abassar
quantity	quantitate
abacus	abaco
abandoned	abandonate
world	mundo
not	non
dear	car
civilian	civil
navy	marina
abbreviate	abbreviar
a le	al
de le	del
family	familia
well	ben
true	ver
qui lo sape	qui lo sape
tooth	molar
about	re
place	loco
elegantly	elegantemente
queen	regina
cake	torta
cross	axe
time	tempore
give birth	parturir
homine	homine de litteras
homine	homine del mundo
homine	homine de guerra
homine de negotios	homine de negotios
businessman	negotiante
man of God	Homine de Deo
at last	al fin
bad	mal
room	camera
go	ir
hospitable	hospital
ninth	none
and	e
such	tanto
f	g
raft	rate
and not	ni
three	tres
eight	octo
nine	novem
an	un
five	cinque
new	nove
nothing	nil
two	duo
flower	flor
book	libro
honey	melle
house	casa
bone	osso
six	sex
yes	si
oneself	se
travel	viagiar
her	la
is	es
you	tu
hello	hallo
linea	in linea
repentance	regret
accuse	accusar
accused	accusato
accustom	accostumar
acerbate	acerbar
mercury	mercurial
water	aqua
accredit	accreditar
black	negro
tomato	tomate
nothing	nihil
nobody	necuno
nobody	nemo
somebody	alicuno
somebody	alcuno
everybody	totos
tote le mundo	tote le mundo
everybody	omnes
non mesmo	non mesmo
no	necun
no	nulle
nor	nec
al minus	al minus
shine	brillar
them	los
bee	ape
smaller	minor
bigger	major
produce	producer
potato	patata
spring	primavera
Italian	italiano
fog	nebula
nebula	nebulosa
life	vita
wave	unda
cow	vacca
everywhere	ubique
wasp	vespa
syllable	syllaba
lizard	lacerta
blue	blau
hand	mano
fist	pugno
north	nord
today	hodie
car	auto
put	poner
summer	estate
monkey	simia
window	fenestra
rat	ratto
voice	voce
you	vos
twenty	viginti
we	nos
worm	verme
sing	cantar
buy	comprar
sleep	dormir
read	leger
already	jam
vend	vender
pen	pluma
moon	luna
kidney	ren
good	bon
page	pagina
goddess	dea
leadership	direction
tongue	lingua
architecture	architectura
geography	geographia
history	historia
nymph	nympha
four	quatro
abolish	abolir
present	actual
oar	remo
materialism	materialismo
absence	absentia
ago	ante
bear	urso
there	ibi
multitude	massa
berry	baca
Saturday	sabbato
wine	vino
viper	vipera
forehead	fronte
back	re-
memory	memoria
hunger	fame
peace	pace
passport	passaporto
past	passato
road surface	pavimento
for	pro
noun	substantivo
abandonar se	abandonar se
it	lo
divine	divin
Italy	Italia
abstain	abstiner
bean	faba
stab	dagar
better	melior
adapt	adaptar
adduce	adducer
adducer	adductor
adjective	adjectivo
here	hic
adorable	adorabile
about	super
aeroplane	aeroplano
older	senior
star	stella
soul	anima
people	gente
war	bello
melt	funder
eyelid	palpebra
to them	les
door	porta
short	breve
emperor	imperator
verification	confirmation
necessity	necessitate
state of affairs	situation
drug	droga
year	anno
his	su
the	le
easy	facile
sea	mar
daughter	filia
across	trans
hour	hora
astronomy	astronomia
white	blanc
master	maestro
but	ma
rook	roc
diaeresis	trema
lie	mentir
fourth	quarte
fifth	quinte
shit	merda
sad	triste
country	pais
home	domestic
tear	lacrima
sit	seder
cuckoo	cucu
farm	plantation
creation	creation
fox	vulpe
stone	petra
pig	porco
author	autor
cultivate	cultivar
pleasure	placer
medicine	medical
factory	fabrica
sword	spada
united	unite
think	pensar
surgery	chirurgia
eighth	octave
first	prime
ruin	perder
detest	detestar
hate	odiar
beer	bira
French	francese
laugh	rider
bag	tasca
Europe	Europa
September	septembre
woman	femina
satisfy	satisfacer
habit	habito
shock	choc
song	canto
do	facer
paint	pinger
afterwards	pois
shadow	umbra
diffusion	dissemination
preventive	prophylactic
blood	sanguine
colony	colonia
whether	sia
suddenly	subito
Greece	Grecia
bridge	ponte
ninety	novanta
November	novembre
garden	jardin
leg	gamba
mind	mente
who	qui
sailor	marinero
airplane	avion
when	quando
tooth	dente
white	blanco
again	de novo
husband	marito
sister	soror
weakness	debilitate
France	Francia
dig	foder
train	traino
more	plus
zeal	zelo
where	ubi
that	ille
this	iste
print	publication
that	que
become	devenir
she	illa
brown	brun
finish	finir
man	viro
future	futuro
decree	decreto
iron	ferro
big	grande
cord	banda
skunk	moffetta
snake	serpente
next to	apud
coma	comatose
neck	collo
less	minus
deer	cervo
interesting	interessante
etymology	etymologia
origin	origine
form	forma
death	morte
problem	problema
nose	naso
spirit	spirito
hold	tener
have	haber
novel	romance
beautiful	belle
thing	cosa
May	maio
infect	infection
yesterday	heri
fly	volar
work	laborar
find	trovar
certainly	certo
brain	cerebro
apple	pomo
chin	mento
ice cream cone	cornetto
reign	regno
come	venir
nocturnal	nocturne
tide	marea
damn	damnar
heart	corde
vomit	vomitar
green	verde
kitchen	cocina
farther	ulterior
potassium	kalium
happy	felice
order	ordine
use	usar
Uranus	Urano
universe	universo
remainder	resto
outbreak	eruption
evident	evidente
smoke	fumo
hundred	cento
road	strata
friend	amico
tabulate	tabular
state	stato
present	presente
vacant	vacante
hairy	pilose
railway	ferrovia
Germany	Germania
July	julio
June	junio
Mars	Marte
Saturn	Saturno
Neptune	Neptuno
quit	quitar
law	lege
serve	servir
culture	cultura
himself	ipse
season	saison
October	octobre
Beijing	Peking
go	vader
to	a
Mercury	Mercurio
Réunion	Reunion
Sunday	dominica
Norway	Norvegia
Quechua	quechua
April	april
wheel	rota
how	como
florid	floride
take	prender
table	tabula
minute	minuta
planet	planeta
Interlingua	interlingua
moment	momento
defend	defender
little bit	poco
mountain	monte
means	medio
march	marcha
back	retro
chickenpox	varicella
lion	leon
gem	gemma
fence	palinodista
modulate	modular
for	nam
often	sovente
towards	verso
along	preter
want	voler
whore	puta
sixth	sexte
seventh	septime
Denmark	Danmark
tomorrow	deman
paint	tinta
mail	posta
pure	pur
diary	diario
lend	prestar
wood	ligno
relative	parente
pearl	perla
dread	timer
understand	comprender
word	parola
delight	delecto
hasten	hastar
arrest	arresto
modify	modificar
explain	explicar
consider	considerar
province	provincia
tell	contar
mean	significar
Monday	lunedi
Tuesday	martedi
witness	teste
also	etiam
science	scientia
inform	informar
promote	promover
calm	calmar
late	tarde
obtain	obtener
exhibit	exhibir
diagnose	diagnosticar
publish	publicar
ask	demandar
ascend	ascender
military	militar
mark	marcar
currently	actualmente
consumption	consumo
beard	barba
political	politic
found	fundar
thirty	trenta
fifty	cinquanta
ring	anello
gender	genere
have to	deber
linguistics	linguistica
difficult	difficile
botany	botanica
Esperanto	esperanto
cherry	ceresia
drink	biber
visible	macroscopic
admit	admitter
tree	arbore
all	tote
grace	gratia
during	durante
sitting room	salon
move	mover
clinical	clinic
dictate	dictar
according to	secundo
Wales	Galles
ear	concha
dime	decima
vegetate	vegetar
venom	veneno
painter	pictor
comfortable	commode
glass	vitro
hard	dur
womb	utero
answer	responder
guard	guardar
be	esser
-wise	-mente
decrease	diminution
quick	rapide
best	optime
Polish language	Polonese
tile	tegula
thanks	gratias
translation	traduction
proportion	ration
shore	ripa
letter	littera
manacle	manica
our	nostre
staircase	scala
their	lor
resist	resister
departure	partita
adultery	adulterio
visit	visitar
soldier	soldato
agree	concordar
horse	cavallo
glasses	berillo
urine	urina
rice	ris
Scotland	Scotia
baritone	barytone
stage	stadio
tobacco	tabaco
meow	miau
double	duple
rod	virga
philosophical	philosophic
belly	pancia
leafless	defoliate
psalm	psalmo
Greek	grec
donkey	asino
lighthouse	pharo
name	nomine
nipple	papilla
concrete	-mento
grammar	grammatica
grasp	manata
see	vider
farm	ferma
too much	troppo
age	etate
decay	carie
wrist	carpa
fraud	fraude
debtor	debitor
jagged	dentate
library	bibliotheca
kilometre	kilometro
surgeon	chirurgo
discuss	discuter
bedbug	cimice
black woman	negra
many	multe
know	saper
olive	oliva
medical facility	clinica
marsh	palude
airport	aeroporto
baby	bebe
story	conto
define	definir
change	cambiar
preserve	conservar
contemplate	contemplar
decorate	decorar
disgust	disgustar
ignore	ignorar
inspire	inspirar
result	resultar
vibrate	vibrar
second	secunda
engrave	gravar
cornet	cornetta
recount	narrar
design	designar
sigh	suspirar
whisper	susurrar
nourish	nutrir
other	altere
article	articulo
impair	debilitar
decree	decretar
dispense	dispensar
elaborate	elaborar
each	cata
exclaim	exclamar
check	controlo
gynecological	gynecologic
divorce	divorcio
federate	federar
live	habitar
rip	lacerar
liquidize	liquidar
flash	fulgure
foundation	fundamento
base	fundo
degree	grado
winter	hiberno
marinate	marinar
gauge	mesurar
reintegrate	reintegrar
reiterate	reiterar
row	remar
remind	rememorar
renounce	renunciar
repose	reposar
unify	unificar
reproach	reprochar
creep	reptar
return	retornar
resell	revender
dawdle	tardar
televise	televisar
milk	lacte
legitimate	legitime
free	libere
liquid	liquido
liquid	liquide
pass	passar
measure	mesura
eye	oculo
second	secunde
sigh	suspiro
violent	violente
vomit	vomito
dart	dardo
hammock	hamaca
seem	parer
distant	distante
correct	corriger
bacteriological	bacteriologic
truffle	trufa
Muhammad	Mahomet
business	affaires
high	alte
child	infante
shirt	camisa
farewell	adeo
wait for	attender
