hammock	ab
jaguar	balam
in	pa
sky	kaj
crab	tap
and	chi
sin	mac
strong	cou
plate	lac
man	achi
bird	buc
sea	palo
chile	ic
fish	kar
chew	baj
teaching	tih
food	tij
back	ih
cold	tew
rat	cho
thanks	maltiox
you	aläq
fire	cac
mother	chuch
sky	cah
last year	abir
tree	baquet
murmur	baho
begin	tikar
lion	koj
grow	tamaric
coldness	tewal
corn	leh
water	jaʼ
largeness	nimal
boy	alab
so that	-ech
white	saq
face	uach
family	achalaxik
operator	abanel
soot	abaʼq
sister-in-law	achalkaʼn
be	achixaj
nail	bajij
blocked	bajim
frost	abäj tew
plow	abixbal
plow	abixik
cultivate	abixinik
kind	ach’
confidant	ach’ ch’aben
elastic	ach’i’y
husband	achajil
maggot	achaq amolo
falling star	achaq ch’imil
mildew	achaq ixpeq
hot	achaq q’aq’
ear wax	achaq xikin
buttocks	achaq
companion	achi’l
accompany	achi’laj
be	achi’lik
dream	achik’
dream	achik’aj
jealous	achixam
jealous	achixam chrij ri rixoqil
home	achoch
temple	achoch Dios
good morning	xsaqarik
good afternoon	xb'e q'ij
thank you	maltyox
hello	la utz awach
goodbye	ch’ab’ej chik
good night	xok aq’ab’.
head	jolom
horse	kyej
monkey	b’atz’
cat	sya
fortified	tinamit
flower	cotzih
childhood	alcalal
multitude	calab
demon	caxtoc
statue	atz
pain	chupupit
boat	hucub
smell	hubinic
armadillo	iboy
school	tihobal
dust	hopel
enemy	yaut
part	yih
wife	ixoc
animal	chikop
foreigner	caxlan
teaching	tihonic
teacher	tihonel
student	tihoxel
teach	tihoh
small	tapichol
multitude	tamtatic
salt	atzam
clothing	atziac
friendly	atzom
seed	auah
plant	auic
planter	aual
replant	auabehic
plant	auexah
planter	auexom
become	balacuhic
fill	balih
wall	bucutahic
lie	caxtocol
lie	caxtocoh
liar	caxtoquinel
food	tioh
food	chac
jail	ximobal ha
malaria	ch’aqi’ tew
frozen	ja’ tew
frozen	ja' tew
frozen	jaʼ tew
freeze	kowirik r-umal tew
cold	q’osibal tew
malaria	räx tew
green	räx
frost	saq tew
mallet	q'osibal
mallet	q’osibal
get wet	ch’aqi’k
fortify	kowirik
bruise	räxarik
by	-umal
justice	suk’umal
straight	suk’
causative	-rik
hammer	q’osibal klawux
nail	klawux
nail	klawuxij
nailed	klawuxim
harden	kowirisaj
pebble	wabäj
stone	wächibal abäj
appearance	wächibal
produce	wächij
condition	wäch
purpose	jun rumal
because	-umal chi
for	-umal -ech
make	ch’aqaba’
transitive	-ba’
very	ch’aqach’oj
verb	-ch’oj
wet	ch’aqalik
make	ch’aqisaj
causative	-saj
destiny	-ech -q’ij
destiny	-ech wi
wedding	pau’ r-ech k’ulanem
pass on	ya’ kan(oq) -echbal
in order that	are chi
in secret	chi chawal
monthly	chi ik’
once again	chi jumul
slowly	chi nojimal
in the open	chi saqil
early	libaj chi
be	rajwaxik chi
commanded	taqom chi kaj
bubble	wuqoj chi paq
seven	wuqüb chi wuqub
observe	ilawächij
slowness	nojimal
ditransitive	-baj
slow	nojim
specific	-oj
light	saqil
swing	tzay
hang	tzayaba’
dangling	tzayalik
carry	tzayej
matasano	achel
jaguar	bʼalam
he	areʼ
under	xe’
past	ojer
word	tzij
name	bi’
write	tz’ibaj
begin	tikib'a'
first	nab’e
all	ronojel
do	b’an
tribe	amaq’
person	winaq
father	qajaw
snake	kumätz
weaver	ajkiem
bow	ajjub
count	ajilaj
