or	o
sand	one
in	i
hello	aloha
torch	lama
hasten	wiki
sexual intercourse	ai
front	alo
cold	anu
with	me
this	ia
bonito	aku
the	ke
death	make
to	e
power	mana
what	aha
soap	kopa
for	na
sovereignty	ea
request	noi
existence	ola
atmosphere	lewa
voice	leo
bear	pea
hour	hola
very	nō
bird	manu
yours	nou
always	mau
mite	ane
his	ona
wahoo	ono
answer	pane
blow	ani
room	lumi
oar	hoe
conditional	paha
sound	kani
drink	inu
mononym	Liliana
alike	like
way	ala
aa	ʻaʻā
kindle	hōʻaʻā
honey	meli
Hawaiian Islands	Hawaiʻi
Polynesia	Hilo
thatch	ako
hole	puka
white	kea
sea	kai
island	moku
of	ko
yours	ou
fat	mona
penis	ule
distance	loa
harbor	hono
field	kula
grass	mauʻu
book	puke
in	ma
speedy	wikiwiki
plug	kiki
five	lima
prayer	pule
chicken	moa
necklace	lei
eel	kuna
burden	amo
cave	ana
gourd	hue
calm	lulu
taro corm	poi
phlegm	wale
house	hale
hither	mai
cow	pipi
heʻe nalu	heʻe nalu
new	hou
nui loa	mahalo
devil	diabolo
human being	kanaka
kai eʻe	kai eʻe
kai hoʻēʻe	kai hoʻēʻe
China	Kina
slow	lohi
mononym	Peke
priest	kahuna
dance	hula
foreigner	haole
intelligence	akamai
pahoehoe	pāhoehoe
fight	paio
regret	mina
shelf	haka
interior	loko
lever	une
nigger	nika
the	ka
blood	koko
Mary	Maria
moon	mahina
and	a
mononym	Hale
mononym	Kai
Kalā	Kala
Kāle	Kale
mononym	Kama
Leah	Lea
nickname	Lei
mononym	Lui
Luke	Luka
mononym	Manu
nickname	Nani
finish	oki
fire	ahi
pillar	kia
hear	lohe
club	hui
mollusc	kio
wind	kiu
all right	hiki
carry	hali
jump	lele
Paul	Paulo
for	nona
channel	awa
nose	ihu
goat	kao
when	ā
liver	ake
bone	iwi
half	hapa
chant	oli
frog	lana
bow	pana
coition	aina
stubborn	nuha
rim	kapa
body	kino
yam	uhi
Daniel	Daniela
fishing line	aho
soil	lepo
sleep	moe
shade	malu
coconut	niu
plenty	nui
invitation	kono
news	lono
hair	hulu
pick	hiku
taro	kalo
plant	kanu
land	honua
ocean	moana
elder	makua
god	akua
broil	kunu
spiny lobster	ula
inland	uka
sky	lani
throw	hiu
urine	mimi
Filipino	Pilipino
finished	pau
nit	liha
ritual friendship	pili hoaloha
jade	pounamu
time after work	pau hana
mononym	Helena
turtle	honu
spring	puna
termite	huhu
hot	wela
chant	mele
Salem	Kalema
letter	leka
rainbow	ānuenue
banana	maiʻa
walk	hele
before	mua
morning	kakahiaka
shell	pūpū
your	kou
flag	hae
sheep	hipa
mononym	Naomi
Rebekah	Rebeka
Simon	Simona
for	no
goodness	maikaʻi
congratulations	hoʻomaikaʻi
Thanksgiving Day	Lā Hoʻomaikaʻi
brown skin	māʻila
Alpha Persei	Hinaliʻi
inactive	pū
grave	hē
rise	hū
complaint	kē
the	nā
stinginess	pī
night	pō
hither	maila
liter	lika
place	Kainui
runner	kūkini
fiber	pulu
fullness	piha
cumin	kumino
flower	pua
clear up	mao
fruit	hua
back	kua
righteousness	pono
good morning	aloha kakahiaka
breakfast	ʻaina kakahiaka
Lithuanian	Lituania
reef triggerfish	humuhumu-nukunuku-apuaʻa
Timothy	Timoteo
parrot	pāloke
parrot	manu pāloke
mononym	Alana
cliff	pali
Noah	Noa
yes	ʻae
toast	inu hoʻomaikaʻi
buttocks	lemu
rising	paina
tongue	alelo
mahalo nui loa	mahalo nui loa
Jonah	Iona
louse	ʻuku
talk	walaʻau
mononym	Kāwika
stench	pilau
strangle	ʻumi
child	keiki
mononym	Koma
Micah	Mika
snout	nuku
Hannah	Hana
mononym	Kamila
afternoon	ʻauinalā
moss	limu
entrance	komo
mistake	hewa
Galatians	Galatia
warm	mahana
fish	iʻa
gin	kini
bearer	lawe
dog	ʻīlio
butter	paka
ear	pepeiao
fit	huki
evening	ahiahi
beach	kahaone
beach	kahakai
fisherman	lawaiʻa
monarch	lepelepe-o-hina
Polynesian	noni
mononym	Manuela
milk	waiū
Romans	Roma
cookie	kuki
right	kuleana
picture	kiʻi
wedge	ahupuaʻa
noon	awakea
island	mokupuni
raccoon	lakuna
war	kaua
food	ʻai
star	hōkū
year	makahiki
computer	lolouila
computer	kamepiula
read	heluhelu
look	nānā
noose	holo
decision	hoʻoholo
alert	hāna
rose	loke
Susanna	Susana
brown alga	alani
teacher	kumu
Moses	Mose
May	Mei
help	kōkua
mononym	Haumea
lick	palu
mouth	waha
vagina	kohe
heart	puʻuwai
mononym	Malia
fog	ʻohu
mononym	Lani
December	Kēkēmapa
hula	Maile
shoot	kīkī
calm	mālie
mononym	Mālie
mononym	Kamaile
foreigner	malihini
four	ʻukulele
nickname	Pua
clothes	lole
philosopher	akeakamai
cutting off	ʻokina
mononym	Lilia
mononym	Nālani
mononym	Leialoha
pearl	momi
mononym	Momi
mononym	Kanani
mononym	Puanani
