breast	were
father	baba
wife	muka
eye	riso
sail	tanga
day	suku
year	mwaka
fire	moto
thousand	kontu
drum	ngoma
tree	muti
middle	kati
book	kitabu
goat	mbuzi
smoke	rosi
water	maji
bucket	ndoo
shop	duka
iron	chuma
house	nyumba
person	munu
thing	kinu
because	kamana
finger	chala
name	zina
slave	muja
egg	rii
elephant	nembo
because	konta
moon	mwezi
snake	nyoka
oil	mafuta
work	kazi
bee	nyuki
cow	ng'ombe
fabric	nguo
cloud	wingu
hoe	jembe
genie	jini
pigeon	njiwa
child	mwana
relative	jamaa
darkness	kisi
thief	mwivi
fishing net	nyavu
who	nani
sister-in-law	wifi
circumcision ceremony	kumbi
flower	luwa
path	njira
sailboat	ngalawa
parent-in-law	mukwe
girl	mwari
brother-in-law	nlamu
grandchild	njukulu
worker	nkolakazi
white	nzungu
woman	mwanamuka
husband	nlume
man	mwananlume
king	nfalume
prophet	ntume
god	nlungu
thigh	mpaja
lip	mvunyo
shadow	mviri
stone	mwala
stone	riwe
mountain	mwango
coconut palm	nnazi
bread	nkate
well	nrimbu
sand	nsanga
dream	nloto
body	mwiri
sun	juwa
tooth	rino
ash	rivu
sling	rivereko
coast	rifuko
Mwani	Kimwani
fin	ripupa
pain	malwazo
milk	masiwa
flood	maera
knife	kifyu
island	kisirwa
food	chakurya
bathroom	chowero
rainy season	kinja
dry season	kirangazi
kid	kisimana
fish	inswi
beach	mwani
side	luwavu
rain	nvula
veranda	lupenu
wave	luwimbi
firewood	lukuni
afternoon	lulemba
head	kiswa
what	kinani
bird	nyuni
place	maala
graveyard	kuzimu
chest	kifuwa
now	sambi
door	nryango
shop	lozya
sap	urokozi
sap	unoni
speak	sowera
tongue	lulimi
