person	too
banana	balat
payment	bayad
body	angel
middle	kawa
purpose	kara
duck	pato
tear	saya
mold	boot
kilogram	kilo
large	pool
coffee	baas
nosebleed	along
child	anak
rent	abang
rice	ani
salt	asin
they	ira
shovel	pala
master	amo
maybe	emo
nine	siyam
March	Marso
blanket	sarong
dog	aso
small	cheko
plan	plano
corn	mais
sap	neta
mudfish	yoyo
heart	poso
peanut	mani
hot pepper	sili
machine	mahina
May	Mayo
small	daring
cheek	tamil
pair	paris
sleep	oki
mountainside	oma
dish	sira
sibling	ahi
community	ili
dance	sada
date	pitsa
nail	dansa
now	niman
rain	oran
silk	sida
trouble	kolo
sleeping	kamen
lung	bala
miracle	milagro
king	ari
cup	tasa
taste	amis
priest	pari
senile	kabaw
breast	soso
umbrella	payong
money	poncho
foot	seki
homemade	pana
test	paras
share	sool
hour	oras
flood	danas
window	tawa
urine	mimi
chicken	manok
clothes	baro
mother	ina
coffee	kapi
celebration	pekel
cinema	sini
widow	balo
grandfather	lolo
cat	posa
boyfriend	arem
you	kayo
revenge	bales
drinking	baso
plant	mola
consciousness	poot
cargo	kalka
part	pisi
peso	pisos
ladle	iros
gang	barkada
fuzzy	seka
bite	kalat
ring	singsing
edible	pao
clayen	banga
new	bado
vein	olat
fine	molta
river	kolos
water buffalo	kalon
pride	etek
stomach	ekes
patience	anos
ritual	daga
fingernail	koho
cockfight	padot
compassion	kaasi
ginger	ahat
crown	korona
mouth	temi
nun	madri
letter	solat
large	alinta
headband	bengel
fat	namit
grandmother	lola
luck	kasat
conversation	tebal
wind	angin
hail	danti
medicine	agas
dew	amol
pillow	pongan
laundry	daba
branch	panga
thanks	salamat
speech	toti
moon	bolan
food	mekan
path	chalan
enemy	kabal
brass	kalsa
envy	apal
long	sarado
sardines	sardinas
small	noso
bird	titit
because	tep
sharp	maritem
who	siya
edible	agwa
cow	baha
small	bangka
bench	bangko
large	bapor
reed	iit
sin	basol
sibling-in-law	bayaw
counsel	bilin
root	damot
blood	chala
stain	mansa
type	dawed
hot	petang
traditional	kogal
sign	signos
tooth	sangi
vinegar	soka
cross	koros
wedding	kasal
garlic	bawang
massage	ofis
grater	kotkot
tip	odsek
court	korti
slow	solit
soap	sagon
pine	boros
kitchen	kosina
five	dima
land	chaga
custom	aramid
cloth	ponas
hospital	ospital
tax	binis
cooperation	onjon
