someone	a-
as if	is
pus	his
oh	as
with	bee
ice	tin
inalienable	god
song	sin
grime	chin
market	kin
you	ni
quickly	hah
weight	das
flirting	pop
springtime	daan
not	da
with	nee
about him	baa
winter	hai
negative	doo
his	bi-
dilʼéés	di-
adverb	-ee
up	dei
inalienable	gaan
third person object	y-
penis	aziz
e	ę
inalienable	chai
juniper	gad
cat	gídí
cat	mósí
moo	muu
for	bá
bearberry	dinas
you know	jó
inside	yah
up	dah
adobe	bis
he	bí
letter	a
crying	cha
stomach	abid
oops	wah
scar	sid
English	Bilagáana bizaad
hot	sido
yes	aho
steam	siil
he	hó
stomach	-bid
water	tó
for you	ná
trash	diz
yuck	ih
grouse	dih
with	yee
hope	sih
for him	há
I	shí
you	naa
say	ní
month	ńdízídígíí
foot	ké
occurred	lá
frost	sho
what	daa
opposite	-lah
stick	gish
dry	sigan
inalienable	-doh
WBA	Wááshindoon bikéyah ałhidadiidzooígíí
his	be-
bear	shash
rabbit	gah
donkey	télii
insect	chʼosh
sheep	dibé
pig	bisóodi
fish	łóóʼ
frog	chʼał
deer	bįįh
tone	´
my	she-
i	į
works	naalnish
pattern	haiłgéésh
crawl	naaʼnaʼ
aged	sání
there	aadi
speak	yáłtiʼ
ponder	nitsékees
oolzhiizh	alzhish
caw	gáa
lava	chézhin
louse	yaaʼ
lacewing	aniłtʼánii
valence-change prefix	Ø
about	haa
word	saad
tribe	dineʼé
mist	ááh
cough	dikos
A	Ą
but	nidi
gorilla	mágítsoh
eagle	atsá
bat	jaaʼabaní
consonant	-s-
January	Yas Niłtʼees
February	Atsá Biyáázh
March	Wóózhchʼį́į́d
April	Tʼą́ą́chil
May	Tʼą́ą́tsoh
June	Yaʼiishjááshchilí
July	Yaʼiishjáástsoh
August	Biniʼantʼą́ą́tsʼózí
September	Biniʼantʼą́ą́tsoh
October	Ghąąjįʼ
November	Níłchʼitsʼósí
December	Níłchʼitsoh
by the way	shoh
day	jį́
consonant	-n-
say	jiní
Ll	ł
I don't know	hóla
ooljééʼ	ʼ
person	diné
over there	níléidi
with me	shił
with him	bił
with	yił
beautiful	hózhǫ́
a	ą
Estonia	Ééstii bikéyah
E	Ę
breath	ayol
naałniih yichʼą́ą́h naabaahígíí bąąh dahooʼaahgo	naałniih yichʼą́ą́h naabaahígíí bąąh dahooʼaahgo
immune system	naałniih yichʼą́ą́h naabaahígíí
Navajo	Diné bizaad
gun	beeʼeldǫǫh
dadilhóni aheltłʼidígíí	dadilhóni aheltłʼidígíí
tank	chidí naaʼnaʼí beeʼeldǫǫh bikááʼ dah naaznilígíí
mathematics	ałhiiʼnínáʼiidzóóh
łeetsoh beeʼeldǫǫhtsoh beeʼalį́į́h	łeetsoh beeʼeldǫǫhtsoh beeʼalį́į́h
uranium	łeetsoh
lead	dilyį́hí
Canyon de Chelly	Tséyiʼ
canyon	tsékooh
Hopi	Oozéí
Hopi	Ayahkinii
Black Mesa	Dziłíjiin
Yootó hahoodzo	Yootó hahoodzo
Colorado	Dibé nitsaa hahoodzo
Zuni	Naashtʼézhí
Geronimo	Mąʼii Ashkii
Jesus	Doodaatsaahii
Jesus	Jíísas
coyote	mąʼii
spider	naʼashjéʼii
Zimbabwe	Hooghan Tsé Bee Ádaalyaaí bikéyah
Europe	Tó Wónaanídi Bilagáana Bikéyah
Mercury	Mókiwii
sunbearer	jóhonaaʼéí
outer space	yágháhookáán
automobile	chidí
truck	chidítsoh
bikááʼ náʼoobałí	bikááʼ náʼoobałí
chidí naatʼaʼí	chidí naatʼaʼí
dance	azhish
scientist	naʼałkaahí
motorcycle	dziʼizítsoh
lemon	chʼil łitsooí díkʼǫ́zhígíí
potato	nímasii
cheese	géeso
peach	didzétsoh
rice	alóós
coffee	ahwééh
salt	áshįįh
áshįįh łikan	áshįįh łikan
apple	bilasáana
bread	bááh
dah díníilghaazh	dah díníilghaazh
meat	atsįʼ
yucca	hashkʼaan
corn	naadą́ą́ʼ
squash	naayízí
bean	naaʼołí
ice cream	abeʼ yistiní
pancake	abeʼ bee neezmasí
