house	Haus
a	en
one	een
little	mann
December	Dezember
clear	hell
so	also
off	of
is	ass
every	all
old	al
by	bei
nearly	bal
her	him
here	hier
tend	hidden
full	sat
you	du
land	landen
a	eng
alphabet	ABC
never	ni
on	un
at	un-
she	si
stomach	Mo
mouse	Maus
because	well
fast	schnell
not	net
cupboard	Schaf
few	puer
what	wat
Netherlands	Holland
descend	stamen
world	Welt
west	Westen
joke	Witz
pink	rosa
bitter	batter
entire	ganz
luxury	Luxus
Christ	Christus
ahead	vir
communal	Bann
visit	Besuch
at	zu
still	nach
if	ob
room	Raum
no	keen
no	neen
Poland	Polen
open	op
new	nei
iron	Eisen
run	rennen
dry	dier
suitcase	Wallis
in-	an-
from	aus
treasure	Schatz
per	pro
ugly	ellen
bland	fad
today	haut
loose	lass
fallow	brooch
with	mat
herb	Kraut
character	Charakter
strength	Force
your	är
abstract	abstrakt
administrative	administrativ
six	sechs
Versioun	-en
do	doen
her	hir
yes	jo
firm	fest
red	rout
for	fir
flirt	flirten
anonymous	anonym
Denmark	Dänemark
sow	Sau
kettle	Kessel
if	falls
to	ze
artillery	Artillerie
un-	on-
comb	kämmen
also	och
sometimes	alt
many	munch
seam	Sam
come	kommen
thereafter	dono
if	wann
sure	sécher
chamber	Kummer
lively	monter
matte	matt
just	grad
autonomous	autonom
elk	Elch
speech	Sprooch
log out	ausloggen
my	meng
full	voll
discover	entdecken
until	bis
offer	bidden
be	sinn
each	jidder
as	als
gold	Gold
mineral	Mineral
abbot	Abt
actinium	Actinium
adjective	Adjektiv
adjutant	Adjutant
adverb	Adverb
affront	Affront
diary	Agenda
alphabet	Alphabet
age	Alter
aluminium	Aluminium
americium	Americium
pineapple	Ananas
are	Ar
argon	Argon
argument	Argument
ace	Ass
studio	Atelier
aubergine	Aubergine
car	Auto
bath	Bad
ball	Ball
bank	Bank
barium	Barium
basketball	Basketball
bass	Bass
berkelium	Berkelium
beryllium	Beryllium
picture	Bild
leaf	Blat
buck	Bock
boron	Bor
edge	Bord
bouillon	Bouillon
trousers	Box
fire	Brand
cadmium	Cadmium
café	Café
californium	Californium
campsite	Camping
boss	Chef
computer	Computer
female	Cousine
