free	frei
off	ab
house	Haus
the	de
a	en
the	die
December	Dezember
thick	dick
clock	Uhr
around	um
all	all
fish	angle
as	as
what	was
fetch	hole
near	bei
before	ver
a	me
a	re
here	do
he	er
there	dart
advise	rode
that one	sell
you	du
even	ewe
I	ich
left	link
and	un
red	rot
eleven	elf
zero	null
book	Buch
fish	Fisch
the	em
six	sex
left	links
she	se
the	es
four	vier
eight	acht
mouse	Maus
good	gut
which	well
the	der
not	net
afraid	bang
horse	Gaul
along	mit
bark	gauze
cow	Kuh
world	Welt
she	sie
nothing	nix
cold	kalt
night	Nacht
at	zu
the	dem
three	drei
fool	Narr
snow	Schnee
nine	nein
right-hand	recht
right	rechts
no	nee
yes	ja
empty	leer
eat	esse
no	ken
new	nei
time	Zeit
to	zum
you	dir
from	aus
treasure	Schatz
water	Wasser
your	dei
light	Licht
for	fer
ice	Eis
black	schwarz
dead	dot
six	sechs
to me	mir
often	oft
small	glee
lie	liege
sing	singe
you	dich
sow	Sau
around	rum
more	meh
kettle	Kessel
high	hooch
womanly	weiblich
old	alt
big	gross
inner	inner
yes	ya
fill	fille
rather	redder
when	wann
long	lang
leaf	Blatt
ear	Ohr
become	ware
Wednesday	Mittwoch
me	mich
weak	matt
full	voll
lay	lege
crumble	brockle
shoe	Schuh
North America	Amerika
equal	gleich
gold	Gold
apple	Appel
shoulder	Axel
band	Band
bench	Bank
beer	Bier
picture	Bild
blood	Blut
board	Bord
bracket	Brett
letter	Brief
thanks	Dank
udder	Eider
end	End
angel	Engel
grandson	Enkel
food	Esse
fall	Fall
finger	Finger
gun	Flint
goose	Gans
money	Geld
poison	Gift
glow	Glut
ground	Grund
hair	Haar
hoe	Hack
neck	Hals
hammer	Hammer
hand	Hand
skin	Haut
heaven	Himmel
dog	Hund
hat	Hut
child	Kind
rake	Kitsch
land	Land
louse	Laus
song	Lied
hole	Loch
air	Luft
man	Mann
mouth	Maul
egg	Oi
back	Rick
coat	Rock
counsel	Rot
bag	Sack
black	Schwarz
lake	See
you	Sie
sound	Ton
wall	Wand
word	Watt
web	Web
way	Weg
square	Winkel
wolf	Wolf
bake	backe
roof	Dach
toe	Zehe
sixth	sext
yard	Hof
farmer	Bauer
bread	Brot
calf	Kalb
bed	Bett
much	viel
fat	Fett
fat	fett
candle	Kerze
frog	Frosch
fall	falle
us	uns
nut	Nuss
knife	Messer
tent	Zelt
field	Feld
glue	Leim
measure	Moos
shield	Schild
dark	dunkel
noodle	Nudel
uncle	Onkel
pie	Boi
find	finne
read	lese
yeast	Satz
do	duh
gladly	garn
sneeze	niese
white	weiss
yet	noch
hand	lange
god	Gott
angry	bees
brother	Bruder
sound	Laut
weave	wewe
light	leicht
on	uff
to him	ihm
him	ihn
coal	Kohl
lock	Schloss
far	weit
quarry	Bruch
my	mei
thief	Dieb
thing	Ding
lamb	Lamm
live	lewe
fry	brode
flour	Mehl
pull	ziege
maple	Ahorn
faithful	trei
to her	ihre
might	Macht
hoof	Huf
hate	Hass
outlook	Sicht
hatchet	Beil
woods	Busch
ass	Esel
torch	Fackel
fire	Feier
enemy	Feind
finch	Fink
dress	Frack
avarice	Geiz
power	Gewalt
grip	Griff
wether	Hammel
envy	Neid
shovel	Schaufel
sound	Schall
thigh	Schenkel
bad	schlecht
bad	schlimm
seat	Sitz
livestock	Vieh
people	Volk
wife	Weib
happy	froh
