moon	bulan
we	kita
avenge	balus
mouth	baba
former	daan
ash	abu
of	sa
orphan	ilo
salt	asin
how many	pila
cheek	pipi
sin	sala
fruit	bunga
whistle	pito
eight	walo
nine	siyam
lamp	solo
eye	mata
peanut	mani
stem	poon
where	hindu
now	iman
dog	asu
worth	bli
out	gawas
honest	buotan
umbrella	payong
rice	bugas
monkey	amu
roof	atop
blind	buta
choose	pili
year	tuig
elbow	siku
sale	tinda
honey	duga
head	ulo
chicken	manuk
hat	kalo
lightning	kilat
sky	langit
plant	mula
torment	sakit
drink	inom
stone	bato
tongue	dila
sugar cane	tubu
sew	tahi
brain	otok
widow	balo
give	ila
seed	liso
wrap	putos
lung	baga
nail	sulu
wood	kayo
sand	balas
child	bata
fat	lambo
river	suba
fish	suda
five	lalima
flower	bulak
sea	dagat
tend	tuyo
testify	saksi
louse	tuma
maiden	laga
frog	bakbak
curly	kulut
weave	lala
discuss	tuki
fathom	dupa
heat	init
stick	pulut
cold	tino
eat	kaun
horse	kabayo
spoon	kutsara
scissors	gunting
body	lawa
tool	himan
thorn	dugi
rain	odan
thank	salamat
bitter	mapait
thick	makapal
thin	manipis
cold	matino
house	balay
here	dini
saw	gabas
who	sin-o
butterfly	alibangbang
father	amay
liver	atay
new	bag-o
storm	bagyo
flood	baha
sacred	balaan
rule	balaod
refuse	balibad
sell	baligya
spear	bangkaw
rise	binangon
hang	bitay
star	bitoon
paddle	bugsay
tax	buhis
leaf	dahon
yellow	dalag
road	dalan
lagoon	danaw
use	gamit
root	gamot
stain	mansa
twig	sanga
tentacle	gaway
blanket	habul
silver	salapi
starch	tayobong
wife	asawa
count	bilang
foot	paa
thigh	babun
sibling	sulud
steel	puthaw
peace	kalinaw
step	lakad
debt	utang
early	sayo
king	datu
onion	sibuyas
egg	impis
they	sidan
side	kilid
there	diya
full	punu
mother	inay
table	lamesa
drift	anod
fat	malambo
banana	saging
knock	toktok
white	maputi
pig	babuy
pound	asud
push	dusu
woman	bahe
urine	ihi
wall	dingding
cough	ubo
smoke	obol
cloud	gabon
beast	langgam
ear	tangila
sharp	magalang
crow	wakwak
tutor	magtutudlo
raw	hilaw
store	tindahan
horn	sungay
neighbour	silingan
earthquake	linog
heart	kasingkasing
tear	luha
eyebrow	kilay
bury	lubong
palm	palad
spring	tubod
tail	ikog
eel	kasili
soup	sabaw
supper	panihapon
water	wahig
rice	humay
ride	sakay
vehicle	sakyanan
nail	lansang
shoulder	bulad
solve	sulbad
vegetable	utanon
kill	minatay
wing	pakpak
right	bunal
wheel	ligid
soldier	sundalo
help	tabang
ladle	luwag
ginger	luy-a
forehead	tangad
weather	panahon
count	ihap
buy	palit
dead	namatay
painful	masakit
long	malayat
rope	lubid
ten	sampulo
rainbow	balugtu
sweet	matam-is
weak	mahuyang
demand	hangyo
nest	salag
heavy	mabug-at
hit	naigo
cover	tabon
bone	tul-an
bathe	langoy
intestine	bituka
share	bahin
hawk	banog
risky	makuyaw
taste	tilaw
person	utaw
fast	madali
short	mababa
cover	taklob
forget	kalipat
ring	sising
spider	lalawa
mountain	kalasan
treasure	bahandi
shield	kalasag
pale	luspad
answer	tubag
settle	husay
repeat	liko
slave	ulipon
sun	anlaw
slow	mahinay
mortar	lusung
raft	gakit
rat	ambaw
punish	silot
lip	damulmug
one	sabuwa
kiss	hadok
theft	takaw
fame	bantogan
write	tagsulat
symbol	timaan
dry	gango
wave	balod
hand	alima
know	kilala
journey	panaw
rib	gusuk
thunder	lugung
lime	apug
near	madani
right	kawanan
door	pultahan
sail	lawig
try	sulay
suffice	tagbaw
itchy	makatol
fly	layang
nose	idung
name	ngadan
origin	poonan
red	maliga
raw	manilaw
earth	bugta
good	maayad
hear	paliman
black	maitum
gold	bolawan
tight	hugut
two	daduwa
three	tatulo
four	ha-apat
thousand	nangkalibo
six	ha-anam
garlic	lansuna
noon	maogto
arm	balukan
air	kalamag
back	talikodan
warm	madagadang
worm	olod
you	yanka
young	mangohod
wear	isol-ob
earth	bogta
winter	tingtino
word	polong
world	kalibutan
blow	hiyop
male	ma-ama
cat	budong
create	agbuhaton
deep	madalum
curve	likoliko
choice	pilion
climb	paminahik
sip	sinopsop
dream	damugo
deer	saladung
demolish	ginuba
destroy	naguba
depend	kagsalig
drop	naholog
bath	taglangoy
embrace	gakus
bad	madaut
fall	hahulog
far	madiyo
finger	tuldo
fire	hapoy
afternoon	hapun
force	kusug
inside	solod
heir	manonod
hill	bongtod
history	lasaysayan
honor	bantugan
hope	paglaum
judgment	hokom
key	gonsi
kill	hunatayan
kneel	agluhod
ladder	hagudan
leap	lagso
learn	tu-un
lazy	tapulan
lay	hidaga
laughter	potawa
life	gahinawa
many	madakul
mind	hunahuna
next	sonod
night	daluman
observe	panid-an
over	labaw
pay	bayadan
rape	pinogos
regret	migbasol
ripe	nahinog
rival	pag-agawan
rob	takawan
rod	songkod
roll	nilokot
safe	naluwas
salary	soholan
say	ikagi
speak	minikagi
language	inikagiyan
scrape	kinagisan
select	namili
senile	binongaw
servant	kabulig
shock	nakalitan
soak	hinomol
spill	migpusik
spoon	salidot
stair	hagadan
stammer	tagkangakanga
stand	tintundog
tour	soroy
strap	hikut
suffer	antos
suffocate	nalumos
surface	taglutaw
surveillance	tagpaniid
survey	subayan
system	pamaagi
taste	sulayi
tear	ginisi
town	banuwa
trap	lit-ag
travel	tagipanaw
trust	kigsalig
tumult	gobot
triumph	nakadaug
tomorrow	asom
yesterday	gabi-a
turn	tagliko
turtle	bao-o
understand	nakasabut
boat	hawang
crocodile	bu-aya
east	subagan
eyelash	puduk
dung	ta-i
dust	aliyabuk
fear	haduk
fragrant	mahumut
hair	buhuk
hard	madusan
knee	tuhud
kick	sinipa
mosquito	tagunuk
narrow	malig-ut
rattan	balagun
neck	li-ug
pants	salu-al
pestle	hal-u
pillow	uluna
pull	guyud
run	pulaguy
sit	pino-o
sour	mapodos
spit	ilub
straight	matul-id
old	da-an
throw	lambug
under	didalum
sleep	hiduga
